# k (1/bohr), S(k)
0.416853,0.048554
0.481340,0.061885
0.680718,0.116744
0.798212,0.156259
0.833706,0.170786
0.962680,0.231530
1.049060,0.261246
1.076310,0.263500
1.179040,0.306062
1.250560,0.333170
1.361440,0.392427
1.423820,0.405193
1.444020,0.401541
1.522130,0.444395
1.578180,0.487134
1.596420,0.482195
1.667410,0.492637
1.718730,0.527556
1.735500,0.530476
1.801010,0.568152
1.848620,0.579217
1.925360,0.580082
1.969970,0.619938
1.984620,0.628044
2.042150,0.634647
2.084260,0.664807
2.098110,0.667887
2.152620,0.677352
2.192610,0.698132
2.205780,0.700468
2.257690,0.714609
2.295850,0.719846
2.358080,0.748950
2.394640,0.758940
2.406700,0.761550
2.454360,0.785768
2.489510,0.784133
2.501120,0.784039
2.580900,0.814665
2.592100,0.809585
2.636410,0.821729
2.669160,0.820527
2.722870,0.847836
2.754600,0.852768
2.765090,0.870290
2.806670,0.860062
2.837460,0.879135
2.847650,0.877943
2.888040,0.867476
2.917970,0.897308
2.927880,0.903387
2.967180,0.905204
2.996320,0.909713
3.044260,0.916212
3.072670,0.921700
3.082080,0.929406
3.119440,0.925095
3.147170,0.937530
3.156360,0.933036
3.192850,0.949738
3.219950,0.942465
3.228930,0.946491
3.264610,0.958853
3.291110,0.959889
3.334820,0.972888
3.360780,0.970828
3.369380,0.976055
3.403590,0.975988
3.429020,0.975998
3.437460,0.975810
3.470990,0.985700
3.495940,0.978137
3.504210,0.977519
3.537110,0.985488
3.561590,0.978968
3.602020,0.987298
3.626060,0.984249
3.634040,0.995013
3.665780,1.003140
3.689400,0.978740
3.697240,0.992950
3.751680,0.992513
3.759390,0.987501
3.790080,1.008440
3.812930,0.997941
3.850720,1.020100
3.873220,0.992977
3.880690,1.003930
3.910430,0.989899
3.932580,0.987407
3.939940,1.003790
3.969230,0.995253
3.991060,0.993329
3.998310,0.991373
4.027180,0.993446
4.048700,0.995786
4.084310,0.999690
4.105520,1.000060
4.112570,1.000370
4.140650,0.994969
4.161580,0.996766
4.168530,0.994280
4.196230,0.997976
4.216880,0.997955
4.223740,0.993244
4.251080,1.000540
4.271470,1.001630
4.305240,0.980482
4.325370,0.993168
4.332060,1.002230
4.358720,0.986814
4.378610,0.997107
4.385220,0.987551
4.411560,0.998764
4.431210,0.997643
4.437740,0.999591
4.463770,1.001810
4.483190,0.994229
4.515370,0.982975
4.534570,1.003260
4.540950,0.997330
4.566390,1.003760
4.585380,0.999317
4.591690,0.998389
4.635630,0.995356
4.641880,0.997193
4.666770,0.997324
4.685350,1.004500
4.716150,1.011200
4.734540,0.988920
4.740650,0.997033
4.765030,0.995448
4.783220,1.004610
4.789270,0.995513
4.813400,0.984862
4.831420,0.998002
4.837410,0.994840
4.861300,0.989772
4.879140,0.996573
4.908730,0.993850
4.926390,0.999334
4.932270,0.999184
4.955700,1.000540
4.973200,0.989888
4.979020,0.995736
5.002230,0.991887
5.019570,1.006020
5.025340,0.999239
5.048340,0.996269
5.065520,0.991021
5.111050,0.997438
5.116720,1.002480
5.139310,0.995788
5.156190,0.999164
5.161800,0.996549
5.184190,1.000900
5.200930,0.995504
5.206490,0.998837
5.228690,1.004410
5.245280,1.000700
5.272820,1.002000
5.289270,0.995818
5.294740,0.992517
5.316580,0.996266
5.332890,0.999282
5.338320,1.004750
5.376160,1.002500
5.381550,0.997706
5.403030,0.999541
5.419090,0.996641
5.445740,1.010170
5.461670,0.999909
5.466970,0.996788
5.488120,0.995088
5.503930,0.998495
5.509190,0.998087
5.530180,1.004030
5.545870,1.000810
5.551090,1.002060
5.571920,0.996577
5.587490,0.994996
5.613340,1.000120
5.628800,0.996125
5.633940,0.998388
5.654470,0.998734
5.669810,0.991107
5.674920,0.995478
5.695290,0.991223
5.710530,0.999559
5.715600,0.997044
5.735830,1.001890
5.750960,0.991829
5.776080,0.996419
5.791110,1.000590
5.796100,0.997248
5.816060,0.997959
5.830980,0.996369
5.835940,0.997746
5.855760,1.020570
5.870580,0.996292
5.875510,1.004280
5.895190,0.997148
5.909910,1.002230
5.934360,1.001940
5.948980,0.999757
5.953850,1.001710
5.973280,0.991557
5.987800,0.999004
5.992640,1.000980
6.026370,0.996322
6.031180,1.005360
6.050350,0.991023
6.064700,0.999369
6.088530,0.991580
6.102780,0.994629
6.107520,0.994364
6.126460,1.001130
6.140630,0.992749
6.145340,0.996202
6.164160,0.999349
6.178240,1.000490
6.182930,0.994134
6.201640,1.007620
6.215630,1.000300
6.238880,0.999410
6.252790,0.998809
6.257420,0.996016
6.275910,0.998018
6.289740,0.997503
6.294340,1.002060
6.312720,1.005850
6.326470,1.001710
6.331040,1.007500
6.349310,0.997036
6.362980,1.002380
6.385700,1.001360
6.399290,0.993741
6.403820,0.999765
6.421880,0.997855
6.435390,0.994767
6.439890,1.000610
6.457860,1.000620
6.471300,0.992271
6.475770,0.993767
6.493630,1.000830
6.507000,0.995773
6.529220,1.005560
6.542510,0.997415
6.546930,1.003400
6.564610,0.999864
6.577830,1.000620
6.582230,0.990812
6.612960,0.996721
6.617330,1.000610
6.634820,1.005300
6.647900,0.998141
6.669650,0.989769
6.682660,0.998649
6.686990,1.002950
6.704290,0.998886
6.717240,0.999606
6.721550,1.000270
6.738760,0.996682
6.751640,1.001210
6.755930,1.000750
6.773060,1.004950
6.785870,1.000390
6.807180,1.001060
6.819930,0.995858
6.824180,0.990009
6.841130,0.998213
