# r (bohr), g(r)
13.500000,0.000000
32.591880,0.000000
42.474600,0.000456
50.382720,0.001301
57.186900,0.003801
63.255060,0.009755
68.785740,0.019446
73.901430,0.037635
78.683760,0.061589
83.190780,0.093826
87.465150,0.138709
91.539900,0.192642
95.440500,0.254214
99.187200,0.325756
102.798000,0.393263
106.285500,0.483626
109.662300,0.566117
112.937400,0.645323
116.120700,0.723098
119.219400,0.805925
122.238900,0.874376
125.185500,0.944066
128.064600,1.004560
130.879800,1.060090
133.636500,1.104340
136.336500,1.146980
138.985200,1.184950
141.583500,1.209310
144.135000,1.232300
146.642400,1.247080
149.107500,1.255290
151.532100,1.265070
153.918900,1.261710
156.269700,1.265050
158.584500,1.252830
160.866900,1.250620
163.116900,1.236240
165.337200,1.231210
167.526900,1.214470
169.688700,1.193490
171.823500,1.186060
173.932200,1.167350
176.015700,1.148060
178.074000,1.132840
180.109800,1.113770
182.122200,1.098200
184.113000,1.080270
186.082200,1.071290
188.030700,1.054800
189.959400,1.044030
191.868300,1.025500
193.759200,1.015120
195.631200,1.006520
197.486100,0.989897
199.323000,0.982438
201.143700,0.971292
202.947300,0.966864
204.735600,0.959113
206.508600,0.953752
208.266300,0.942307
210.008700,0.940859
211.737600,0.933604
213.452100,0.934037
215.153100,0.933970
216.840600,0.933181
218.514600,0.922564
220.176900,0.929259
221.825700,0.931779
223.463700,0.930023
225.088200,0.925922
226.701900,0.928131
228.303900,0.926425
229.895100,0.930942
231.475500,0.931263
233.045100,0.933998
234.603900,0.938319
236.151900,0.937613
237.690900,0.942013
239.219100,0.946410
240.738300,0.943381
242.247600,0.949079
243.747900,0.951652
245.238300,0.954555
246.720600,0.958020
248.193000,0.961262
249.657300,0.958087
251.113500,0.965536
252.560700,0.967664
253.999800,0.973944
255.430800,0.981745
256.853700,0.981361
258.269400,0.986059
259.677000,0.983514
261.076500,0.985508
262.468800,0.996776
263.853900,0.997141
265.231800,0.993916
266.602500,1.001130
267.966900,1.003100
269.323200,1.009730
270.673200,1.008630
272.016900,1.005880
273.353400,1.007400
274.683600,1.011760
276.007500,1.014240
277.325100,1.012930
278.636400,1.015050
279.941400,1.015710
281.240100,1.012890
282.533400,1.020610
283.820400,1.018380
285.102000,1.018890
286.377300,1.017670
287.647200,1.021070
288.911700,1.019220
290.170800,1.021970
291.424500,1.022160
292.672800,1.021740
293.914800,1.018760
295.152300,1.020980
296.385300,1.020540
297.612000,1.019830
298.834200,1.020500
300.051900,1.018630
301.264200,1.016860
302.472000,1.017050
303.674400,1.017120
