rs, eps_C approx, eps_C PZ81, % error
1.0,-0.062075286447149824,-0.05963206637891296,-4.097158150972335
2.0,-0.04569076225024693,-0.04509121363384836,-1.3296351286240515
3.0,-0.03710604717015124,-0.037213546938038494,0.2888726733472624
4.0,-0.031524501845018524,-0.032053881155111055,1.6515295215915549
10.0,-0.016847323282487024,-0.018568388595879167,9.268791982165292
20.0,-0.008958322048308189,-0.011497399358500308,22.0839272519043
30.0,-0.0054838310272780815,-0.008485911367461576,35.37722950648161
40.0,-0.0034144851001100904,-0.006777764112680533,49.622249412281505
50.0,-0.0019485641432363172,-0.005665907972723068,65.60896942525125
60.0,-0.0007288016633774259,-0.004880018029915416,85.06559486236041
