rs, eps_C approx, eps_C PZ81, % error
1.0,-0.07875345723601954,-0.05963206637891296,-32.065618413431785
2.0,-0.06175677862445015,-0.04509121363384836,-36.95967273342926
3.0,-0.052714230693096116,-0.037213546938038494,-41.65333603073809
4.0,-0.04676080266283517,-0.032053881155111055,-45.88187444932568
10.0,-0.030612948282706998,-0.018568388595879167,-64.86593936051537
20.0,-0.021336088162785784,-0.011497399358500308,-85.57316743991757
30.0,-0.01702336641195571,-0.008485911367461576,-100.60740296239952
40.0,-0.01441778332845603,-0.006777764112680533,-112.7218222522936
50.0,-0.01263518539361348,-0.005665907972723068,-123.00371722311856
60.0,-0.011322047580071668,-0.004880018029915416,-132.00831453214752
69.0,-0.010397177676200305,-0.004344952693065512,-139.2932308053449
100.0,-0.008256021889210721,-0.0031714546791771605,-160.3228715017539
