rs, eps_C approx, eps_C PZ81, % error
1,-0.047056133268866075,-0.05963206637891296,21.089212354536112
2,-0.03172399470050416,-0.04509121363384836,29.644841768707476
3,-0.02326672428108772,-0.037213546938038494,37.4778106482905
4,-0.018193326778927967,-0.032053881155111055,43.24142311850119
5,-0.014241078356186918,-0.028338958789361355,49.747347945849306
6,-0.011146924181796202,-0.025504224842145717,56.293813080819774
7,-0.008633063135014536,-0.023253489875996437,62.87411833212153
8,-0.006514508510341783,-0.02141378884269373,69.57797352819
9,-0.004687999704745509,-0.019876244884276396,76.41405742362296
10,-0.003088336934827138,-0.018568388595879167,83.36777088178495
11,-0.0016594806192127794,-0.01743984915984185,90.48454717696751
12,-0.00021409705283036287,-0.01645438126924637,98.69884470690785
13,0.0009589703488116288,-0.015585152482839232,106.15310212631894
14,0.0019096233888220935,-0.01481182159007283,112.89256272234579
15,0.002928731119834889,-0.014118654410585428,120.74369861790144
16,0.003888527961396865,-0.013493267589607436,128.81828241805437
17,0.004800065956301146,-0.012925766959577202,137.1356374543376
18,0.00567275288169445,-0.01240814184202652,145.71798867160567
19,0.00651486618427519,-0.01193383002621552,154.5915784786923
20,0.0073339040162779525,-0.011497399358500308,163.78750348317524
21,0.008136988193767264,-0.011094310728594504,173.3437920825038
22,0.008931116779873093,-0.010720738967223562,183.30691389071342
23,0.009723632280743702,-0.010373435656886074,193.73589042593596
24,0.010522702478656264,-0.010049622748705606,204.70743769970463
25,0.011338087241575236,-0.009746909140723998,216.32495058564837
26,0.012182295409224464,-0.009463224590131256,228.73302639280902
27,0.013073343521689304,-0.00919676686465333,242.15151600651237
28,0.014038626723492372,-0.008945959114541885,256.9270163628652
29,0.015142026819492269,-0.008709415213169694,273.8581345461138
30,0.016596290850938316,-0.008485911367461576,295.5746428671789
