rs, eps_C approx, eps_C PZ81, % error
1,-0.06348308042841541,-0.05963206637891296,-6.457958416252785
2,-0.04688309202460495,-0.04509121363384836,-3.973897010861327
3,-0.03813848694322365,-0.037213546938038494,-2.4854927339369226
4,-0.03242719377682052,-0.032053881155111055,-1.1646409366247168
5,-0.028300197881239324,-0.028338958789361355,0.13677604886662698
6,-0.025133653020288475,-0.025504224842145717,1.4529821006160182
7,-0.022604867301207848,-0.023253489875996437,2.789355826791984
8,-0.02052626547439681,-0.02141378884269373,4.144634911722966
9,-0.01877996818484351,-0.019876244884276396,5.515512139318246
10,-0.01728739054072027,-0.018568388595879167,6.898811108698933
11,-0.015993717020747637,-0.01743984915984185,8.292113801214352
12,-0.014859479304862193,-0.01645438126924637,9.692871085739851
13,-0.013855209717005084,-0.015585152482839232,11.099941227645882
14,-0.012958576810690315,-0.01481182159007283,12.511930204618427
15,-0.012152223344707482,-0.014118654410585428,13.927892904607253
16,-0.011422363109702578,-0.013493267589607436,15.347687030974432
17,-0.010758034803791904,-0.012925766959577202,16.77062693892327
18,-0.01015027187516964,-0.01240814184202652,18.196680821373658
19,-0.009591717095393923,-0.01193383002621552,19.625827799428887
20,-0.009076310634525858,-0.011497399358500308,21.05770747351209
21,-0.008598825514013364,-0.011094310728594504,22.493377692669725
22,-0.008155004770928778,-0.010720738967223562,23.932437905064052
23,-0.007741144767504909,-0.010373435656886074,25.375304541787013
24,-0.007354084844500924,-0.010049622748705606,26.8222795184214
25,-0.006991094580197008,-0.009746909140723998,28.273727811956284
26,-0.006649799766251438,-0.009463224590131256,29.730086157035775
27,-0.006328120460223413,-0.00919676686465333,31.19190087828817
28,-0.006024259478035658,-0.008945959114541885,32.65943426632623
29,-0.0057365963153051275,-0.008709415213169694,34.13339271469459
30,-0.0054637328181171355,-0.008485911367461576,35.61407158850018
31,-0.005204386895173966,-0.008274362703535274,37.102262957963404
32,-0.00495744523309205,-0.00807380383150708,38.59839381102873
33,-0.004721906986102409,-0.007883372616327397,40.10295826531425
34,-0.004496833517921119,-0.007702296549559979,41.61697762496542
35,-0.004281425076503987,-0.007529881244867049,43.140868530661905
36,-0.0040749433429438315,-0.007365500678060849,44.67527027617271
37,-0.003876704863830807,-0.0072085888684578995,46.22102973865212
38,-0.00368609672782411,-0.007058632757403265,47.77888502616824
39,-0.0035025552472570153,-0.0069151660862415395,49.34965836575172
40,-0.0033255653337225227,-0.006777764112680533,50.934183036840786
41,-0.003154647465010796,-0.006646039033651178,52.53341954451768
42,-0.0029893583802872116,-0.006519636006090757,54.148385316381145
43,-0.0028292965164791375,-0.006398229675839917,55.7800100993135
44,-0.0026740682142132174,-0.006281521140020343,57.42960734182043
45,-0.0025233205094949214,-0.006169235280598232,59.098325890883594
46,-0.0023767142464230237,-0.00606111841691861,60.78752990885612
47,-0.0022339446992508077,-0.00595693623326918,62.49842852481209
48,-0.0020946963505933296,-0.0058564719443531706,64.23279458184645
49,-0.0019586942051842884,-0.005759524667198233,65.99208583410562
50,-0.001825647167394394,-0.005665907972723068,67.77838298497853
51,-0.0016952756681241294,-0.005575448594101553,69.59391447142718
52,-0.0015673423884768045,-0.00548798527234608,71.44047750319899
53,-0.0014415660114532884,-0.005403367722290882,73.32097155804706
54,-0.0013176828403056859,-0.005321455704483513,75.23830106871901
55,-0.001195427792269115,-0.005242118190462399,77.19571080171185
56,-0.0010745307706174446,-0.005165232610570708,79.19685614122383
57,-0.0009546917375958391,-0.005090684174881045,81.24629804562277
58,-0.0008355990008065105,-0.0050183652590218425,83.3491793108463
59,-0.0007169403259987846,-0.004948174847738279,85.51101470623082
60,-0.000598302849153439,-0.004880018029915416,87.73974101149358
61,-0.0004792307478120771,-0.004813805539561856,90.04465918131591
62,-0.00035922644925662006,-0.004749453337917521,92.4364674479752
63,-0.00023763028927049727,-0.004686882232424938,94.92988563641485
64,-0.00011355693184424013,-0.004626017528802893,97.54525504632868
65,1.4153699670735316e-05,-0.004566788712895667,100.30992674635391
66,0.000147371131322434,-0.004509129159349512,103.26828365554502
67,0.0002891349577720833,-0.00445297586449857,106.49307264558105
68,0.0004463941666605973,-0.0043982692011317265,110.14931433814317
