rs, eps_C approx, eps_C PZ81, % error
1,-0.0657526396842946,-0.05963206637891296,-10.263896049636113
2,-0.04938629135130061,-0.04509121363384836,-9.525309636439005
3,-0.040707547086522855,-0.037213546938038494,-9.389054352443104
4,-0.035004131822944075,-0.032053881155111055,-9.204035709612013
5,-0.03085968546082383,-0.028338958789361355,-8.89491632419739
6,-0.027663757648058222,-0.025504224842145717,-8.467353229822061
7,-0.025100057489396747,-0.023253489875996437,-7.941034327524488
8,-0.022984332255138032,-0.02141378884269373,-7.334262161551863
9,-0.021200537513555513,-0.019876244884276396,-6.66269024652002
10,-0.019671074836794894,-0.018568388595879167,-5.938513378379229
11,-0.018341729340662288,-0.01743984915984185,-5.171376039749065
12,-0.017173323239881383,-0.01645438126924637,-4.369304192426449
13,-0.016136549800986832,-0.015585152482839232,-3.5379655011700484
14,-0.015209136757709747,-0.01481182159007283,-2.6824193447158917
15,-0.01437373253111653,-0.014118654410585428,-1.806674440163758
16,-0.013616530395973284,-0.013493267589607436,-0.9135133913803495
17,-0.012926505431022101,-0.012925766959577202,-0.005713173130916793
18,-0.012294642056976515,-0.01240814184202652,0.9147202417172595
19,-0.011713522808574486,-0.01193383002621552,1.846073030678974
20,-0.011177004921603968,-0.011497399358500308,2.7866687666151635
21,-0.010679812808666504,-0.011094310728594504,3.7361304371949067
22,-0.010217623752416114,-0.010720738967223562,4.692915444967172
23,-0.009786675658957154,-0.010373435656886074,5.656370920268994
24,-0.009383751862049525,-0.010049622748705606,6.625829678450823
25,-0.009006070808686005,-0.009746909140723998,7.600751390434768
26,-0.00865120914298995,-0.009463224590131256,8.58074791956347
27,-0.008317046785396971,-0.00919676686465333,9.56553636949804
28,-0.008001746014938667,-0.008945959114541885,10.554632404572196
29,-0.007703651146942608,-0.008709415213169694,11.548009155726646
30,-0.007421332180855494,-0.008485911367461576,12.545254605039947
31,-0.007153479248547449,-0.008274362703535274,13.546462672090986
32,-0.006898954810743303,-0.00807380383150708,14.55136940755316
33,-0.006656746662460954,-0.007883372616327397,15.55965972388461
34,-0.006425875759992695,-0.007702296549559979,16.5719507338393
35,-0.006205536024187011,-0.007529881244867049,17.5878633090371
36,-0.005994980599721249,-0.007365500678060849,18.607290098036135
37,-0.005793519163330046,-0.0072085888684578995,19.630328916657625
38,-0.005600516496073654,-0.007058632757403265,20.657205317847183
39,-0.0054154334707869,-0.0069151660862415395,21.68758633922788
40,-0.005237734446879813,-0.006777764112680533,22.72179497836868
41,-0.005066951470788205,-0.006646039033651178,23.75982980038952
42,-0.00490263677128727,-0.006519636006090757,24.801986388394347
43,-0.004744418444566825,-0.006398229675839917,25.847950371615745
44,-0.004591908461120485,-0.006281521140020343,26.89814523006423
45,-0.00444477152244395,-0.006169235280598232,27.952633993026442
46,-0.004302691595385965,-0.00606111841691861,29.011589950532667
47,-0.0041653869466477785,-0.00595693623326918,30.075011993844956
48,-0.004032584148074438,-0.0058564719443531706,31.143115063281932
49,-0.0039040381242725626,-0.005759524667198233,32.21596659691514
50,-0.0037795085636308113,-0.005665907972723068,33.29385895736041
51,-0.0036587671628459583,-0.005575448594101553,34.37716981703165
52,-0.00354163730556554,-0.00548798527234608,35.46561935193546
