rs, eps_C approx, eps_C PZ81, % error
1,-0.06181492090681788,-0.05963206637891296,-3.660538130667268
2,-0.04530617776378397,-0.04509121363384836,-0.4767317457480047
3,-0.03665363180859993,-0.037213546938038494,1.5046002746549214
4,-0.031026982905717558,-0.032053881155111055,3.2036627465618306
5,-0.026976498455874336,-0.028338958789361355,4.807728976967551
6,-0.023878872130772735,-0.025504224842145717,6.372876342773948
7,-0.021412220068718624,-0.023253489875996437,7.918251484386762
8,-0.019389764266304912,-0.02141378884269373,9.45196850149853
9,-0.017694384423814245,-0.019876244884276396,10.977226700342014
10,-0.016248118190337908,-0.018568388595879167,12.495809173533722
11,-0.014996717977262809,-0.01743984915984185,14.008900880890385
12,-0.013901189163643992,-0.01645438126924637,15.516791934160135
13,-0.012932476701374006,-0.015585152482839232,17.02053146022203
14,-0.012068601681259564,-0.01481182159007283,18.520476310974644
15,-0.011292513563463526,-0.014118654410585428,20.01706936748171
16,-0.010590687532077342,-0.013493267589607436,21.511320651238485
17,-0.009952392117269412,-0.012925766959577202,23.003469361674522
18,-0.009368852090381484,-0.01240814184202652,24.494318249578086
19,-0.00883288358806254,-0.01193383002621552,25.98450314225197
20,-0.008338577712903462,-0.011497399358500308,27.474227406578265
21,-0.007880847018666846,-0.011094310728594504,28.964969420274745
22,-0.007455549748055592,-0.010720738967223562,30.456755165391204
23,-0.007059089829899411,-0.010373435656886074,31.950319417911853
24,-0.006688392466923335,-0.010049622748705606,33.44633292045911
25,-0.0063408116548880995,-0.009746909140723998,34.945411275095715
26,-0.006014047180567706,-0.009463224590131256,36.44822519757728
27,-0.005706085428197614,-0.00919676686465333,37.95552815274389
28,-0.0054151877527361045,-0.008945959114541885,39.46777887757638
29,-0.0051397877744941735,-0.008709415213169694,40.985845218147475
30,-0.0048785351142108845,-0.008485911367461576,42.51018066347987
31,-0.004630190274919228,-0.008274362703535274,44.041729365562496
32,-0.004393680096826217,-0.00807380383150708,45.58103976120411
33,-0.004168042738018588,-0.007883372616327397,47.12868538795085
34,-0.0039523655362032045,-0.007702296549559979,48.685882051256556
35,-0.0037458735530686836,-0.007529881244867049,50.25321872609663
36,-0.003547869025632354,-0.007365500678060849,51.83125790484051
37,-0.003357687085703719,-0.0072085888684578995,53.42102113222593
38,-0.0031747261446982067,-0.007058632757403265,55.023497413596466
39,-0.0029984592071580496,-0.0069151660862415395,56.63937539947443
40,-0.002828380855937147,-0.006777764112680533,58.269706515080344
41,-0.00266403009030351,-0.006646039033651178,59.915521458501665
42,-0.0025049711385040246,-0.006519636006090757,61.5780522691169
43,-0.002350829645726745,-0.006398229675839917,63.25812349932337
44,-0.002201214333479415,-0.006281521140020343,64.957304378788
45,-0.0020557835795320103,-0.006169235280598232,66.67684913886667
46,-0.0019142088939899415,-0.00606111841691861,68.41822313441783
47,-0.0017761928619650863,-0.00595693623326918,70.18277865649894
48,-0.0016414263363315274,-0.0058564719443531706,71.97243746870168
49,-0.0015096415132469184,-0.005759524667198233,73.78878292084309
50,-0.0013805495216283015,-0.005665907972723068,75.63409910159903
51,-0.0012538739246835682,-0.005575448594101553,77.51079749869666
52,-0.0011293789878221115,-0.00548798527234608,79.42088158448522
53,-0.0010067827215510107,-0.005403367722290882,81.36749573053004
54,-0.000885818925975156,-0.005321455704483513,83.35382317983363
55,-0.0007662184571060702,-0.005242118190462399,85.38341889162015
56,-0.0006477045828693574,-0.005165232610570708,87.46030175787587
57,-0.0005299664329375569,-0.005090684174881045,89.58948513143736
58,-0.00041268351945314777,-0.0050183652590218425,91.77653482453793
59,-0.0002955108015207185,-0.004948174847738279,94.02788279286874
60,-0.00017802434618675362,-0.004880018029915416,96.35197359732214
61,-5.973003338033422e-05,-0.004813805539561856,98.75919305652361
62,5.991768675911952e-05,-0.004749453337917521,101.2615701744191
63,0.00018164453089278742,-0.004686882232424938,103.87559409187045
64,0.0003064324523899467,-0.004626017528802893,106.62410919288592
65,0.00043559240909930516,-0.004566788712895667,109.53826499284457
66,0.0005712476660900164,-0.004509129159349512,112.66869157885078
67,0.0007169409182447481,-0.00445297586449857,116.10026508251646
68,0.0008809524627845721,-0.0043982692011317265,120.02952576340466
