rs, eps_C approx, eps_C PZ81, % error
1,-0.06734676665732718,-0.05963206637891296,-12.937167445101805
2,-0.05107215470800536,-0.04509121363384836,-13.264094248435399
3,-0.04245233740504908,-0.037213546938038494,-14.077643487553892
4,-0.03678222977374991,-0.032053881155111055,-14.751251481085959
5,-0.0326533226429429,-0.028338958789361355,-15.224143856693795
6,-0.02946094199250561,-0.025504224842145717,-15.513967489109582
7,-0.02689240063236215,-0.023253489875996437,-15.648880128406017
8,-0.02476596188387081,-0.02141378884269373,-15.654273355370375
9,-0.022967261865740076,-0.019876244884276396,-15.551312632039993
10,-0.021419949795245453,-0.018568388595879167,-15.357074118963276
11,-0.02007061265398221,-0.01743984915984185,-15.08478353240652
12,-0.018880740003675033,-0.01645438126924637,-14.745973699804725
13,-0.017821461159570583,-0.015585152482839232,-14.348968861188528
14,-0.016870822103882226,-0.01481182159007283,-13.90106207591224
15,-0.01601170803993714,-0.014118654410585428,-13.408173146673242
16,-0.01523053479775361,-0.013493267589607436,-12.875066744279383
17,-0.014516408637150695,-0.012925766959577202,-12.305975208650377
18,-0.0138604137379949,-0.01240814184202652,-11.704185158889114
19,-0.013255184765733697,-0.01193383002621552,-11.072344223233465
20,-0.012694631537559436,-0.011497399358500308,-10.41306944055993
21,-0.012173613911812979,-0.011094310728594504,-9.728438382716975
22,-0.01168775095137679,-0.010720738967223562,-9.020012399421962
23,-0.011233327058584444,-0.010373435656886074,-8.289359766043948
24,-0.010807122684225852,-0.010049622748705606,-7.537595733310609
25,-0.01040637445990512,-0.009746909140723998,-6.765891726904272
26,-0.01002865382732456,-0.009463224590131256,-5.975016568696501
27,-0.009671836649691613,-0.00919676686465333,-5.165617352595464
28,-0.009334090587116161,-0.008945959114541885,-4.338623367318539
29,-0.009013742018069574,-0.008709415213169694,-3.4942277690435564
30,-0.008709356883934575,-0.008485911367461576,-2.6331351671875725
31,-0.008419598579099782,-0.008274362703535274,-1.7552515011513226
32,-0.008143337137427039,-0.00807380383150708,-0.8612211464516184
33,-0.007879515877263361,-0.007883372616327397,0.04892245047567467
34,-0.0076271918682228115,-0.007702296549559979,0.9750946468226829
35,-0.007385497962859136,-0.007529881244867049,1.91747090442278
36,-0.007153660147678962,-0.007365500678060849,2.8761185375066667
37,-0.006930996032035033,-0.0072085888684578995,3.850862373876107
38,-0.006716853768283721,-0.007058632757403265,4.841999872582647
39,-0.0065106553128366235,-0.0069151660862415395,5.849617613808777
40,-0.006311837307712069,-0.006777764112680533,6.874343769160696
41,-0.0061199234595967905,-0.006646039033651178,7.916227566381773
42,-0.005934451839990463,-0.006519636006090757,8.975718361479146
43,-0.005754988150765184,-0.006398229675839917,10.053429740161556
44,-0.005581131062023655,-0.006281521140020343,11.150007496343795
45,-0.005412525648204379,-0.006169235280598232,12.265857889609855
46,-0.005248822636458063,-0.00606111841691861,13.401747410068044
47,-0.005089688280929299,-0.00595693623326918,14.558624070815906
48,-0.004934823498945572,-0.0058564719443531706,15.737263905041921
49,-0.004783927615379775,-0.005759524667198233,16.93884666168197
50,-0.004636732296865137,-0.005665907972723068,18.164355665722255
51,-0.00449298029035531,-0.005575448594101553,19.414909589363294
52,-0.004352383708280964,-0.00548798527234608,20.692503855420384
53,-0.0042147150201604835,-0.005403367722290882,21.998367744374825
54,-0.004079698312784081,-0.005321455704483513,23.334919252512197
55,-0.003947128901017348,-0.005242118190462399,24.703550022988363
56,-0.003816732074594478,-0.005165232610570708,26.107256684171553
57,-0.0036882593767136344,-0.005090684174881045,27.54884707025027
58,-0.003561442396536779,-0.0050183652590218425,29.031821864019534
59,-0.0034360012131975553,-0.004948174847738279,30.560230409641065
60,-0.0033116352521839086,-0.004880018029915416,32.138872604917246
61,-0.003187990213426379,-0.004813805539561856,33.77401336165017
62,-0.00306466717806886,-0.004749453337917521,35.473264815512096
63,-0.002941204672681387,-0.004686882232424938,37.24602994431029
64,-0.002816996584362579,-0.004626017528802893,39.105362942895006
65,-0.002691237143239777,-0.004566788712895667,41.06937473064431
66,-0.0025627261301383016,-0.004509129159349512,43.16583004005143
67,-0.002429534015979007,-0.00445297586449857,45.44021593854774
68,-0.0022875997142146097,-0.0043982692011317265,47.98863803911813
