rs, eps_C approx, eps_C PZ81, % error
1.0,-0.0630754251092156,-0.05963206637891296,-5.774340785749255
2.0,-0.04823562774117354,-0.04509121363384836,-6.973451929811847
3.0,-0.0404326799548237,-0.037213546938038494,-8.650433193442009
4.0,-0.035157175968263385,-0.032053881155111055,-9.681494724882956
10.0,-0.020290412602467202,-0.018568388595879167,-9.273955021440038
20.0,-0.011815240002026118,-0.011497399358500308,-2.764456844676122
30.0,-0.008037857568620136,-0.008485911367461576,5.279972644534792
40.0,-0.00583129968906278,-0.006777764112680533,13.964257355121145
50.0,-0.0043530234471191665,-0.005665907972723068,23.17165283877567
60.0,-0.003269074980995987,-0.004880018029915416,33.01100608735561
69.0,-0.0024948158206462706,-0.004344952693065512,42.58128921339088
100.0,-0.00042573384511065065,-0.0031714546791771605,86.5760703469643
