# rs, PW92, RPA, ALDA, MCP07, rMCP07
1.000000000000000056e-01,-1.208793201054264299e-01,-1.439755265855029998e-01,-1.111062434346370004e-01,-1.286101804017769912e-01,-1.266593077785780064e-01
2.000000000000000111e-01,-1.011230532788426617e-01,-1.234430404481979965e-01,-9.083718964516451777e-02,-1.079432363113590060e-01,-1.060918122419129972e-01
2.999999999999999889e-01,-9.001201209146371396e-02,-1.117058897564399966e-01,-7.943163356832792787e-02,-9.620064164471563151e-02,-9.440037559699589187e-02
4.000000000000000222e-01,-8.237806035335792920e-02,-1.035425691057680064e-01,-7.158698817962365346e-02,-8.807211541741666316e-02,-8.630670499495915471e-02
5.000000000000000000e-01,-7.661902922337619770e-02,-9.732326990153358781e-02,-6.566264598109682049e-02,-8.190254149454663513e-02,-8.016651764098817190e-02
5.999999999999999778e-01,-7.202840008943499350e-02,-9.232495080624243677e-02,-6.093577378904305869e-02,-7.695902097151118004e-02,-7.525268630773206124e-02
6.999999999999999556e-01,-6.823290083574171105e-02,-8.816345383251555923e-02,-5.702459427656701718e-02,-7.285292099959547740e-02,-7.118051955629887961e-02
8.000000000000000444e-01,-6.501178344190267078e-02,-8.461037802970475252e-02,-5.370331993681175253e-02,-6.935362771795756942e-02,-6.772229647635755190e-02
9.000000000000000222e-01,-6.222394001034452227e-02,-8.151898961510992137e-02,-5.082759316130584792e-02,-6.631326276742816050e-02,-6.473209382849416660e-02
1.000000000000000000e+00,-5.977386418440408522e-02,-7.878944373619593822e-02,-4.829961992521070169e-02,-6.363138266782364383e-02,-6.211045983096646211e-02
2.000000000000000000e+00,-4.475959003078594511e-02,-6.179598579861832197e-02,-3.278954345629422201e-02,-4.706747920958353343e-02,-4.636423420752486257e-02
3.000000000000000000e+00,-3.694127364930260837e-02,-5.275550866340771722e-02,-2.456607867887037125e-02,-3.833255441025069932e-02,-3.834204940523232297e-02
4.000000000000000000e+00,-3.186637870969929315e-02,-4.680525222452294049e-02,-1.913743692751400036e-02,-3.262571070341976215e-02,-3.310629189507025699e-02
5.000000000000000000e+00,-2.821626106897375669e-02,-4.246711073862587810e-02,-1.515186120556989008e-02,-2.849506062799206027e-02,-2.929848471500600890e-02
6.000000000000000000e+00,-2.542714539639100851e-02,-3.911548130509102245e-02,-1.204158900856864937e-02,-2.532721158803440120e-02,-2.636969161080789104e-02
7.000000000000000000e+00,-2.320816096757215286e-02,-3.641418841139520274e-02,-9.502561580542745467e-03,-2.279264914730096125e-02,-2.402506774695948102e-02
8.000000000000000000e+00,-2.139069597857463575e-02,-3.417179368224412817e-02,-7.359114166711860396e-03,-2.070270525965857075e-02,-2.209449656024229866e-02
9.000000000000000000e+00,-1.986889134720089614e-02,-3.228847910877422761e-02,-5.538641857749776985e-03,-1.896482529106702924e-02,-2.049570082885924030e-02
1.000000000000000000e+01,-1.857229774384831084e-02,-3.065617285275753015e-02,-3.926212841464062596e-03,-1.746759155705642982e-02,-1.912333518001270091e-02
