# rs, eps_c approx, eps_C PW92, absolute difference
1.000000000000000056e-01,-1.096114292938109996e-01,-1.208793201054264299e-01,1.126789081161543027e-02
2.000000000000000111e-01,-9.806141882636452978e-02,-1.011230532788426617e-01,3.061634452478131929e-03
2.999999999999999889e-01,-9.208722141465376654e-02,-9.001201209146371396e-02,2.075209323190052579e-03
4.000000000000000222e-01,-8.703925223688950552e-02,-8.237806035335792920e-02,4.661191883531576319e-03
5.000000000000000000e-01,-8.244110360928147418e-02,-7.661902922337619770e-02,5.822074385905276483e-03
5.999999999999999778e-01,-7.824528297266306054e-02,-7.202840008943499350e-02,6.216882883228067036e-03
6.999999999999999556e-01,-7.443051740698337915e-02,-6.823290083574171105e-02,6.197616571241668093e-03
8.000000000000000444e-01,-7.096686265456322862e-02,-6.501178344190267078e-02,5.955079212660557841e-03
9.000000000000000222e-01,-6.782010636864534148e-02,-6.222394001034452227e-02,5.596166358300819210e-03
1.000000000000000000e+00,-6.495640686142123421e-02,-5.977386418440408522e-02,5.182542677017148991e-03
2.000000000000000000e+00,-4.647354693792624114e-02,-4.475959003078594511e-02,1.713956907140296027e-03
3.000000000000000000e+00,-3.726090559885830017e-02,-3.694127364930260837e-02,3.196319495556917967e-04
4.000000000000000000e+00,-3.170316055079209355e-02,-3.186637870969929315e-02,1.632181589071995953e-04
5.000000000000000000e+00,-2.786270127038894401e-02,-2.821626106897375669e-02,3.535597985848126790e-04
6.000000000000000000e+00,-2.499001564083747073e-02,-2.542714539639100851e-02,4.371297555535377799e-04
7.000000000000000000e+00,-2.301280845742776499e-02,-2.320816096757215286e-02,1.953525101443878698e-04
8.000000000000000000e+00,-2.133077056802370336e-02,-2.139069597857463575e-02,5.992541055093239533e-05
9.000000000000000000e+00,-1.988445683699509303e-02,-1.986889134720089614e-02,1.556548979419689060e-05
1.000000000000000000e+01,-1.877961476113380185e-02,-1.857229774384831084e-02,2.073170172854910120e-04
1.100000000000000000e+01,-1.773215395546873241e-02,-1.745189502701904871e-02,2.802589284496836974e-04
1.200000000000000000e+01,-1.689532325840885016e-02,-1.647235007511408875e-02,4.229731832947614123e-04
1.300000000000000000e+01,-1.611194415266832547e-02,-1.560745502364823539e-02,5.044891290200900769e-04
1.400000000000000000e+01,-1.538770380332328547e-02,-1.483730261866405588e-02,5.504011846592295892e-04
1.500000000000000000e+01,-1.481661899467425977e-02,-1.414646455271536402e-02,6.701544419588957580e-04
1.600000000000000000e+01,-1.426619666744569949e-02,-1.352277601301139602e-02,7.434206544343034684e-04
1.700000000000000000e+01,-1.379347965588283847e-02,-1.295650096148673672e-02,8.369786943961017578e-04
1.800000000000000000e+01,-1.327954742551569652e-02,-1.243974447493568711e-02,8.398029505800094080e-04
