# rs, eps_c approx, eps_C PW92, absolute difference
1.000000000000000056e-01,-1.286017425184416973e-01,-1.208793201054264299e-01,7.722422413015267439e-03
2.000000000000000111e-01,-1.078991619974636190e-01,-1.011230532788426617e-01,6.776108718620957316e-03
2.999999999999999889e-01,-9.613736607683068258e-02,-9.001201209146371396e-02,6.125353985366968623e-03
4.000000000000000222e-01,-8.799589967722448725e-02,-8.237806035335792920e-02,5.617839323866558043e-03
5.000000000000000000e-01,-8.181669299586313837e-02,-7.661902922337619770e-02,5.197663772486940670e-03
5.999999999999999778e-01,-7.686555311324566597e-02,-7.202840008943499350e-02,4.837153023810672470e-03
6.999999999999999556e-01,-7.275316398657272199e-02,-6.823290083574171105e-02,4.520263150831010934e-03
8.000000000000000444e-01,-6.924850395365195199e-02,-6.501178344190267078e-02,4.236720511749281215e-03
9.000000000000000222e-01,-6.620341982977039075e-02,-6.222394001034452227e-02,3.979479819425868481e-03
1.000000000000000000e+00,-6.351732640028548427e-02,-5.977386418440408522e-02,3.743462215881399047e-03
2.000000000000000000e+00,-4.694156948504839277e-02,-4.475959003078594511e-02,2.181979454262447660e-03
3.000000000000000000e+00,-3.824227008569025532e-02,-3.694127364930260837e-02,1.300996436387646948e-03
4.000000000000000000e+00,-3.252532776107617402e-02,-3.186637870969929315e-02,6.589490513768808677e-04
5.000000000000000000e+00,-2.830524074278305269e-02,-2.821626106897375669e-02,8.897967380929600045e-05
6.000000000000000000e+00,-2.500254695520966880e-02,-2.542714539639100851e-02,4.245984411813397141e-04
7.000000000000000000e+00,-2.260446057886218718e-02,-2.320816096757215286e-02,6.037003887099656740e-04
8.000000000000000000e+00,-2.053277145366297698e-02,-2.139069597857463575e-02,8.579245249116587702e-04
9.000000000000000000e+00,-1.873245666088725614e-02,-1.986889134720089614e-02,1.136434686313640002e-03
1.000000000000000000e+01,-1.730896082181706402e-02,-1.857229774384831084e-02,1.263336922031246812e-03
1.100000000000000000e+01,-1.597532346239125683e-02,-1.745189502701904871e-02,1.476571564627791877e-03
1.200000000000000000e+01,-1.488135666946039867e-02,-1.647235007511408875e-02,1.590993405653690074e-03
1.300000000000000000e+01,-1.386645187613776663e-02,-1.560745502364823539e-02,1.741003147510468765e-03
1.400000000000000000e+01,-1.293314852916171293e-02,-1.483730261866405588e-02,1.904154089502342953e-03
1.500000000000000000e+01,-1.217271447082772864e-02,-1.414646455271536402e-02,1.973750081887635371e-03
1.600000000000000000e+01,-1.145018368021998023e-02,-1.352277601301139602e-02,2.072592332791415790e-03
