# rs, eps_c approx, eps_C PW92, absolute difference
1.000000000000000056e-01,-1.193553598348552486e-01,-1.208793201054264299e-01,1.523960270571181330e-03
2.000000000000000111e-01,-9.969412873335339875e-02,-1.011230532788426617e-01,1.428924545489262954e-03
2.999999999999999889e-01,-8.864876455361855867e-02,-9.001201209146371396e-02,1.363247537845155288e-03
4.000000000000000222e-01,-8.106740221861458151e-02,-8.237806035335792920e-02,1.310658134743347691e-03
5.000000000000000000e-01,-7.535392522151615480e-02,-7.661902922337619770e-02,1.265104001860042904e-03
5.999999999999999778e-01,-7.080464647361836561e-02,-7.202840008943499350e-02,1.223753615816627893e-03
6.999999999999999556e-01,-6.704777464301972523e-02,-6.823290083574171105e-02,1.185126192721985827e-03
8.000000000000000444e-01,-6.386338711142078295e-02,-6.501178344190267078e-02,1.148396330481887828e-03
9.000000000000000222e-01,-6.111085404745171534e-02,-6.222394001034452227e-02,1.113085962892806924e-03
1.000000000000000000e+00,-5.869495225281885081e-02,-5.977386418440408522e-02,1.078911931585234407e-03
2.000000000000000000e+00,-4.397792559078819719e-02,-4.475959003078594511e-02,7.816644399977479285e-04
3.000000000000000000e+00,-3.639638208461214164e-02,-3.694127364930260837e-02,5.448915646904667343e-04
4.000000000000000000e+00,-3.124497120668633110e-02,-3.186637870969929315e-02,6.214075030129620481e-04
5.000000000000000000e+00,-2.569007152633578234e-02,-2.821626106897375669e-02,2.526189542637974350e-03
6.000000000000000000e+00,-2.482769516246969427e-02,-2.542714539639100851e-02,5.994502339213142461e-04
7.000000000000000000e+00,-2.153548584556086790e-02,-2.320816096757215286e-02,1.672675122011284959e-03
8.000000000000000000e+00,-2.142421145704331842e-02,-2.139069597857463575e-02,3.351547846868266345e-05
9.000000000000000000e+00,-2.007538820370152050e-02,-1.986889134720089614e-02,2.064968565006243539e-04
1.000000000000000000e+01,-1.860415298358158998e-02,-1.857229774384831084e-02,3.185523973327913927e-05
1.100000000000000000e+01,-1.722090354148486657e-02,-1.745189502701904871e-02,2.309914855341821394e-04
1.200000000000000000e+01,-1.648564882277182841e-02,-1.647235007511408875e-02,1.329874765773966794e-05
1.300000000000000000e+01,-1.573384283549703055e-02,-1.560745502364823539e-02,1.263878118487951618e-04
1.400000000000000000e+01,-1.477176051826947084e-02,-1.483730261866405588e-02,6.554210039458503723e-05
1.500000000000000000e+01,-1.456585378036811228e-02,-1.414646455271536402e-02,4.193892276527482615e-04
1.600000000000000000e+01,-1.356316198267410421e-02,-1.352277601301139602e-02,4.038596966270818767e-05
1.700000000000000000e+01,-1.288485115106937154e-02,-1.295650096148673672e-02,7.164981041736517842e-05
1.800000000000000000e+01,-1.198923380832627242e-02,-1.243974447493568711e-02,4.505106666094146894e-04
1.900000000000000000e+01,-1.222257041140908593e-02,-1.196602998570098046e-02,2.565404257081054656e-04
2.000000000000000000e+01,-1.222677529849729335e-02,-1.152998932265904795e-02,6.967859758382453916e-04
2.100000000000000000e+01,-1.075115494487180294e-02,-1.112713159978959490e-02,3.759766549177919609e-04
2.200000000000000000e+01,-1.139884795902213269e-02,-1.075366828709077571e-02,6.451796719313569739e-04
2.300000000000000000e+01,-9.816651670057069748e-03,-1.040637900646028229e-02,5.897273364032125376e-04
2.400000000000000000e+01,-9.635773400200924738e-03,-1.008250730704609091e-02,4.467339068451661732e-04
2.500000000000000000e+01,-9.255606881206267234e-03,-9.779678820178785981e-03,5.240719389725187471e-04
2.600000000000000000e+01,-8.836580139174382217e-03,-9.495836334143916216e-03,6.592561949695339985e-04
2.700000000000000000e+01,-8.602437702463777355e-03,-9.229187810353515001e-03,6.267501078897376454e-04
2.800000000000000000e+01,-8.083111325538407457e-03,-8.978164403929570631e-03,8.950530783911631733e-04
2.900000000000000000e+01,-7.955846815944984246e-03,-8.741386294491998790e-03,7.855394785470145441e-04
3.000000000000000000e+01,-7.722326577048484360e-03,-8.517634669728055621e-03,7.953080926795712616e-04
3.100000000000000000e+01,-7.440511326960172825e-03,-8.305828596975059139e-03,8.653172700148863139e-04
3.200000000000000000e+01,-7.120812098543868179e-03,-8.105005808519902266e-03,9.841937099760340868e-04
3.300000000000000000e+01,-8.102008434774887052e-03,-7.914306643456501048e-03,1.877017913183860048e-04
3.400000000000000000e+01,-6.782749912906595180e-03,-7.732960552838278288e-03,9.502106399316831084e-04
3.500000000000000000e+01,-5.904398503781414093e-03,-7.560274699708189466e-03,1.655876195926775374e-03
3.600000000000000000e+01,-5.993871793255303032e-03,-7.395624281484870083e-03,1.401752488229567051e-03
3.700000000000000000e+01,-7.871081155538200633e-03,-7.238444276449476286e-03,6.326368790887243465e-04
3.800000000000000000e+01,-5.230272147387797499e-03,-7.088222374004170441e-03,1.857950226616372942e-03
3.900000000000000000e+01,-5.871405630220124898e-03,-6.944492893892933658e-03,1.073087263672808760e-03
4.000000000000000000e+01,-5.138304415014423657e-03,-6.806831535571298414e-03,1.668527120556874757e-03
4.100000000000000000e+01,-5.449248456897122853e-03,-6.674850827561355782e-03,1.225602370664232929e-03
4.200000000000000000e+01,-5.224750933915013260e-03,-6.548196169566674121e-03,1.323445235651660862e-03
4.300000000000000000e+01,-5.574838649051802250e-03,-6.426542378589965299e-03,8.517037295381630485e-04
4.400000000000000000e+01,-3.895831583243822369e-03,-6.309590665246941205e-03,2.413759082003118835e-03
4.500000000000000000e+01,5.626933088329350019e-02,-6.197065978631778778e-03,6.246639686192528157e-02
4.600000000000000000e+01,-3.914234963906362656e-03,-6.088714668033298229e-03,2.174479704126935573e-03
4.700000000000000000e+01,-2.545109170649752402e-03,-5.984302417972517212e-03,3.439193247322764810e-03
4.800000000000000000e+01,-9.208282120169802853e-03,-5.883612419763766151e-03,3.324669700406036703e-03
4.900000000000000000e+01,-4.624658617786524435e-03,-5.786443748391000702e-03,1.161785130604476267e-03
