# rs, eps_c approx, eps_C PW92, absolute difference
1.000000000000000056e-01,-1.440610383475211531e-01,-1.208793201054264299e-01,2.318171824209472320e-02
2.000000000000000111e-01,-1.235037865912784194e-01,-1.011230532788426617e-01,2.238073331243575770e-02
2.999999999999999889e-01,-1.117572714324107513e-01,-9.001201209146371396e-02,2.174525934094703739e-02
4.000000000000000222e-01,-1.035890630742142687e-01,-8.237806035335792920e-02,2.121100272085633953e-02
5.000000000000000000e-01,-9.736686037758639223e-02,-7.661902922337619770e-02,2.074783115421019453e-02
5.999999999999999778e-01,-9.236671317691219629e-02,-7.202840008943499350e-02,2.033831308747720279e-02
6.999999999999999556e-01,-8.820405116063793904e-02,-6.823290083574171105e-02,1.997115032489622799e-02
8.000000000000000444e-01,-8.465025547432861175e-02,-6.501178344190267078e-02,1.963847203242594097e-02
9.000000000000000222e-01,-8.155845340462550275e-02,-6.222394001034452227e-02,1.933451339428098048e-02
1.000000000000000000e+00,-7.882875786430162957e-02,-5.977386418440408522e-02,1.905489367989754435e-02
2.000000000000000000e+00,-6.184208379138181333e-02,-4.475959003078594511e-02,1.708249376059586822e-02
3.000000000000000000e+00,-5.284017712195837602e-02,-3.694127364930260837e-02,1.589890347265576764e-02
4.000000000000000000e+00,-4.687798306952890848e-02,-3.186637870969929315e-02,1.501160435982961533e-02
5.000000000000000000e+00,-4.244756940684020485e-02,-2.821626106897375669e-02,1.423130833786644817e-02
6.000000000000000000e+00,-3.895672709614378393e-02,-2.542714539639100851e-02,1.352958169975277541e-02
7.000000000000000000e+00,-3.638784960029351617e-02,-2.320816096757215286e-02,1.317968863272136332e-02
8.000000000000000000e+00,-3.415768693665155453e-02,-2.139069597857463575e-02,1.276699095807691878e-02
9.000000000000000000e+00,-3.220969965822394199e-02,-1.986889134720089614e-02,1.234080831102304585e-02
1.000000000000000000e+01,-3.064733446464804403e-02,-1.857229774384831084e-02,1.207503672079973320e-02
