# rs, eps_c approx, eps_C PW92, absolute difference
1.000000000000000056e-01,-1.268051039198998531e-01,-1.208793201054264299e-01,5.925783814473423172e-03
2.000000000000000111e-01,-1.062999120520001783e-01,-1.011230532788426617e-01,5.176858773157516636e-03
2.999999999999999889e-01,-9.466570831900808503e-02,-9.001201209146371396e-02,4.653696227544371067e-03
4.000000000000000222e-01,-8.662144137733518434e-02,-8.237806035335792920e-02,4.243381023977255140e-03
5.000000000000000000e-01,-8.052267961777596905e-02,-7.661902922337619770e-02,3.903650394399771351e-03
5.999999999999999778e-01,-7.564176963879488957e-02,-7.202840008943499350e-02,3.613369549359896071e-03
6.999999999999999556e-01,-7.159310080164629775e-02,-6.823290083574171105e-02,3.360199965904586694e-03
8.000000000000000444e-01,-6.814797574749752174e-02,-6.501178344190267078e-02,3.136192305594850960e-03
9.000000000000000222e-01,-6.515980143801611280e-02,-6.222394001034452227e-02,2.935861427671590529e-03
1.000000000000000000e+00,-6.252909102191786528e-02,-5.977386418440408522e-02,2.755226837513780058e-03
2.000000000000000000e+00,-4.635517146518807613e-02,-4.475959003078594511e-02,1.595581434402131016e-03
3.000000000000000000e+00,-3.798621144294342389e-02,-3.694127364930260837e-02,1.044937793640815515e-03
4.000000000000000000e+00,-3.256492669988868965e-02,-3.186637870969929315e-02,6.985479901893965060e-04
5.000000000000000000e+00,-2.861501525869376492e-02,-2.821626106897375669e-02,3.987541897200082286e-04
6.000000000000000000e+00,-2.555872711421893970e-02,-2.542714539639100851e-02,1.315817178279311828e-04
7.000000000000000000e+00,-2.338682516583421092e-02,-2.320816096757215286e-02,1.786641982620580660e-04
8.000000000000000000e+00,-2.152144918192217329e-02,-2.139069597857463575e-02,1.307532033475375388e-04
9.000000000000000000e+00,-1.991018572579034834e-02,-1.986889134720089614e-02,4.129437858945220197e-05
1.000000000000000000e+01,-1.865977709481240338e-02,-1.857229774384831084e-02,8.747935096409253930e-05
1.100000000000000000e+01,-1.748481893499243336e-02,-1.745189502701904871e-02,3.292390797338465291e-05
1.200000000000000000e+01,-1.653656363506747842e-02,-1.647235007511408875e-02,6.421355995338967615e-05
1.300000000000000000e+01,-1.565571812129457757e-02,-1.560745502364823539e-02,4.826309764634217903e-05
1.400000000000000000e+01,-1.484601165943830181e-02,-1.483730261866405588e-02,8.709040774245932481e-06
1.500000000000000000e+01,-1.419978112378029664e-02,-1.414646455271536402e-02,5.331657106493262188e-05
1.600000000000000000e+01,-1.358301855216111770e-02,-1.352277601301139602e-02,6.024253914972167723e-05
