# rs, eps_c approx, eps_C PW92, absolute difference
1.000000000000000056e-01,-1.268875003876175911e-01,-1.208793201054264299e-01,6.008180282191161181e-03
2.000000000000000111e-01,-1.063801594015633123e-01,-1.011230532788426617e-01,5.257106122720650587e-03
2.999999999999999889e-01,-9.471942340883379718e-02,-9.001201209146371396e-02,4.707411317370083226e-03
4.000000000000000222e-01,-8.664103200175589381e-02,-8.237806035335792920e-02,4.262971648397964608e-03
5.000000000000000000e-01,-8.050687206705366139e-02,-7.661902922337619770e-02,3.887842843677463689e-03
5.999999999999999778e-01,-7.559197558767143110e-02,-7.202840008943499350e-02,3.563575498236437600e-03
6.999999999999999556e-01,-7.151192125099949115e-02,-6.823290083574171105e-02,3.279020415257780097e-03
8.000000000000000444e-01,-6.803851229356279451e-02,-6.501178344190267078e-02,3.026728851660123731e-03
9.000000000000000222e-01,-6.502531469926560448e-02,-6.222394001034452227e-02,2.801374688921082212e-03
1.000000000000000000e+00,-6.237282324927297811e-02,-5.977386418440408522e-02,2.598959064868892888e-03
2.000000000000000000e+00,-4.612341521832478974e-02,-4.475959003078594511e-02,1.363825187538844630e-03
3.000000000000000000e+00,-3.782532279563758509e-02,-3.694127364930260837e-02,8.840491463349767209e-04
4.000000000000000000e+00,-3.252203313861555534e-02,-3.186637870969929315e-02,6.556544289162621886e-04
5.000000000000000000e+00,-2.869413602199967495e-02,-2.821626106897375669e-02,4.778749530259182587e-04
6.000000000000000000e+00,-2.574738181199075909e-02,-2.542714539639100851e-02,3.202364155997505790e-04
7.000000000000000000e+00,-2.366764931970256891e-02,-2.320816096757215286e-02,4.594883521304160556e-04
8.000000000000000000e+00,-2.187703082682395522e-02,-2.139069597857463575e-02,4.863348482493194680e-04
9.000000000000000000e+00,-2.032489337563917267e-02,-1.986889134720089614e-02,4.560020284382765299e-04
1.000000000000000000e+01,-1.912027387885839938e-02,-1.857229774384831084e-02,5.479761350100885442e-04
1.100000000000000000e+01,-1.798002615386500025e-02,-1.745189502701904871e-02,5.281311268459515373e-04
1.200000000000000000e+01,-1.705741712566441470e-02,-1.647235007511408875e-02,5.850670505503259566e-04
