Iteration, c0, c1, c2, c3,  SSR 
LSQ, 0.1746700843808605, 3.2231984506125513, 2.21969059766704, 1.8958775733050606, 0.0028281161020976826, 
0,0.1746700843808605,3.2231984506125513,2.21969059766704,1.8958775733050606,0.0028281161020976826
1,0.1746700843808605,3.2231984506125513,2.21969059766704,1.8958775733050606,0.0028281161020976826
2,0.1746700843808605,3.2231984506125513,2.21969059766704,1.8958775733050606,0.0028281161020976826
3,0.17474589604942858,3.2245974082734072,2.2206540050444996,1.8917632556546589,0.0028275634473047765
4,0.17472693490619406,3.224247517061572,2.2213768741867668,1.8919685251051421,0.0028275450104176285
5,0.17472219513473936,3.2245099069962286,2.2211960980739587,1.8920198480360533,0.002827543946835838
6,0.1747233800454594,3.2244443041742277,2.2212412884242614,1.8919813547937023,0.0028275437430186567
7,0.17472367627514834,3.224460704546055,2.2212073949719846,1.8919909779085033,0.002827543735008862
8,0.1747238984477917,3.2244593378414512,2.2211989217382087,1.8919965914206889,0.002827543732656573
9,0.17472395399102317,3.224458996165445,2.2211968034378455,1.8919971928702075,0.0028275437325014467
10,0.17472394936241908,3.2244589107464527,2.2211962738632596,1.89199764395749,0.0028275437324728325
11,0.1747239458909661,3.2244590602296856,2.221196141469645,1.8919976063668742,0.002827543732467048
==================
c0, c1, c2, c3, 
0.1747239458909661,3.2244590602296856,2.221196141469645,1.8919976063668742
Sum of square residuals =, 0.002827543732467048
==================
0.174724,3.224459,2.221196,1.891998 (rounded) 
Sum of square residuals (rounded pars) =, 0.0028275437325688503, (abs diff = 1.0180224718769892e-13)
