# q,S(q)
1.000000000000000021e-02,9.530922797210537758e-06
2.000000000000000042e-02,4.211570997106200162e-05
2.999999999999999889e-02,9.569527354859971738e-05
4.000000000000000083e-02,1.701621652149750980e-04
5.000000000000000278e-02,2.659174089025031205e-04
6.000000000000000472e-02,3.829927195227868599e-04
6.999999999999999278e-02,5.214049584441830115e-04
8.000000000000000167e-02,6.811920366261284060e-04
8.999999999999999667e-02,8.623730809952305336e-04
9.999999999999999167e-02,1.064993038188566865e-03
1.100000000000000006e-01,1.289088875942498739e-03
1.199999999999999956e-01,1.534706030667026691e-03
1.300000000000000044e-01,1.801893793116852516e-03
1.400000000000000133e-01,2.090705710481696039e-03
1.500000000000000222e-01,2.401200086951834223e-03
1.600000000000000033e-01,2.733439408030146397e-03
1.700000000000000122e-01,3.087491136117144833e-03
1.800000000000000211e-01,3.463427164264457764e-03
1.900000000000000022e-01,3.861324028128655834e-03
2.000000000000000111e-01,4.281263291836106058e-03
2.100000000000000200e-01,4.723331096699280411e-03
2.200000000000000011e-01,5.187618673104124264e-03
2.300000000000000100e-01,5.674222148132503259e-03
2.400000000000000189e-01,6.183242731820380589e-03
2.500000000000000000e-01,6.714786696982983846e-03
2.600000000000000089e-01,7.268965675977497563e-03
2.700000000000000178e-01,7.845896557721649886e-03
2.800000000000000266e-01,8.445701653095213229e-03
2.900000000000000355e-01,9.068508780541309836e-03
2.999999999999999889e-01,9.714451288739468782e-03
3.099999999999999978e-01,1.038366853149905004e-02
3.200000000000000067e-01,1.107630532429015532e-02
3.300000000000000155e-01,1.179251274016334707e-02
3.400000000000000244e-01,1.253244784359975467e-02
3.500000000000000333e-01,1.329627391639609524e-02
3.600000000000000422e-01,1.408416059358491568e-02
3.699999999999999956e-01,1.489628400401738460e-02
3.800000000000000044e-01,1.573282676210459655e-02
3.900000000000000133e-01,1.659397873468808349e-02
4.000000000000000222e-01,1.747993611723798815e-02
4.100000000000000311e-01,1.839090288186544936e-02
4.200000000000000400e-01,1.932708959816053368e-02
4.299999999999999933e-01,2.028871483188517469e-02
4.400000000000000022e-01,2.127600463144809634e-02
4.500000000000000111e-01,2.228919289357129616e-02
4.600000000000000200e-01,2.332852156326477647e-02
4.700000000000000289e-01,2.439424060248994094e-02
4.800000000000000377e-01,2.548660916130861612e-02
4.899999999999999911e-01,2.660589438539575149e-02
5.000000000000000000e-01,2.775237231239839272e-02
5.100000000000000089e-01,2.892632896843488205e-02
5.200000000000000178e-01,3.012805871036068964e-02
5.300000000000000266e-01,3.135786642315830514e-02
5.400000000000000355e-01,3.261606700681965454e-02
5.500000000000000444e-01,3.390298465314301596e-02
5.600000000000000533e-01,3.521895504210258154e-02
5.700000000000000622e-01,3.656432439445433946e-02
5.800000000000000711e-01,3.793945010107619559e-02
5.899999999999999689e-01,3.934470105307905086e-02
5.999999999999999778e-01,4.078045798758019036e-02
6.099999999999999867e-01,4.224711384666478275e-02
6.199999999999999956e-01,4.374507371511833498e-02
6.300000000000000044e-01,4.527475693011383945e-02
6.400000000000000133e-01,4.683659492630578430e-02
6.500000000000000222e-01,4.843103286805247598e-02
6.600000000000000311e-01,5.005853157108910295e-02
6.700000000000000400e-01,5.171956461394209420e-02
6.800000000000000488e-01,5.341462271914734772e-02
6.900000000000000577e-01,5.514421021135548773e-02
7.000000000000000666e-01,5.690884913898992120e-02
7.100000000000000755e-01,5.870907832644227387e-02
7.199999999999999734e-01,6.054545213602705728e-02
7.299999999999999822e-01,6.241854449313725961e-02
7.399999999999999911e-01,6.432894721860329956e-02
7.500000000000000000e-01,6.627727123090552952e-02
7.600000000000000089e-01,6.826414721066766111e-02
7.700000000000000178e-01,7.029022629437342573e-02
7.800000000000000266e-01,7.235618079395764179e-02
7.900000000000000355e-01,7.446270495938646372e-02
8.000000000000000444e-01,7.661051576970967503e-02
8.100000000000000533e-01,7.880035297230388036e-02
8.200000000000000622e-01,8.103298305390582712e-02
8.300000000000000711e-01,8.330919552704137143e-02
8.400000000000000799e-01,8.562980608038325836e-02
8.499999999999999778e-01,8.799566018898290209e-02
8.599999999999999867e-01,9.040762822669981547e-02
8.699999999999999956e-01,9.286661344618835079e-02
8.800000000000000044e-01,9.537354604069407660e-02
8.900000000000000133e-01,9.792939160364247386e-02
9.000000000000000222e-01,1.005351449265048103e-01
9.100000000000000311e-01,1.031918379566975075e-01
9.200000000000000400e-01,1.059005373649679060e-01
9.300000000000000488e-01,1.086623480305267259e-01
9.400000000000000577e-01,1.114784102863901477e-01
9.500000000000000666e-01,1.143499078977319311e-01
9.600000000000000755e-01,1.172780655353224816e-01
9.699999999999999734e-01,1.202641515947588807e-01
9.799999999999999822e-01,1.233094800767418620e-01
