# q,S(q)
1.000000000000000021e-02,3.715368918202399123e-09
2.000000000000000042e-02,8.097805731371312822e-09
2.999999999999999889e-02,4.044816863379485776e-08
4.000000000000000083e-02,1.277827929920336191e-07
5.000000000000000278e-02,3.085942452184293416e-07
6.000000000000000472e-02,6.340947516213084189e-07
6.999999999999999278e-02,1.166363500880123256e-06
8.000000000000000167e-02,1.980859574827531768e-06
8.999999999999999667e-02,3.156157093049555295e-06
9.999999999999999167e-02,4.809878073493756547e-06
1.100000000000000006e-01,7.075090183347012348e-06
1.199999999999999956e-01,1.847214286811045417e-03
1.300000000000000044e-01,2.168738485269403136e-03
1.400000000000000133e-01,2.516251488891474344e-03
1.500000000000000222e-01,2.889835080436576990e-03
1.600000000000000033e-01,3.289545683865482094e-03
1.700000000000000122e-01,3.715458462464137773e-03
1.800000000000000211e-01,4.167527639250837024e-03
1.900000000000000022e-01,4.646215947461511571e-03
2.000000000000000111e-01,5.151229385953309467e-03
2.100000000000000200e-01,5.682801752295334012e-03
2.200000000000000011e-01,6.241019684461906851e-03
2.300000000000000100e-01,6.825992314785137537e-03
2.400000000000000189e-01,7.437829688933979277e-03
2.500000000000000000e-01,8.076648885561995769e-03
2.600000000000000089e-01,8.742569335648989887e-03
2.700000000000000178e-01,9.435719881099259923e-03
2.800000000000000266e-01,1.015623234171249278e-02
2.900000000000000355e-01,1.090444374561925882e-02
2.999999999999999889e-01,1.168029409540009313e-02
3.099999999999999978e-01,1.248392683173500314e-02
3.200000000000000067e-01,1.331551823454857168e-02
3.300000000000000155e-01,1.417523455116121746e-02
3.400000000000000244e-01,1.506325258081081878e-02
3.500000000000000333e-01,1.597974629178205291e-02
3.600000000000000422e-01,1.692489993602143764e-02
3.699999999999999956e-01,1.789890794549748101e-02
3.800000000000000044e-01,1.890137550599805746e-02
3.900000000000000133e-01,1.993360917071669916e-02
4.000000000000000222e-01,2.099548428642529496e-02
4.100000000000000311e-01,2.208702352732785923e-02
4.200000000000000400e-01,2.320845236866725045e-02
4.299999999999999933e-01,2.436001658357465904e-02
4.400000000000000022e-01,2.554196089520208851e-02
4.500000000000000111e-01,2.675453601695849601e-02
4.600000000000000200e-01,2.799717472258464110e-02
4.700000000000000289e-01,2.927228638415366874e-02
4.800000000000000377e-01,3.057882406416139245e-02
4.899999999999999911e-01,3.191711681920504640e-02
5.000000000000000000e-01,3.328689736509058555e-02
5.100000000000000089e-01,3.468929476417343533e-02
5.200000000000000178e-01,3.612438216128040919e-02
5.300000000000000266e-01,3.759212202218895765e-02
5.400000000000000355e-01,3.909309835613476725e-02
