# q,<w**2.0>/wp(0)**2.0
1.000000000000000021e-02,1.522068423295827145e-05
2.000000000000000042e-02,5.021721914533325195e-05
2.999999999999999889e-02,1.152499208066096523e-04
4.000000000000000083e-02,2.047371914946086646e-04
5.000000000000000278e-02,3.199153053097042649e-04
6.000000000000000472e-02,4.606325721245483566e-04
6.999999999999999278e-02,6.268912791492837382e-04
8.000000000000000167e-02,8.186756789018906962e-04
8.999999999999999667e-02,1.035962967947935643e-03
9.999999999999999167e-02,1.278727016161813543e-03
1.100000000000000006e-01,1.546938748713624608e-03
1.199999999999999956e-01,1.840566123629068431e-03
1.300000000000000044e-01,2.159573907020719517e-03
1.400000000000000133e-01,2.503923780187040753e-03
1.500000000000000222e-01,2.873573954534868174e-03
1.600000000000000033e-01,3.268479600247591564e-03
1.700000000000000122e-01,3.688592546416844583e-03
1.800000000000000211e-01,4.133861350597415642e-03
1.900000000000000022e-01,4.604231091170126432e-03
2.000000000000000111e-01,5.099643587803239300e-03
2.100000000000000200e-01,5.620037226665179284e-03
2.200000000000000011e-01,6.165346830852771499e-03
2.300000000000000100e-01,6.735503729985519404e-03
2.400000000000000189e-01,7.330435686439796227e-03
2.500000000000000000e-01,7.950066927603896896e-03
2.600000000000000089e-01,8.594317861830558930e-03
2.700000000000000178e-01,9.263105241817351510e-03
2.800000000000000266e-01,9.956342139047058559e-03
2.900000000000000355e-01,1.067393761447122183e-02
2.999999999999999889e-01,1.141579703310879358e-02
3.099999999999999978e-01,1.218182160270091761e-02
3.200000000000000067e-01,1.297190875367891516e-02
3.300000000000000155e-01,1.378595160479701050e-02
3.400000000000000244e-01,1.462383940587417240e-02
3.500000000000000333e-01,1.548545694074534955e-02
3.600000000000000422e-01,1.637068519344521411e-02
3.699999999999999956e-01,1.727940003923691265e-02
3.800000000000000044e-01,1.821147376720722369e-02
3.900000000000000133e-01,1.916677390889962029e-02
4.000000000000000222e-01,2.014516347898762452e-02
4.100000000000000311e-01,2.114650069884073738e-02
4.200000000000000400e-01,2.217063954098673351e-02
4.299999999999999933e-01,2.321742883715946157e-02
4.400000000000000022e-01,2.428671307576320965e-02
4.500000000000000111e-01,2.537833168065483508e-02
4.600000000000000200e-01,2.649211888994539021e-02
4.700000000000000289e-01,2.762790473485189982e-02
4.800000000000000377e-01,2.878551284446066380e-02
4.899999999999999911e-01,2.996476337902216278e-02
5.000000000000000000e-01,3.116546989389222533e-02
5.100000000000000089e-01,3.238744156179906852e-02
5.200000000000000178e-01,3.363048194605113700e-02
5.300000000000000266e-01,3.489438922297536522e-02
