# q,S(q)
1.000000000000000021e-02,9.280213741702317871e-07
2.000000000000000042e-02,1.071448669385188092e-05
2.999999999999999889e-02,5.740670050273956727e-05
4.000000000000000083e-02,2.548891229531088541e-04
5.000000000000000278e-02,1.329541221390038302e-03
6.000000000000000472e-02,6.854589297639146310e-03
6.999999999999999278e-02,2.138531814700779434e-03
8.000000000000000167e-02,1.367862022619434608e-03
8.999999999999999667e-02,1.099281757562293408e-03
9.999999999999999167e-02,9.798290176520872436e-04
1.100000000000000006e-01,9.264780022885970483e-04
1.199999999999999956e-01,9.096250268238143888e-04
1.300000000000000044e-01,9.163953850812910432e-04
1.400000000000000133e-01,9.406458455092632336e-04
1.500000000000000222e-01,9.794930065510902995e-04
1.600000000000000033e-01,1.031952580743659802e-03
1.700000000000000122e-01,1.098447787109767780e-03
1.800000000000000211e-01,1.180818461285269676e-03
1.900000000000000022e-01,1.282847602366885041e-03
2.000000000000000111e-01,1.411715947749293994e-03
2.100000000000000200e-01,1.582003369529342250e-03
2.200000000000000011e-01,1.828818264770736435e-03
2.300000000000000100e-01,2.274285988462041840e-03
2.400000000000000189e-01,1.036608760258203588e-02
2.500000000000000000e-01,5.512970423839195361e-03
2.600000000000000089e-01,4.217250034208163724e-03
2.700000000000000178e-01,3.674834140675313065e-03
2.800000000000000266e-01,3.399739966636580388e-03
2.900000000000000355e-01,3.239059945551676749e-03
2.999999999999999889e-01,3.136912978685669345e-03
3.099999999999999978e-01,3.069072958200441681e-03
3.200000000000000067e-01,3.023451208975589787e-03
3.300000000000000155e-01,2.993292791168653856e-03
3.400000000000000244e-01,2.974482146821551959e-03
3.500000000000000333e-01,2.964330356884128416e-03
3.600000000000000422e-01,2.960989365701945531e-03
3.699999999999999956e-01,2.963128454138722924e-03
3.800000000000000044e-01,2.969756828281447814e-03
3.900000000000000133e-01,2.980123147383846767e-03
4.000000000000000222e-01,2.993640952682116024e-03
4.100000000000000311e-01,3.009845261966668985e-03
4.200000000000000400e-01,3.028361832199004400e-03
4.299999999999999933e-01,3.048885558126720931e-03
4.400000000000000022e-01,3.071164915147370569e-03
4.500000000000000111e-01,3.094990518422966169e-03
4.600000000000000200e-01,3.120186555898419797e-03
4.700000000000000289e-01,3.146604271530403958e-03
4.800000000000000377e-01,3.174116938856530977e-03
4.899999999999999911e-01,3.202615935982248974e-03
5.000000000000000000e-01,3.232007646585872366e-03
5.100000000000000089e-01,3.262210988587250886e-03
5.200000000000000178e-01,3.293155425434143944e-03
5.300000000000000266e-01,3.324779352486786216e-03
5.400000000000000355e-01,3.357028777810555295e-03
5.500000000000000444e-01,3.389856236138388042e-03
5.600000000000000533e-01,3.423219889048167465e-03
5.700000000000000622e-01,3.457089703757800728e-03
5.800000000000000711e-01,3.491411868801312830e-03
5.899999999999999689e-01,3.526178812915335345e-03
5.999999999999999778e-01,3.561357559467546313e-03
6.099999999999999867e-01,3.596925276649428575e-03
6.199999999999999956e-01,3.632861698795623612e-03
6.300000000000000044e-01,3.669148848534960292e-03
6.400000000000000133e-01,3.705770798217654025e-03
6.500000000000000222e-01,3.742713464510535881e-03
6.600000000000000311e-01,3.779964431143701710e-03
6.700000000000000400e-01,3.817512795670132981e-03
6.800000000000000488e-01,3.855349036810751598e-03
6.900000000000000577e-01,3.893464899535827896e-03
7.000000000000000666e-01,3.931853506247061543e-03
7.100000000000000755e-01,3.970508422222163679e-03
7.199999999999999734e-01,4.009424862128435629e-03
7.299999999999999822e-01,4.048598766049924490e-03
7.399999999999999911e-01,4.088028405159769944e-03
7.500000000000000000e-01,4.127708596762549864e-03
7.600000000000000089e-01,4.167639213357140875e-03
7.700000000000000178e-01,4.207819490480547465e-03
7.800000000000000266e-01,4.248249404837906203e-03
7.900000000000000355e-01,4.288929653318815198e-03
8.000000000000000444e-01,4.329861637330446184e-03
