# q,S(q)
1.000000000000000021e-02,5.287335453971851317e-05
2.000000000000000042e-02,2.126251198525809082e-04
2.999999999999999889e-02,4.783619864198318940e-04
4.000000000000000083e-02,8.502896012053789412e-04
5.000000000000000278e-02,1.328316943340715614e-03
6.000000000000000472e-02,1.912320969498720359e-03
6.999999999999999278e-02,2.602154414194339169e-03
8.000000000000000167e-02,3.397645116321869590e-03
8.999999999999999667e-02,4.298596530776945847e-03
9.999999999999999167e-02,5.304788456681674633e-03
1.100000000000000006e-01,6.415977290337814345e-03
1.199999999999999956e-01,7.631896533254298350e-03
1.300000000000000044e-01,8.952257258417996993e-03
1.400000000000000133e-01,1.037674821282539954e-02
1.500000000000000222e-01,1.190503649783352692e-02
1.600000000000000033e-01,1.353676749583381661e-02
1.700000000000000122e-01,1.527156575873988946e-02
1.800000000000000211e-01,1.710903437143419109e-02
1.900000000000000022e-01,1.904875616831483431e-02
2.000000000000000111e-01,2.109029322744769910e-02
2.100000000000000200e-01,2.323318805016990479e-02
2.200000000000000011e-01,2.547696235833134606e-02
2.300000000000000100e-01,2.782111878229728483e-02
2.400000000000000189e-01,3.026514022188109623e-02
2.500000000000000000e-01,3.280848993012104586e-02
2.600000000000000089e-01,3.545061297448189735e-02
2.700000000000000178e-01,3.819093417699966075e-02
2.800000000000000266e-01,4.102886099979407425e-02
2.900000000000000355e-01,4.396378080079101081e-02
2.999999999999999889e-01,4.699506367464034023e-02
3.099999999999999978e-01,5.012206108097762985e-02
3.200000000000000067e-01,5.334410638311545133e-02
3.300000000000000155e-01,5.666051500332835306e-02
3.400000000000000244e-01,6.007058457501956300e-02
3.500000000000000333e-01,6.357359447259260110e-02
3.600000000000000422e-01,6.716880841899441901e-02
3.699999999999999956e-01,7.085547028995588248e-02
3.800000000000000044e-01,7.463280940187601298e-02
3.900000000000000133e-01,7.850003521520956817e-02
4.000000000000000222e-01,8.245634239805160748e-02
4.100000000000000311e-01,8.650090813032422499e-02
4.200000000000000400e-01,9.063289382805972405e-02
4.299999999999999933e-01,9.485144174645922244e-02
4.400000000000000022e-01,9.915568034215306581e-02
