# q,S(q)
1.000000000000000021e-02,3.761165030113230828e-09
2.000000000000000042e-02,8.572326717069085861e-09
2.999999999999999889e-02,4.573935124386559594e-08
4.000000000000000083e-02,1.587464566693197942e-07
5.000000000000000278e-02,4.357146062524338254e-07
6.000000000000000472e-02,3.477611747341320298e-06
6.999999999999999278e-02,5.724590969054850424e-06
8.000000000000000167e-02,8.199501240272634569e-04
8.999999999999999667e-02,1.037994792381433020e-03
9.999999999999999167e-02,1.281809224978630850e-03
1.100000000000000006e-01,1.551433717285196582e-03
1.199999999999999956e-01,1.846895001210839896e-03
1.300000000000000044e-01,2.168243889201459246e-03
1.400000000000000133e-01,2.515518200442523698e-03
1.500000000000000222e-01,2.888762104944112875e-03
1.600000000000000033e-01,3.288012500019806689e-03
1.700000000000000122e-01,3.713318751133230008e-03
1.800000000000000211e-01,4.164721789695143180e-03
1.900000000000000022e-01,4.642265126346970666e-03
2.000000000000000111e-01,5.145994291841317694e-03
2.100000000000000200e-01,5.676014141656783585e-03
2.200000000000000011e-01,6.232302161859772441e-03
2.300000000000000100e-01,6.814921701430454344e-03
2.400000000000000189e-01,7.423955290707761993e-03
2.500000000000000000e-01,8.059418097745765092e-03
2.600000000000000089e-01,8.721397155180381222e-03
2.700000000000000178e-01,9.409961939088839350e-03
2.800000000000000266e-01,1.012517766738068800e-02
2.900000000000000355e-01,1.086711274799517096e-02
2.999999999999999889e-01,1.163583605314653935e-02
3.099999999999999978e-01,1.243141659415347884e-02
3.200000000000000067e-01,1.325392804712525498e-02
3.300000000000000155e-01,1.410343520845365982e-02
3.400000000000000244e-01,1.497999970255835256e-02
3.500000000000000333e-01,1.588369906252230790e-02
3.600000000000000422e-01,1.681527913339996710e-02
3.699999999999999956e-01,1.777424725603674038e-02
3.800000000000000044e-01,1.876008512667954806e-02
3.900000000000000133e-01,1.977334991627687291e-02
4.000000000000000222e-01,2.081410746778751888e-02
4.100000000000000311e-01,2.188243430857696181e-02
4.200000000000000400e-01,2.297812850207446925e-02
4.299999999999999933e-01,2.410183908977624537e-02
4.400000000000000022e-01,2.525332984882090737e-02
4.500000000000000111e-01,2.643301745139352982e-02
4.600000000000000200e-01,2.764095703386356892e-02
4.700000000000000289e-01,2.887691197771574333e-02
4.800000000000000377e-01,3.014096154611364473e-02
4.899999999999999911e-01,3.143325820701741574e-02
5.000000000000000000e-01,3.275371948289388518e-02
5.100000000000000089e-01,3.410281924119286379e-02
5.200000000000000178e-01,3.548050977865013084e-02
5.300000000000000266e-01,3.688775628468388135e-02
5.400000000000000355e-01,3.832288095134710193e-02
5.500000000000000444e-01,3.978736169600429612e-02
5.600000000000000533e-01,4.128102480694335191e-02
5.700000000000000622e-01,4.280373265872910310e-02
5.800000000000000711e-01,4.435540228130274015e-02
5.899999999999999689e-01,4.593690708528500727e-02
5.999999999999999778e-01,4.754785284604600565e-02
6.099999999999999867e-01,4.918855510614383864e-02
6.199999999999999956e-01,5.085929699557377448e-02
6.300000000000000044e-01,5.256018479917407699e-02
6.400000000000000133e-01,5.429099835985178035e-02
6.500000000000000222e-01,5.605168053574054871e-02
6.600000000000000311e-01,5.784331720497822016e-02
6.700000000000000400e-01,5.966542628557290617e-02
6.800000000000000488e-01,6.151853192729594272e-02
6.900000000000000577e-01,6.340223247051615663e-02
7.000000000000000666e-01,6.531725739125032737e-02
7.100000000000000755e-01,6.726365121344295150e-02
7.199999999999999734e-01,6.924117563687970378e-02
7.299999999999999822e-01,7.125071130900824390e-02
7.399999999999999911e-01,7.329203515671110780e-02
7.500000000000000000e-01,7.536517787358475162e-02
7.600000000000000089e-01,7.747073885674657379e-02
7.700000000000000178e-01,7.960830186420912724e-02
7.800000000000000266e-01,8.177874627722432621e-02
7.900000000000000355e-01,8.398860152760369291e-02
8.000000000000000444e-01,8.621865650983220886e-02
8.100000000000000533e-01,8.848889969952063173e-02
8.200000000000000622e-01,9.079048338645130667e-02
8.300000000000000711e-01,9.312729947682224507e-02
8.400000000000000799e-01,9.549734236937482135e-02
8.499999999999999778e-01,9.790200319627205550e-02
8.599999999999999867e-01,1.003410712215648121e-01
8.699999999999999956e-01,1.028147234295242046e-01
8.800000000000000044e-01,1.053232759150724146e-01
8.900000000000000133e-01,1.078669692590454310e-01
9.000000000000000222e-01,1.104466696492429900e-01
9.100000000000000311e-01,1.130602670240380414e-01
9.200000000000000400e-01,1.157107607204450606e-01
9.300000000000000488e-01,1.183976523318539809e-01
9.400000000000000577e-01,1.211206583836110517e-01
9.500000000000000666e-01,1.238803100469278023e-01
9.600000000000000755e-01,1.266771903405067845e-01
9.699999999999999734e-01,1.295115451880754220e-01
9.799999999999999822e-01,1.323834508525534859e-01
9.899999999999999911e-01,1.352932158011790620e-01
1.000000000000000000e+00,1.382420210681772066e-01
1.010000000000000009e+00,1.412271141987423428e-01
1.020000000000000018e+00,1.442524513895603600e-01
1.030000000000000027e+00,1.473168909274243654e-01
1.040000000000000036e+00,1.504208589010620767e-01
1.050000000000000044e+00,1.535644992298476064e-01
1.060000000000000053e+00,1.567483516537364341e-01
1.070000000000000062e+00,1.599728259774402805e-01
1.080000000000000071e+00,1.632395718170280841e-01
1.090000000000000080e+00,1.665446035833920979e-01
1.100000000000000089e+00,1.698929082127281498e-01
1.110000000000000098e+00,1.732830078121929962e-01
1.120000000000000107e+00,1.767168117280324968e-01
1.130000000000000115e+00,1.801905617814818783e-01
1.140000000000000124e+00,1.837090427868468545e-01
1.150000000000000133e+00,1.872706232847562435e-01
1.160000000000000142e+00,1.908761724424763995e-01
1.169999999999999929e+00,1.945259376074342794e-01
1.179999999999999938e+00,1.982205563783609181e-01
1.189999999999999947e+00,2.019601717940411878e-01
1.199999999999999956e+00,2.057453463796528881e-01
1.209999999999999964e+00,2.095758821610707590e-01
1.219999999999999973e+00,2.134532173927714271e-01
1.229999999999999982e+00,2.173769809440416478e-01
1.239999999999999991e+00,2.213483438361460720e-01
1.250000000000000000e+00,2.253673315310690817e-01
1.260000000000000009e+00,2.294338512277171449e-01
1.270000000000000018e+00,2.335493156194798636e-01
1.280000000000000027e+00,2.377133787240913454e-01
1.290000000000000036e+00,2.419271952113374868e-01
1.300000000000000044e+00,2.461906377477289798e-01
1.310000000000000053e+00,2.505043208064436366e-01
1.320000000000000062e+00,2.548689361287587163e-01
1.330000000000000071e+00,2.592845128936018262e-01
1.340000000000000080e+00,2.637518385209007277e-01
1.350000000000000089e+00,2.682716077837341562e-01
1.360000000000000098e+00,2.728434341720638590e-01
1.370000000000000107e+00,2.774731860516267967e-01
1.380000000000000115e+00,2.821477738587008233e-01
1.390000000000000124e+00,2.868798504846741815e-01
1.400000000000000133e+00,2.916671917077764409e-01
1.410000000000000142e+00,2.965097030188569294e-01
1.419999999999999929e+00,3.014073297417434460e-01
1.429999999999999938e+00,3.063610329903396767e-01
1.439999999999999947e+00,3.113709083981148762e-01
1.449999999999999956e+00,3.164375871047026001e-01
1.459999999999999964e+00,3.215618760999174874e-01
1.469999999999999973e+00,3.267440803580545228e-01
1.479999999999999982e+00,3.319842685603513477e-01
1.489999999999999991e+00,3.372834448190469847e-01
1.500000000000000000e+00,3.426418642395911984e-01
1.510000000000000009e+00,3.480598574529120137e-01
1.520000000000000018e+00,3.535381940694397596e-01
1.530000000000000027e+00,3.590770050887937548e-01
1.540000000000000036e+00,3.646769479010873449e-01
1.550000000000000044e+00,3.703387903013424243e-01
1.560000000000000053e+00,3.760650807752396463e-01
1.570000000000000062e+00,3.818484392864740506e-01
1.580000000000000071e+00,3.876977236532091475e-01
1.590000000000000080e+00,3.936103062952749920e-01
1.600000000000000089e+00,3.995865288950983252e-01
1.610000000000000098e+00,4.056275818543443878e-01
1.620000000000000107e+00,4.117365611907786160e-01
1.630000000000000115e+00,4.179041018022743303e-01
1.640000000000000124e+00,4.241415602354614012e-01
1.650000000000000133e+00,4.304437657058660660e-01
1.660000000000000142e+00,4.368135548286874448e-01
1.670000000000000151e+00,4.432508083357407092e-01
1.679999999999999938e+00,4.497550873540396288e-01
1.689999999999999947e+00,4.563278768965489673e-01
1.699999999999999956e+00,4.629703730503320624e-01
1.709999999999999964e+00,4.696810374093596252e-01
1.719999999999999973e+00,4.764623058462397753e-01
1.729999999999999982e+00,4.833148628733746621e-01
1.739999999999999991e+00,4.902384772826128834e-01
1.750000000000000000e+00,4.972342289799928094e-01
1.760000000000000009e+00,5.043038680061778800e-01
1.770000000000000018e+00,5.114471012685081197e-01
1.780000000000000027e+00,5.186658907077779102e-01
1.790000000000000036e+00,5.259617216380738647e-01
1.800000000000000044e+00,5.333359130701361694e-01
1.810000000000000053e+00,5.407904214157043254e-01
1.820000000000000062e+00,5.483275012824144756e-01
