# q,S(q)
1.000000000000000021e-02,3.760679364041828563e-09
2.000000000000000042e-02,8.565404206505422217e-09
2.999999999999999889e-02,4.565902630019814503e-08
4.000000000000000083e-02,1.543031182950007504e-07
5.000000000000000278e-02,4.201915629791713121e-07
6.000000000000000472e-02,3.456457049719377258e-06
6.999999999999999278e-02,5.705168113609854276e-06
8.000000000000000167e-02,8.199412001145781493e-04
8.999999999999999667e-02,1.037980491520332444e-03
9.999999999999999167e-02,1.281786583571090142e-03
1.100000000000000006e-01,1.551396541316612870e-03
1.199999999999999956e-01,1.846845286205799899e-03
1.300000000000000044e-01,2.168175836253853541e-03
1.400000000000000133e-01,2.515435878291874018e-03
1.500000000000000222e-01,2.888673867624691732e-03
1.600000000000000033e-01,3.287942964088316419e-03
1.700000000000000122e-01,3.713294867352603165e-03
1.800000000000000211e-01,4.164786115689564014e-03
1.900000000000000022e-01,4.642433511183419008e-03
2.000000000000000111e-01,5.146378046451270845e-03
2.100000000000000200e-01,5.676613717520650158e-03
2.200000000000000011e-01,6.233142740274858450e-03
2.300000000000000100e-01,6.815998786397989458e-03
2.400000000000000189e-01,7.425214524825221769e-03
2.500000000000000000e-01,8.060848863394049629e-03
2.600000000000000089e-01,8.722904568452715529e-03
2.700000000000000178e-01,9.411467588982263752e-03
2.800000000000000266e-01,1.012660696740072010e-02
2.900000000000000355e-01,1.086840420185939023e-02
2.999999999999999889e-01,1.163694871593135005e-02
3.099999999999999978e-01,1.243233462662822995e-02
3.200000000000000067e-01,1.325465758889278652e-02
3.300000000000000155e-01,1.410401799797394475e-02
3.400000000000000244e-01,1.498050355040023325e-02
3.500000000000000333e-01,1.588419395675440618e-02
3.600000000000000422e-01,1.681580059989471257e-02
3.699999999999999956e-01,1.777503116760911772e-02
3.800000000000000044e-01,1.876120104114931825e-02
3.900000000000000133e-01,1.977460789948172482e-02
4.000000000000000222e-01,2.081625918831706348e-02
4.100000000000000311e-01,2.188499863096785014e-02
4.200000000000000400e-01,2.298181364864643542e-02
4.299999999999999933e-01,2.410645704817156523e-02
4.400000000000000022e-01,2.525903075623608246e-02
4.500000000000000111e-01,2.643978687353200352e-02
4.600000000000000200e-01,2.764906268081181867e-02
4.700000000000000289e-01,2.888635433094423333e-02
4.800000000000000377e-01,3.015185831590025747e-02
4.899999999999999911e-01,3.144565686776605584e-02
