# q,<w**2.0>/wp(0)**2.0
1.000000000000000021e-02,9.525379897948080295e-06
2.000000000000000042e-02,4.212906548837667357e-05
2.999999999999999889e-02,9.567624157720979827e-05
4.000000000000000083e-02,1.700823886052987128e-04
5.000000000000000278e-02,2.657284842163153875e-04
6.000000000000000472e-02,3.826064321656644359e-04
6.999999999999999278e-02,5.206947309558185907e-04
8.000000000000000167e-02,6.799869036513838012e-04
8.999999999999999667e-02,8.604584753493928033e-04
9.999999999999999167e-02,1.062095889288335992e-03
1.100000000000000006e-01,1.284881993712034621e-03
1.199999999999999956e-01,1.528801080473914846e-03
1.300000000000000044e-01,1.793838470753229440e-03
1.400000000000000133e-01,2.079977781520942794e-03
1.500000000000000222e-01,2.387197721976305753e-03
1.600000000000000033e-01,2.715468606857233697e-03
1.700000000000000122e-01,3.064752095284186371e-03
1.800000000000000211e-01,3.435003682429992131e-03
1.900000000000000022e-01,3.826178147938793551e-03
2.000000000000000111e-01,4.238234566009788963e-03
2.100000000000000200e-01,4.671139033560456864e-03
2.200000000000000011e-01,5.124864613678820242e-03
2.300000000000000100e-01,5.599388961924564589e-03
2.400000000000000189e-01,6.094691184697842261e-03
2.500000000000000000e-01,6.610748994279203733e-03
2.600000000000000089e-01,7.147536628217775016e-03
2.700000000000000178e-01,7.705023725974312863e-03
2.800000000000000266e-01,8.283174923765160638e-03
2.900000000000000355e-01,8.881949964394317970e-03
2.999999999999999889e-01,9.501304061933576670e-03
3.099999999999999978e-01,1.014118839558945245e-02
3.200000000000000067e-01,1.080155057952791355e-02
3.300000000000000155e-01,1.148233510444733076e-02
3.400000000000000244e-01,1.218348369931494986e-02
3.500000000000000333e-01,1.290493561598194013e-02
3.600000000000000422e-01,1.364662798210991394e-02
3.699999999999999956e-01,1.440849542192622866e-02
3.800000000000000044e-01,1.519047112415554054e-02
3.900000000000000133e-01,1.599248579576468404e-02
4.000000000000000222e-01,1.681446889844812401e-02
4.100000000000000311e-01,1.765634762279812836e-02
4.200000000000000400e-01,1.851804733385646259e-02
4.299999999999999933e-01,1.939949216980218008e-02
4.400000000000000022e-01,2.030060397286338053e-02
4.500000000000000111e-01,2.122130300784945758e-02
4.600000000000000200e-01,2.216150779244459301e-02
4.700000000000000289e-01,2.312113510470498526e-02
4.800000000000000377e-01,2.410009998958755756e-02
4.899999999999999911e-01,2.509831601435204285e-02
5.000000000000000000e-01,2.611569428848264235e-02
5.100000000000000089e-01,2.715214493458277881e-02
5.200000000000000178e-01,2.820757641062843907e-02
5.300000000000000266e-01,2.928189464683200738e-02
5.400000000000000355e-01,3.037500499930507677e-02
5.500000000000000444e-01,3.148680997560283912e-02
5.600000000000000533e-01,3.261721160846577788e-02
5.700000000000000622e-01,3.376610900328589487e-02
5.800000000000000711e-01,3.493340088958712952e-02
5.899999999999999689e-01,3.611898334425040630e-02
5.999999999999999778e-01,3.732275110008408808e-02
6.099999999999999867e-01,3.854459722566567353e-02
6.199999999999999956e-01,3.978441273001140366e-02
6.300000000000000044e-01,4.104208813293712399e-02
6.400000000000000133e-01,4.231751112740708004e-02
6.500000000000000222e-01,4.361056812957721240e-02
6.600000000000000311e-01,4.492114389273149655e-02
6.700000000000000400e-01,4.624912197017668619e-02
6.800000000000000488e-01,4.759438289218793916e-02
6.900000000000000577e-01,4.895680688622763149e-02
7.000000000000000666e-01,5.033627208372042083e-02
7.100000000000000755e-01,5.173265497183292955e-02
7.199999999999999734e-01,5.314583093137580094e-02
7.299999999999999822e-01,5.457567214729324573e-02
7.399999999999999911e-01,5.602205074616276037e-02
7.500000000000000000e-01,5.748483731290604526e-02
7.600000000000000089e-01,5.896389915364316087e-02
7.700000000000000178e-01,6.045910369387202943e-02
7.800000000000000266e-01,6.197031688146208139e-02
7.900000000000000355e-01,6.349740131611143756e-02
8.000000000000000444e-01,6.504022057615166386e-02
8.100000000000000533e-01,6.659863426133150188e-02
8.200000000000000622e-01,6.817250313725502220e-02
8.300000000000000711e-01,6.976168393969717219e-02
8.400000000000000799e-01,7.136603477505157334e-02
8.499999999999999778e-01,7.298541040288543391e-02
8.599999999999999867e-01,7.461966427218791331e-02
8.699999999999999956e-01,7.626865084104735015e-02
8.800000000000000044e-01,7.793222123225196363e-02
8.900000000000000133e-01,7.961022541873284675e-02
9.000000000000000222e-01,8.130251470549121340e-02
9.100000000000000311e-01,8.300893709883269689e-02
9.200000000000000400e-01,8.472934049046372540e-02
9.300000000000000488e-01,8.646357195434846432e-02
9.400000000000000577e-01,8.821147694917513826e-02
9.500000000000000666e-01,8.997290288077937348e-02
9.600000000000000755e-01,9.174769398572053813e-02
9.699999999999999734e-01,9.353569486967901192e-02
9.799999999999999822e-01,9.533674974096988108e-02
9.899999999999999911e-01,9.715070250629630200e-02
1.000000000000000000e+00,9.897739686988255015e-02
1.010000000000000009e+00,1.008166764383355007e-01
1.020000000000000018e+00,1.026683848282559514e-01
1.030000000000000027e+00,1.045323647422739116e-01
1.040000000000000036e+00,1.064084622159326143e-01
1.050000000000000044e+00,1.082965205698674105e-01
1.060000000000000053e+00,1.101963846311194428e-01
1.070000000000000062e+00,1.121078998424830941e-01
1.080000000000000071e+00,1.140309135303046034e-01
1.090000000000000080e+00,1.159652705347106322e-01
1.100000000000000089e+00,1.179108200871604589e-01
1.110000000000000098e+00,1.198674114887893216e-01
1.120000000000000107e+00,1.218348953763035147e-01
1.130000000000000115e+00,1.238131238798877709e-01
1.140000000000000124e+00,1.258019507846886709e-01
1.150000000000000133e+00,1.278012316984781793e-01
1.160000000000000142e+00,1.298108242220367692e-01
1.169999999999999929e+00,1.318305881303080962e-01
1.179999999999999938e+00,1.338603868736005231e-01
1.189999999999999947e+00,1.359000824759425408e-01
1.199999999999999956e+00,1.379495436316189039e-01
1.209999999999999964e+00,1.400086406489328972e-01
1.219999999999999973e+00,1.420772469564348939e-01
1.229999999999999982e+00,1.441552407372995170e-01
1.239999999999999991e+00,1.462424994370113696e-01
1.250000000000000000e+00,1.483389084887274390e-01
1.260000000000000009e+00,1.504443558822233795e-01
1.270000000000000018e+00,1.525587337831159074e-01
1.280000000000000027e+00,1.546819403004196514e-01
1.290000000000000036e+00,1.568138735859036237e-01
1.300000000000000044e+00,1.589544412221657044e-01
1.310000000000000053e+00,1.611035543757142474e-01
1.320000000000000062e+00,1.632611311790262976e-01
1.330000000000000071e+00,1.654270904970457368e-01
1.340000000000000080e+00,1.676013618451576148e-01
1.350000000000000089e+00,1.697838808997651772e-01
1.360000000000000098e+00,1.719745846367565223e-01
1.370000000000000107e+00,1.741734216132008184e-01
1.380000000000000115e+00,1.763803473332994365e-01
1.390000000000000124e+00,1.785953191541908569e-01
1.400000000000000133e+00,1.808183070095949196e-01
1.410000000000000142e+00,1.830492867221781284e-01
1.419999999999999929e+00,1.852882438663886744e-01
1.429999999999999938e+00,1.875351666567455222e-01
1.439999999999999947e+00,1.897900572225088012e-01
1.449999999999999956e+00,1.920529264801352776e-01
1.459999999999999964e+00,1.943237886189789210e-01
1.469999999999999973e+00,1.966026747004952779e-01
1.479999999999999982e+00,1.988896175855734694e-01
1.489999999999999991e+00,2.011846657444382180e-01
1.500000000000000000e+00,2.034878777790195825e-01
1.510000000000000009e+00,2.057993166260479734e-01
1.520000000000000018e+00,2.081190618278058735e-01
1.530000000000000027e+00,2.104472039122332327e-01
1.540000000000000036e+00,2.127838383178238257e-01
1.550000000000000044e+00,2.151290781464186841e-01
1.560000000000000053e+00,2.174830482689620315e-01
1.570000000000000062e+00,2.198458791127167467e-01
1.580000000000000071e+00,2.222177219466089926e-01
1.590000000000000080e+00,2.245987318166757507e-01
1.600000000000000089e+00,2.269890831077112647e-01
1.610000000000000098e+00,2.293889633106164783e-01
1.620000000000000107e+00,2.317985664122965972e-01
1.630000000000000115e+00,2.342181067262900374e-01
1.640000000000000124e+00,2.366478123750284102e-01
1.650000000000000133e+00,2.390879185901158832e-01
1.660000000000000142e+00,2.415386841810434615e-01
1.670000000000000151e+00,2.440003730061798271e-01
1.679999999999999938e+00,2.464732708547233697e-01
1.689999999999999947e+00,2.489576784925850439e-01
