# q,S(q)
5.000000000000000278e-02,8.402346278967735621e-04
1.000000000000000056e-01,3.361921261109335462e-03
1.500000000000000222e-01,7.563798798223072758e-03
2.000000000000000111e-01,1.344539546367149417e-02
2.500000000000000000e-01,2.100611918223877980e-02
2.999999999999999889e-01,3.024478867568489507e-02
3.500000000000000333e-01,4.116004088256201149e-02
4.000000000000000222e-01,5.374979949169494259e-02
4.500000000000000111e-01,6.801101011789859041e-02
5.000000000000000000e-01,8.393934935550648180e-02
5.500000000000000444e-01,1.015287858870859983e-01
6.000000000000000888e-01,1.207710973038165214e-01
6.500000000000001332e-01,1.416553066744164202e-01
7.000000000000000666e-01,1.641670246567376035e-01
7.500000000000001110e-01,1.882876536208933638e-01
8.000000000000000444e-01,2.139934745636938029e-01
8.500000000000000888e-01,2.412545490203037435e-01
9.000000000000001332e-01,2.700334425722957232e-01
9.500000000000000666e-01,3.002837169446739840e-01
1.000000000000000000e+00,3.319481744244420218e-01
1.050000000000000044e+00,3.649568150843620629e-01
1.100000000000000089e+00,3.992245087765749489e-01
1.150000000000000133e+00,4.346483638618923728e-01
1.200000000000000178e+00,4.711048372842778775e-01
1.250000000000000222e+00,5.084466465834085458e-01
1.300000000000000044e+00,5.464996125482617373e-01
1.350000000000000089e+00,5.850596228615616567e-01
1.400000000000000133e+00,6.238899871344919523e-01
1.450000000000000178e+00,6.627195134765034856e-01
1.500000000000000222e+00,7.012417433050714966e-01
1.550000000000000044e+00,7.391157886554731160e-01
1.600000000000000089e+00,7.759692389124630552e-01
1.650000000000000133e+00,8.114035473505122331e-01
1.700000000000000178e+00,8.450021469629921400e-01
1.750000000000000222e+00,8.763413523472539657e-01
1.800000000000000044e+00,9.050037414561262761e-01
1.850000000000000089e+00,9.305935148567850979e-01
1.900000000000000133e+00,9.527526778330102086e-01
1.950000000000000178e+00,9.711771416621699515e-01
2.000000000000000000e+00,9.856317742236644364e-01
2.049999999999999822e+00,9.969782402812898958e-01
2.100000000000000089e+00,1.006369336183376095e+00
2.149999999999999911e+00,1.014053752247770168e+00
2.199999999999999734e+00,1.020261108494401325e+00
2.250000000000000000e+00,1.025200103931076523e+00
2.299999999999999822e+00,1.029057771684432687e+00
2.350000000000000089e+00,1.031999743262369984e+00
2.399999999999999911e+00,1.034171258327140963e+00
2.450000000000000178e+00,1.035698639813301458e+00
2.500000000000000000e+00,1.036691008056755292e+00
2.549999999999999822e+00,1.037242084950351417e+00
2.600000000000000089e+00,1.037431968582722019e+00
2.649999999999999911e+00,1.037328814736284244e+00
2.700000000000000178e+00,1.036990385873841403e+00
2.750000000000000000e+00,1.036465452893816419e+00
2.799999999999999822e+00,1.035795039579568311e+00
2.850000000000000089e+00,1.035013523001641733e+00
2.899999999999999911e+00,1.034149592614502344e+00
2.950000000000000178e+00,1.033227077866140098e+00
3.000000000000000000e+00,1.032265679190921270e+00
