# q,S(q)
1.000000000000000021e-02,1.926800591826736511e-08
2.000000000000000042e-02,7.738117896186719082e-07
2.999999999999999889e-02,7.180335504531651467e-05
4.000000000000000083e-02,7.442241689229748191e-04
5.000000000000000278e-02,1.651153728345340676e-03
6.000000000000000472e-02,2.034529212093234233e-03
6.999999999999999278e-02,3.437812540745738277e-03
8.000000000000000167e-02,3.227697017717060315e-03
8.999999999999999667e-02,4.210482751993449048e-03
9.999999999999999167e-02,5.573712793799063571e-03
1.100000000000000006e-01,6.285678236807687447e-03
1.199999999999999956e-01,7.459772676560034489e-03
1.300000000000000044e-01,8.960672261009059239e-03
1.400000000000000133e-01,1.038338725899873999e-02
1.500000000000000222e-01,1.185815916495069032e-02
1.600000000000000033e-01,1.346264190544762401e-02
1.700000000000000122e-01,1.519817836880518747e-02
1.800000000000000211e-01,1.707943353521169244e-02
1.900000000000000022e-01,1.900695562691462337e-02
2.000000000000000111e-01,2.101475698302064307e-02
2.100000000000000200e-01,2.311136386158771719e-02
2.200000000000000011e-01,2.532515679664879005e-02
2.300000000000000100e-01,2.763455821459648298e-02
2.400000000000000189e-01,3.008105820426021718e-02
2.500000000000000000e-01,3.259208799675733514e-02
2.600000000000000089e-01,3.519417474568725668e-02
2.700000000000000178e-01,3.791355395828888142e-02
2.800000000000000266e-01,4.068109086518265777e-02
2.900000000000000355e-01,4.357843111524584839e-02
2.999999999999999889e-01,4.654215144805144005e-02
3.099999999999999978e-01,4.961069226798673487e-02
3.200000000000000067e-01,5.275884391682816865e-02
3.300000000000000155e-01,5.600740990180758105e-02
3.400000000000000244e-01,5.935105894066525223e-02
3.500000000000000333e-01,6.274806561301639329e-02
3.600000000000000422e-01,6.625074375595994824e-02
3.699999999999999956e-01,6.983767066536286650e-02
3.800000000000000044e-01,7.351122365898646316e-02
3.900000000000000133e-01,7.725305675651304715e-02
4.000000000000000222e-01,8.109510574862546783e-02
4.100000000000000311e-01,8.499778557063636386e-02
4.200000000000000400e-01,8.898826761527228735e-02
4.299999999999999933e-01,9.305674763205794287e-02
4.400000000000000022e-01,9.719745190123456335e-02
4.500000000000000111e-01,1.014155484541870988e-01
4.600000000000000200e-01,2.068377437624779446e-03
4.700000000000000289e-01,2.335302972379558421e-03
4.800000000000000377e-01,2.631479189360425280e-03
4.899999999999999911e-01,2.959646604647197133e-03
5.000000000000000000e-01,3.322771445261651305e-03
5.100000000000000089e-01,3.724062899115701802e-03
5.200000000000000178e-01,4.166991697095175085e-03
5.300000000000000266e-01,4.655310149711299958e-03
5.400000000000000355e-01,5.193073777747670393e-03
5.500000000000000444e-01,1.474287189363808759e-01
5.600000000000000533e-01,6.434816936590793957e-03
5.700000000000000622e-01,7.148643914750933519e-03
5.800000000000000711e-01,7.931668299047414661e-03
5.899999999999999689e-01,8.789854559178711738e-03
5.999999999999999778e-01,9.729644539832322039e-03
6.099999999999999867e-01,1.075799645890809959e-02
6.199999999999999956e-01,1.188242780809390005e-02
6.300000000000000044e-01,1.311106272730033252e-02
6.400000000000000133e-01,1.445268454098458909e-02
6.500000000000000222e-01,1.591679428974843158e-02
6.600000000000000311e-01,1.751367627306074301e-02
6.700000000000000400e-01,1.925447184956203053e-02
6.800000000000000488e-01,2.115126303499624202e-02
6.900000000000000577e-01,2.321716781455787637e-02
7.000000000000000666e-01,2.546644957403623385e-02
7.100000000000000755e-01,2.791464369108971263e-02
7.199999999999999734e-01,3.057870516843803899e-02
7.299999999999999822e-01,3.347718231192938626e-02
7.399999999999999911e-01,2.505438534736238454e-01
7.500000000000000000e-01,2.564091665916146678e-01
7.600000000000000089e-01,2.623067262815569900e-01
7.700000000000000178e-01,2.682380064044961876e-01
7.800000000000000266e-01,2.742041408132698255e-01
7.900000000000000355e-01,2.801981683786335942e-01
8.000000000000000444e-01,2.862223825798275723e-01
8.100000000000000533e-01,2.922714666908810544e-01
8.200000000000000622e-01,2.983509418850134320e-01
8.300000000000000711e-01,3.044533166857604223e-01
8.400000000000000799e-01,3.105805123493415310e-01
8.499999999999999778e-01,3.167298824664342427e-01
8.599999999999999867e-01,3.229020097678214074e-01
8.699999999999999956e-01,3.290934795892688225e-01
8.800000000000000044e-01,3.353038994933618677e-01
8.900000000000000133e-01,3.415317516151890054e-01
9.000000000000000222e-01,3.477748093944846297e-01
9.100000000000000311e-01,3.540340869871376750e-01
9.200000000000000400e-01,3.603078993156943466e-01
9.300000000000000488e-01,3.665936686245903631e-01
9.400000000000000577e-01,3.728915458745005740e-01
9.500000000000000666e-01,3.791984364583814160e-01
9.600000000000000755e-01,3.855147704399020658e-01
9.699999999999999734e-01,3.918388505943504740e-01
9.799999999999999822e-01,3.981694753440847556e-01
9.899999999999999911e-01,4.045054504494514647e-01
1.000000000000000000e+00,4.108455890960803214e-01
1.010000000000000009e+00,4.171887120061435472e-01
1.020000000000000018e+00,4.235336474173185262e-01
1.030000000000000027e+00,4.298792312722889974e-01
1.040000000000000036e+00,4.362243072036529057e-01
1.050000000000000044e+00,4.425677266032798651e-01
1.060000000000000053e+00,4.489083486678442370e-01
1.070000000000000062e+00,4.552450404378569626e-01
1.080000000000000071e+00,4.615766768303821155e-01
1.090000000000000080e+00,4.679021406656372339e-01
1.100000000000000089e+00,4.742203226876647304e-01
1.110000000000000098e+00,4.805301215792613934e-01
1.120000000000000107e+00,4.868304439713547205e-01
1.130000000000000115e+00,4.931202044470031631e-01
1.140000000000000124e+00,4.993983255402037469e-01
1.150000000000000133e+00,5.056637377296826497e-01
1.160000000000000142e+00,5.119153794278175074e-01
1.169999999999999929e+00,5.181521969649397485e-01
1.179999999999999938e+00,5.243731445690473780e-01
1.189999999999999947e+00,5.305771843412238065e-01
1.199999999999999956e+00,5.367632862268394423e-01
1.209999999999999964e+00,5.429304279827217306e-01
1.219999999999999973e+00,5.490775951404237576e-01
1.229999999999999982e+00,5.552037809657391909e-01
1.239999999999999991e+00,5.613079864187203727e-01
1.250000000000000000e+00,5.673892200908386974e-01
1.260000000000000009e+00,5.734464981760587499e-01
1.270000000000000018e+00,5.794788444026856000e-01
1.280000000000000027e+00,5.854852899743921979e-01
1.290000000000000036e+00,5.914648735362708631e-01
1.300000000000000044e+00,5.974166410595770360e-01
1.310000000000000053e+00,6.033396458283456498e-01
1.320000000000000062e+00,6.092329483449231420e-01
1.330000000000000071e+00,6.150956162643531622e-01
1.340000000000000080e+00,6.209267243210950804e-01
1.350000000000000089e+00,6.267253542534023669e-01
1.360000000000000098e+00,6.324905947254407801e-01
1.370000000000000107e+00,6.382215412472271865e-01
1.380000000000000115e+00,6.439172960924676170e-01
1.390000000000000124e+00,6.495769682143598400e-01
1.400000000000000133e+00,6.551996731594245116e-01
1.410000000000000142e+00,6.607845329794256317e-01
1.419999999999999929e+00,6.663306761414264923e-01
1.429999999999999938e+00,6.718372374360325194e-01
1.439999999999999947e+00,6.773033578838547619e-01
1.449999999999999956e+00,6.827281846424638756e-01
1.459999999999999964e+00,6.881108709008719737e-01
1.469999999999999973e+00,6.934505757932120096e-01
1.479999999999999982e+00,6.987464642903193912e-01
1.489999999999999991e+00,7.039977070997701647e-01
1.500000000000000000e+00,7.092034805618538940e-01
1.510000000000000009e+00,7.143629665444050092e-01
1.520000000000000018e+00,7.194753523354894265e-01
1.530000000000000027e+00,7.245398305344995515e-01
1.540000000000000036e+00,7.295555989414204134e-01
1.550000000000000044e+00,7.345218604442336208e-01
1.560000000000000053e+00,7.394378229043976347e-01
1.570000000000000062e+00,7.443026990403098786e-01
1.580000000000000071e+00,7.491157063086690826e-01
1.590000000000000080e+00,7.538760667836118534e-01
1.600000000000000089e+00,7.585830070334901309e-01
1.610000000000000098e+00,7.632357579951491999e-01
1.620000000000000107e+00,7.678335548455113013e-01
1.630000000000000115e+00,7.723756368702852093e-01
1.640000000000000124e+00,7.768612473295526399e-01
1.650000000000000133e+00,7.812896333217063116e-01
1.660000000000000142e+00,7.856600456354755346e-01
1.670000000000000151e+00,7.899717386139241126e-01
1.679999999999999938e+00,7.942239699984937618e-01
1.689999999999999947e+00,7.984160007758281941e-01
1.699999999999999956e+00,8.025470950177814311e-01
1.709999999999999964e+00,8.066165197155291677e-01
1.719999999999999973e+00,8.106235446071358153e-01
1.729999999999999982e+00,8.145674419978155001e-01
1.739999999999999991e+00,8.184474865720313685e-01
1.750000000000000000e+00,8.222629551964263372e-01
1.760000000000000009e+00,8.260131267124187771e-01
1.770000000000000018e+00,8.296972817171074377e-01
1.780000000000000027e+00,8.333147023308926649e-01
1.790000000000000036e+00,8.368646719499239772e-01
1.800000000000000044e+00,8.403464749811487833e-01
1.810000000000000053e+00,8.437593965572860455e-01
1.820000000000000062e+00,8.471027222285055780e-01
1.830000000000000071e+00,8.503757376282127245e-01
1.840000000000000080e+00,8.535777281005643147e-01
1.850000000000000089e+00,8.567079783022646389e-01
1.860000000000000098e+00,8.597657717470655880e-01
1.870000000000000107e+00,8.627503903012780917e-01
1.880000000000000115e+00,8.656611136111330707e-01
1.890000000000000124e+00,8.684972184471551060e-01
1.900000000000000133e+00,8.712579779442001238e-01
1.910000000000000142e+00,8.739426607079553433e-01
1.920000000000000151e+00,8.765505297468866308e-01
1.929999999999999938e+00,8.790808411701553915e-01
1.939999999999999947e+00,8.815328425618195185e-01
1.949999999999999956e+00,8.839057708893262033e-01
1.959999999999999964e+00,8.861988497068905568e-01
1.969999999999999973e+00,8.884112852145449324e-01
1.979999999999999982e+00,8.905422602630491680e-01
1.989999999999999991e+00,8.925909240156340019e-01
2.000000000000000000e+00,8.945563685269438681e-01
2.009999999999999787e+00,8.964591510574438926e-01
2.020000000000000018e+00,8.983213550415602988e-01
2.029999999999999805e+00,9.001441259013155394e-01
2.040000000000000036e+00,9.019285026887163825e-01
2.049999999999999822e+00,9.036754584639222765e-01
2.059999999999999609e+00,9.053859171953516638e-01
2.069999999999999840e+00,9.070607631724604270e-01
2.079999999999999627e+00,9.087008469857885684e-01
2.089999999999999858e+00,9.103069896475285416e-01
2.099999999999999645e+00,9.118799855962705925e-01
2.109999999999999876e+00,9.134206049834040497e-01
2.119999999999999662e+00,9.149295954725585878e-01
2.129999999999999893e+00,9.164076836955885597e-01
2.139999999999999680e+00,9.178555764585492049e-01
2.149999999999999911e+00,9.192739617609303471e-01
2.159999999999999698e+00,9.206635096723577716e-01
2.169999999999999929e+00,9.220248730995255215e-01
2.179999999999999716e+00,9.233586884606057588e-01
2.189999999999999947e+00,9.246655762990712013e-01
2.199999999999999734e+00,9.259461418312188163e-01
2.209999999999999964e+00,9.272009754514259905e-01
2.219999999999999751e+00,9.284306531976264099e-01
2.229999999999999982e+00,9.296357371841361683e-01
2.239999999999999769e+00,9.308167760068021268e-01
2.250000000000000000e+00,9.319743051244576693e-01
2.259999999999999787e+00,9.331088472199109418e-01
2.270000000000000018e+00,9.342209125430915861e-01
2.279999999999999805e+00,9.353109992385117977e-01
2.290000000000000036e+00,9.363795936588149571e-01
2.299999999999999822e+00,9.374271706658867664e-01
2.310000000000000053e+00,9.384541939207572403e-01
2.319999999999999840e+00,9.394611161641707175e-01
2.329999999999999627e+00,9.404483794837797950e-01
2.339999999999999858e+00,9.414164155806687972e-01
2.349999999999999645e+00,9.423656460202153307e-01
2.359999999999999876e+00,9.432964824793185210e-01
2.369999999999999662e+00,9.442093269859338500e-01
2.379999999999999893e+00,9.451045721520568987e-01
2.389999999999999680e+00,9.459826014005033867e-01
2.399999999999999911e+00,9.468437891857878208e-01
2.409999999999999698e+00,9.476885012093632099e-01
2.419999999999999929e+00,9.485170946294688710e-01
2.429999999999999716e+00,9.493299182657839452e-01
2.439999999999999947e+00,9.501273127990862433e-01
2.449999999999999734e+00,9.509096109660787333e-01
2.459999999999999964e+00,9.516771377495417683e-01
2.469999999999999751e+00,9.524302105647474148e-01
2.479999999999999982e+00,9.531691394376843318e-01
2.489999999999999769e+00,9.538942271863359856e-01
2.500000000000000000e+00,9.546057695906521312e-01
2.509999999999999787e+00,9.553040555619508600e-01
2.520000000000000018e+00,9.559893673076703680e-01
2.529999999999999805e+00,9.566619804922634751e-01
2.540000000000000036e+00,9.573221643943107262e-01
2.549999999999999822e+00,9.579701820599502149e-01
2.560000000000000053e+00,9.586062904526984063e-01
2.569999999999999840e+00,9.592307405997509973e-01
2.579999999999999627e+00,9.598437777348313160e-01
2.589999999999999858e+00,9.604456414376728590e-01
2.599999999999999645e+00,9.610365657701986919e-01
2.609999999999999876e+00,9.616167794101720956e-01
2.619999999999999662e+00,9.621865057783454134e-01
2.629999999999999893e+00,9.627459631690168385e-01
2.639999999999999680e+00,9.632953648712265782e-01
2.649999999999999911e+00,9.638349192901004558e-01
2.659999999999999698e+00,9.643648300646899818e-01
2.669999999999999929e+00,9.648852961829863517e-01
2.679999999999999716e+00,9.653965120941266909e-01
2.689999999999999947e+00,9.658986678181298302e-01
