# q,S(q)
1.000000000000000056e-01,9.050019398224723794e-06
5.999999999999999778e-01,7.165389218967299634e-02
1.100000000000000089e+00,2.492269859443480007e-01
1.600000000000000089e+00,5.449997026465157601e-01
2.100000000000000089e+00,8.710554413040166866e-01
2.600000000000000089e+00,1.013296151077440088e+00
3.100000000000000089e+00,1.043554535164441743e+00
3.600000000000000089e+00,1.041949897047192097e+00
4.099999999999999645e+00,1.035757045781838359e+00
4.599999999999999645e+00,1.030129988416212949e+00
5.099999999999999645e+00,1.025435628429905766e+00
5.599999999999999645e+00,1.021523657205899438e+00
6.099999999999999645e+00,1.018289526426799485e+00
6.599999999999999645e+00,1.015643560187234895e+00
7.099999999999999645e+00,1.013486497224914462e+00
7.599999999999999645e+00,1.011726163971038872e+00
8.099999999999999645e+00,1.010280809179691763e+00
8.599999999999999645e+00,1.009084771762739141e+00
9.099999999999999645e+00,1.008085682256431914e+00
9.599999999999999645e+00,1.007242091415146534e+00
1.009999999999999964e+01,1.006526463757559942e+00
1.059999999999999964e+01,1.005910844511723745e+00
1.109999999999999964e+01,1.005378138547264433e+00
1.159999999999999964e+01,1.004915777179113956e+00
1.209999999999999964e+01,1.004510417258952515e+00
1.259999999999999964e+01,1.004150856329647512e+00
1.309999999999999964e+01,1.003837710813752837e+00
1.359999999999999964e+01,1.003554308151997754e+00
1.409999999999999964e+01,1.003308067204875753e+00
1.459999999999999964e+01,1.003081212916456577e+00
1.509999999999999964e+01,3.735108139457036791e-01
1.559999999999999964e+01,7.214450996099272539e-02
1.610000000000000142e+01,0.000000000000000000e+00
1.660000000000000142e+01,0.000000000000000000e+00
1.710000000000000142e+01,0.000000000000000000e+00
1.760000000000000142e+01,0.000000000000000000e+00
1.810000000000000142e+01,0.000000000000000000e+00
1.860000000000000142e+01,0.000000000000000000e+00
1.910000000000000142e+01,0.000000000000000000e+00
1.960000000000000142e+01,0.000000000000000000e+00
