# q,S(q)
1.000000000000000056e-01,1.683187615364184356e-03
1.100000000000000006e-01,2.037182123956465547e-03
1.199999999999999956e-01,2.425100205400331204e-03
1.300000000000000044e-01,2.846999458039776477e-03
1.399999999999999856e-01,3.302942510269938400e-03
1.499999999999999667e-01,3.792997333645941379e-03
1.599999999999999756e-01,4.317237004394502801e-03
1.699999999999999845e-01,4.875739806354890439e-03
1.799999999999999656e-01,5.468589379616805267e-03
1.899999999999999467e-01,6.095874596745953257e-03
1.999999999999999556e-01,6.757689802930447708e-03
2.099999999999999645e-01,7.454134672825503925e-03
2.199999999999999456e-01,8.185314348386407354e-03
2.299999999999999545e-01,8.951339464897255238e-03
2.399999999999999356e-01,9.752326111499801109e-03
2.499999999999999167e-01,1.058839615508039983e-02
2.599999999999998979e-01,1.145967715839424708e-02
2.699999999999999067e-01,1.236630194787565959e-02
2.799999999999999156e-01,1.330840981215992806e-02
2.899999999999999245e-01,1.428614543206859974e-02
2.999999999999999334e-01,1.529965936486154567e-02
3.099999999999999423e-01,1.634910859382868870e-02
3.199999999999998956e-01,1.743465555514769894e-02
3.299999999999998490e-01,1.855646928024615519e-02
3.399999999999998579e-01,1.971472486241692898e-02
3.499999999999998668e-01,2.090960368965929378e-02
3.599999999999998757e-01,2.214129331096350087e-02
3.699999999999998845e-01,2.340998838837816953e-02
3.799999999999998934e-01,2.471588951116382438e-02
3.899999999999999023e-01,2.605920387402760330e-02
3.999999999999998002e-01,2.744014618486361606e-02
4.099999999999998090e-01,2.885893697593012314e-02
4.199999999999998179e-01,3.031580452640605938e-02
4.299999999999998268e-01,3.181098392995385798e-02
4.399999999999998357e-01,3.334471779186064244e-02
4.499999999999998446e-01,3.491725504378351969e-02
4.599999999999998535e-01,3.652885299656533080e-02
4.699999999999998623e-01,3.817977581225703854e-02
4.799999999999997602e-01,3.987029644423316366e-02
4.899999999999997691e-01,4.160069454917778714e-02
4.999999999999997780e-01,4.337125808794890791e-02
5.099999999999997868e-01,4.518228265758306855e-02
5.199999999999997957e-01,4.703407340823220067e-02
5.299999999999998046e-01,4.892694207675494372e-02
5.399999999999998135e-01,5.086121079924022653e-02
5.499999999999998224e-01,5.283720846338806759e-02
5.599999999999997202e-01,5.485527483169431312e-02
5.699999999999997291e-01,5.691575659769734091e-02
5.799999999999997380e-01,5.901901124740741023e-02
5.899999999999997469e-01,6.116540511898396759e-02
5.999999999999997558e-01,6.335531474924761819e-02
6.099999999999997646e-01,6.558912456707989558e-02
6.199999999999997735e-01,6.786723079038993467e-02
6.299999999999996714e-01,7.019003918985254609e-02
6.399999999999996803e-01,7.255796589180858736e-02
6.499999999999996891e-01,7.497143760039781668e-02
6.599999999999996980e-01,7.743089104381355170e-02
6.699999999999997069e-01,7.993677625224508698e-02
6.799999999999997158e-01,8.248955225067024222e-02
6.899999999999997247e-01,8.508969029967934639e-02
6.999999999999996225e-01,8.773767339969493206e-02
7.099999999999996314e-01,9.043399563758602877e-02
7.199999999999996403e-01,9.317916601510950469e-02
7.299999999999996492e-01,9.597370245387062959e-02
7.399999999999996581e-01,9.881813936540292942e-02
