# q,<w**1.0>/wp(0)**1.0
1.000000000000000021e-02,5.290574212676354808e-05
2.000000000000000042e-02,2.126461990693395547e-04
2.999999999999999889e-02,4.784626795231466554e-04
4.000000000000000083e-02,8.506060821566493839e-04
5.000000000000000278e-02,1.329085672248402810e-03
6.000000000000000472e-02,1.913907009474982495e-03
6.999999999999999278e-02,2.605078208865804681e-03
8.000000000000000167e-02,3.402608641633347690e-03
8.999999999999999667e-02,4.306508926083378944e-03
9.999999999999999167e-02,5.316791189496708654e-03
1.100000000000000006e-01,6.433468954812407437e-03
1.199999999999999956e-01,7.656556891485483650e-03
1.300000000000000044e-01,8.986071254701700692e-03
1.400000000000000133e-01,1.042202937642714225e-02
1.500000000000000222e-01,1.196444992529301782e-02
1.600000000000000033e-01,1.361335293717772128e-02
1.700000000000000122e-01,1.536875941741785816e-02
1.800000000000000211e-01,1.723069181686456494e-02
1.900000000000000022e-01,1.919917342168580773e-02
2.000000000000000111e-01,2.127422896294746749e-02
2.100000000000000200e-01,2.345588408715134840e-02
2.200000000000000011e-01,2.574416521181851006e-02
2.300000000000000100e-01,2.813910020185745112e-02
2.400000000000000189e-01,3.064071765041416831e-02
2.500000000000000000e-01,3.324904704295569835e-02
2.600000000000000089e-01,3.596411835376159966e-02
2.700000000000000178e-01,3.878596300769623223e-02
2.800000000000000266e-01,4.171461286888214492e-02
2.900000000000000355e-01,4.475010004631783944e-02
2.999999999999999889e-01,4.789245810693501526e-02
3.099999999999999978e-01,5.114172131845017011e-02
3.200000000000000067e-01,5.449792297452341061e-02
3.300000000000000155e-01,5.796109770919756488e-02
3.400000000000000244e-01,6.153128176628226698e-02
3.500000000000000333e-01,6.520850941801281664e-02
3.600000000000000422e-01,6.899281764904922898e-02
3.699999999999999956e-01,7.288424105481522419e-02
3.800000000000000044e-01,7.688281633849915198e-02
3.900000000000000133e-01,8.098857881846605045e-02
4.000000000000000222e-01,8.520156618070298671e-02
4.100000000000000311e-01,8.952181369971226599e-02
4.200000000000000400e-01,9.394935632999491804e-02
