# q,<w**1.0>/wp(0)**1.0
1.000000000000000021e-02,1.537480050762378300e-05
2.000000000000000042e-02,5.042329103472941224e-05
2.999999999999999889e-02,1.152602800091557589e-04
4.000000000000000083e-02,2.047743578937156008e-04
5.000000000000000278e-02,3.199942320749650797e-04
6.000000000000000472e-02,4.607953729628015476e-04
6.999999999999999278e-02,6.271923543398730304e-04
8.000000000000000167e-02,8.191883816760063292e-04
8.999999999999999667e-02,1.036782694914881913e-03
9.999999999999999167e-02,1.279974289819178768e-03
1.100000000000000006e-01,1.548762573678536068e-03
1.199999999999999956e-01,1.843147592891572050e-03
1.300000000000000044e-01,2.163130424263106505e-03
1.400000000000000133e-01,2.508714079893579162e-03
1.500000000000000222e-01,2.879903540508071524e-03
1.600000000000000033e-01,3.276705962640593522e-03
1.700000000000000122e-01,3.699129565134983734e-03
1.800000000000000211e-01,4.147181629094266915e-03
1.900000000000000022e-01,4.620865933946362129e-03
2.000000000000000111e-01,5.120180118990682976e-03
2.100000000000000200e-01,5.645113987520521300e-03
2.200000000000000011e-01,6.195649204252909846e-03
2.300000000000000100e-01,6.771761697327478152e-03
2.400000000000000189e-01,7.373425169595306840e-03
2.500000000000000000e-01,8.000615926765850677e-03
2.600000000000000089e-01,8.653316972143379124e-03
2.700000000000000178e-01,9.331520563291147499e-03
2.800000000000000266e-01,1.003522971471400987e-02
2.900000000000000355e-01,1.076445701671369104e-02
2.999999999999999889e-01,1.151922309841934416e-02
3.099999999999999978e-01,1.229955331259121806e-02
3.200000000000000067e-01,1.310547536189069287e-02
3.300000000000000155e-01,1.393701661921253020e-02
3.400000000000000244e-01,1.479420278741526429e-02
3.500000000000000333e-01,1.567705582703366601e-02
3.600000000000000422e-01,1.658559362337493764e-02
3.699999999999999956e-01,1.751983026685878519e-02
3.800000000000000044e-01,1.847977519779005900e-02
3.900000000000000133e-01,1.946543397030212064e-02
4.000000000000000222e-01,2.047680930761386006e-02
4.100000000000000311e-01,2.151390027029836949e-02
4.200000000000000400e-01,2.257670434613534213e-02
4.299999999999999933e-01,2.366521649877118341e-02
4.400000000000000022e-01,2.477943017643498974e-02
4.500000000000000111e-01,2.591933845215660046e-02
