# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
1.000000000000000021e-02,9.999013244372149112e-01,-4.249198256491649619e-06
1.398797595190380896e-02,9.999608458183074644e-01,-8.318259158244662837e-06
1.797595190380761598e-02,9.999471163122237716e-01,-1.373692306640015971e-05
2.196392785571142647e-02,9.999253584156764241e-01,-2.050758477371968715e-05
2.595190380761523002e-02,9.998975167284750443e-01,-2.862927773289241249e-05
2.993987975951904051e-02,9.998642994071085255e-01,-3.810273337200177347e-05
3.392785571142285100e-02,9.998264179010470931e-01,-4.892581707533531858e-05
3.791583166332665455e-02,9.997825886108147042e-01,-6.109831998681147899e-05
4.190380761523046504e-02,9.997344233315414996e-01,-7.461986292232669149e-05
4.589178356713427553e-02,9.996815479972499530e-01,-8.948969635469056802e-05
4.987975951903807909e-02,9.996237802838729980e-01,-1.057069129079056091e-04
5.386773547094188958e-02,9.995611802047561500e-01,-1.232705997885628413e-04
5.785571142284570006e-02,9.994937997823425402e-01,-1.421798124530178483e-04
6.184368737474950362e-02,9.994216189929354677e-01,-1.624335012325851628e-04
6.583166332665331411e-02,9.993445703995764706e-01,-1.840304625030960003e-04
6.981963927855711072e-02,9.992627124248272263e-01,-2.069695385418806764e-04
7.380761523046092121e-02,9.991760441562277384e-01,-2.312494516521392397e-04
7.779559118236473170e-02,9.990845525413918349e-01,-2.568688278922452587e-04
8.178356713426854219e-02,9.989882252480989377e-01,-2.838262167716986708e-04
8.577154308617233880e-02,9.988870815536624592e-01,-3.121201378536193481e-04
8.975951903807614929e-02,9.987811053926627380e-01,-3.417489844566717894e-04
9.374749498997995978e-02,9.986703036782208498e-01,-3.727111111733691384e-04
9.773547094188377027e-02,9.985546673702099252e-01,-4.050047684013735497e-04
1.017234468937875808e-01,9.984341961091933726e-01,-4.386281451581716044e-04
1.057114228456913912e-01,9.983088923644707346e-01,-4.735793669642957698e-04
1.096993987975951879e-01,9.981787482501519593e-01,-5.098564570305655656e-04
1.136873747494989983e-01,9.980437636769056153e-01,-5.474573827632972945e-04
1.176753507014028088e-01,9.979039376870361133e-01,-5.863800370967531391e-04
1.216633266533066193e-01,9.977592651859600315e-01,-6.266222228863101758e-04
1.256513026052104298e-01,9.976097457586652340e-01,-6.681816851958721597e-04
1.296392785571142403e-01,9.974553762833578974e-01,-7.110560833598532577e-04
1.336272545090180508e-01,9.972961526136231436e-01,-7.552429989566353382e-04
1.376152304609218613e-01,9.971320751182249920e-01,-8.007399560219151348e-04
1.416032064128256718e-01,9.969631382807070397e-01,-8.475443810174750460e-04
