# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
1.000000000000000021e-02,1.000002091098660451e+00,-5.307209521693763081e-06
1.398797595190380896e-02,1.000002411032416605e+00,-1.038388579835647906e-05
1.797595190380761598e-02,1.000004528052372610e+00,-1.714811886814857257e-05
2.196392785571142647e-02,1.000006780401927475e+00,-2.559948896063579484e-05
2.595190380761523002e-02,1.000009418538543082e+00,-3.573746528985547979e-05
2.993987975951904051e-02,1.000012579631555987e+00,-4.756146241556408579e-05
3.392785571142285100e-02,1.000016156088653352e+00,-6.107076587864201022e-05
3.791583166332665455e-02,1.000020198650092951e+00,-7.626457394611052770e-05
4.190380761523046504e-02,1.000024715215073190e+00,-9.314198814166104693e-05
4.589178356713427553e-02,1.000029683963617577e+00,-1.117019915715465850e-04
4.987975951903807909e-02,1.000035126054152457e+00,-1.319434842005094471e-04
5.386773547094188958e-02,1.000041037959272794e+00,-1.538652562500916938e-04
5.785571142284570006e-02,1.000047428261972904e+00,-1.774660013095164717e-04
6.184368737474950362e-02,1.000054301358312747e+00,-2.027443110753938873e-04
6.583166332665331411e-02,1.000061661099886923e+00,-2.296986753397602652e-04
6.981963927855711072e-02,1.000069516795312641e+00,-2.583274880583557014e-04
7.380761523046092121e-02,1.000077871021271658e+00,-2.886290359179224355e-04
7.779559118236473170e-02,1.000086732564317460e+00,-3.206015105421536403e-04
8.178356713426854219e-02,1.000096107186642769e+00,-3.542429994424507299e-04
8.577154308617233880e-02,1.000106003084839434e+00,-3.895514923754639391e-04
8.975951903807614929e-02,1.000116427414290854e+00,-4.265248759528333911e-04
9.374749498997995978e-02,1.000127388264775874e+00,-4.651609371617399197e-04
9.773547094188377027e-02,1.000138894511169552e+00,-5.054573635717694337e-04
1.017234468937875808e-01,1.000150954587105456e+00,-5.474117398076953911e-04
1.057114228456913912e-01,1.000163578083523630e+00,-5.910215520053818932e-04
1.096993987975951879e-01,1.000176774303749294e+00,-6.362841836018252395e-04
1.136873747494989983e-01,1.000190553546959737e+00,-6.831969191728691753e-04
1.176753507014028088e-01,1.000204925965520797e+00,-7.317569409485013719e-04
1.216633266533066193e-01,1.000219902379330117e+00,-7.819613309868260172e-04
1.256513026052104298e-01,1.000235494062188479e+00,-8.338070710375252489e-04
1.296392785571142403e-01,1.000251712619069977e+00,-8.872910417926975707e-04
1.336272545090180508e-01,1.000268569898290938e+00,-9.424100220663919787e-04
1.376152304609218613e-01,1.000286078433344938e+00,-9.991606914126541488e-04
1.416032064128256718e-01,1.000304250870103218e+00,-1.057539626726819448e-03
1.455911823647294823e-01,1.000323100470553728e+00,-1.117543305083819024e-03
1.495791583166332928e-01,1.000342640802517558e+00,-1.179168101865561528e-03
1.535671342685371032e-01,1.000362885953592684e+00,-1.242410292045698387e-03
1.575551102204409137e-01,1.000383850257102081e+00,-1.307266048314601088e-03
1.615430861723446965e-01,1.000405548621535079e+00,-1.373731443079323229e-03
1.655310621242485070e-01,1.000427996307542200e+00,-1.441802446964532500e-03
1.695190380761523175e-01,1.000451209030933208e+00,-1.511474929559698376e-03
1.735070140280561279e-01,1.000475202853369439e+00,-1.582744658133555327e-03
1.774949899799599384e-01,1.000499994374451918e+00,-1.655607299381742616e-03
1.814829659318637489e-01,1.000525600559966088e+00,-1.730058417723721528e-03
1.854709418837675594e-01,1.000552038862133397e+00,-1.806093476233966693e-03
1.894589178356713699e-01,1.000579327125355134e+00,-1.883707835674045027e-03
1.934468937875751804e-01,1.000607483675139076e+00,-1.962896755107683845e-03
1.974348697394789909e-01,1.000636527286467903e+00,-2.043655391631619186e-03
2.014228456913828014e-01,1.000666477150956357e+00,-2.125978799605506529e-03
2.054108216432865841e-01,1.000697352950420616e+00,-2.209861931371262262e-03
2.093987975951903946e-01,1.000729174840959246e+00,-2.295299636994990820e-03
2.133867735470942051e-01,1.000761963398085319e+00,-2.382286663278171922e-03
2.173747494989980156e-01,1.000795739705904408e+00,-2.470817654593454246e-03
2.213627254509018261e-01,1.000830525306460883e+00,-2.560887152187045490e-03
2.253507014028056366e-01,1.000866342217904270e+00,-2.652489594046200314e-03
2.293386773547094470e-01,1.000903212964376454e+00,-2.745619315021909090e-03
2.333266533066132575e-01,1.000941160527729634e+00,-2.840270546004763745e-03
2.373146292585170680e-01,1.000980208403423166e+00,-2.936437414376534896e-03
2.413026052104208785e-01,1.001020380572462676e+00,-3.034113943191496434e-03
2.452905811623246612e-01,1.001061701526012815e+00,-3.133294051398357368e-03
2.492785571142284717e-01,1.001104196259190227e+00,-3.233971553282686574e-03
2.532665330661322822e-01,1.001147890284525444e+00,-3.336140158439524980e-03
2.572545090180360927e-01,1.001192809636028525e+00,-3.439793471350221024e-03
2.612424849699399032e-01,1.001238980854705751e+00,-3.544924990861671437e-03
2.652304609218437137e-01,1.001286431026433998e+00,-3.651528110234274205e-03
2.692184368737475242e-01,1.001335187771704716e+00,-3.759596116807535898e-03
2.732064128256513347e-01,1.001385279243362403e+00,-3.869122191261216079e-03
2.771943887775551452e-01,1.001436734149019792e+00,-3.980099407708197895e-03
2.811823647294589557e-01,1.001489581744211543e+00,-4.092520732971112289e-03
2.851703406813627661e-01,1.001543851844768573e+00,-4.206379026346196599e-03
