# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
1.000000000000000021e-02,1.000125268334436601e+00,-4.190919013134611550e-06
1.398797595190380896e-02,1.000244767364376841e+00,-8.199019716444559024e-06
1.797595190380761598e-02,1.000404274702919816e+00,-1.353818208822257026e-05
2.196392785571142647e-02,1.000603554397946793e+00,-2.020301956026117262e-05
2.595190380761523002e-02,1.000842543756293779e+00,-2.819799239389883652e-05
2.993987975951904051e-02,1.001121580342872353e+00,-3.751850061350804741e-05
3.392785571142285100e-02,1.001440474886015952e+00,-4.816209087114598663e-05
3.791583166332665455e-02,1.001799200074053431e+00,-6.012594650518322191e-05
4.190380761523046504e-02,1.002197917164227237e+00,-7.340695972329980908e-05
4.589178356713427553e-02,1.002636541444799745e+00,-8.800161337840075118e-05
4.987975951903807909e-02,1.003115175864679687e+00,-1.039060798614914748e-04
5.386773547094188958e-02,1.003633845826323423e+00,-1.211161599325711984e-04
5.785571142284570006e-02,1.004192577101719053e+00,-1.396272968328296884e-04
6.184368737474950362e-02,1.004791981046100791e+00,-1.594704566025752376e-04
6.583166332665331411e-02,1.005431087264561096e+00,-1.805735868571192769e-04
6.981963927855711072e-02,1.006110421040890213e+00,-2.029623120905229661e-04
7.380761523046092121e-02,1.006830038659397797e+00,-2.266306542981750920e-04
7.779559118236473170e-02,1.007590000074171099e+00,-2.515722748427729805e-04
8.178356713426854219e-02,1.008390369034279255e+00,-2.777804728431970379e-04
8.577154308617233880e-02,1.009231213139964334e+00,-3.052481833318456241e-04
8.975951903807614929e-02,1.010112603911545781e+00,-3.339679752958477272e-04
9.374749498997995978e-02,1.011034616892352522e+00,-3.639320496005739444e-04
9.773547094188377027e-02,1.011997331727535920e+00,-3.951322367414782251e-04
1.017234468937875808e-01,1.013000832256006678e+00,-4.275599944191650040e-04
1.057114228456913912e-01,1.014045206612026018e+00,-4.612064049712762148e-04
1.096993987975951879e-01,1.015130547332169231e+00,-4.960621726218336245e-04
1.136873747494989983e-01,1.016256951461330660e+00,-5.321176205185789310e-04
1.176753507014028088e-01,1.017424520664633958e+00,-5.693626875768217736e-04
1.216633266533066193e-01,1.018633361355467892e+00,-6.077869251246444506e-04
