# rs,a*kF,|error|
1.000000000000000000e+00,1.000000000000000021e-02,2.066156934404879408e-03
2.000000000000000000e+00,1.000000000000000021e-02,6.190018756908333142e-04
3.000000000000000000e+00,6.300000000000000044e-01,2.175904454386479170e-06
4.000000000000000000e+00,9.300000000000000488e-01,1.456050500982242202e-06
5.000000000000000000e+00,1.080000000000000071e+00,9.897744100664795930e-06
6.000000000000000000e+00,1.189999999999999947e+00,1.512412842061272578e-05
7.000000000000000000e+00,1.290000000000000036e+00,1.511929400662553880e-05
8.000000000000000000e+00,1.360000000000000098e+00,1.021328769203536102e-05
9.000000000000000000e+00,1.429999999999999938e+00,5.652739132874784467e-06
1.000000000000000000e+01,1.489999999999999991e+00,1.166015931471781064e-05
2.000000000000000000e+01,1.920000000000000151e+00,5.503627311770689645e-06
3.000000000000000000e+01,2.199999999999999734e+00,9.050405498707558838e-06
4.000000000000000000e+01,2.399999999999999911e+00,5.843582394199006713e-06
5.000000000000000000e+01,2.569999999999999840e+00,9.836144900035592720e-07
6.000000000000000000e+01,2.709999999999999964e+00,3.612789041909994503e-06
7.000000000000000000e+01,2.839999999999999858e+00,5.463739677702590669e-06
8.000000000000000000e+01,2.939999999999999947e+00,4.480486243860562490e-06
9.000000000000000000e+01,3.040000000000000036e+00,1.568989864946922913e-06
1.000000000000000000e+02,3.129999999999999893e+00,1.829265949522887458e-07
