# rs, PW92, RPA, ALDA, MCP07, TC21
1.000000000000000056e-01,-1.208793201054264299e-01,-1.440610383475211531e-01,-1.084475745593578566e-01,-1.286017425184416973e-01,-1.267090604484781835e-01
2.000000000000000111e-01,-1.011230532788426617e-01,-1.235037865912784194e-01,-8.864097615208146874e-02,-1.078991619974636190e-01,-1.061454522709677356e-01
2.999999999999999889e-01,-9.001201209146371396e-02,-1.117572714324107513e-01,-7.747445396012672680e-02,-9.613736607683068258e-02,-9.446734528546582577e-02
4.000000000000000222e-01,-8.237806035335792920e-02,-1.035890630742142687e-01,-6.978628947571369201e-02,-8.799589967722448725e-02,-8.638803064956396272e-02
5.000000000000000000e-01,-7.661902922337619770e-02,-9.736686037758639223e-02,-6.397589886298547801e-02,-8.181669299586313837e-02,-8.026033998918595536e-02
5.999999999999999778e-01,-7.202840008943499350e-02,-9.236671317691219629e-02,-5.933709618993322082e-02,-7.686555311324566597e-02,-7.535502774372609958e-02
6.999999999999999556e-01,-6.823290083574171105e-02,-8.820405116063793904e-02,-5.549652186225109002e-02,-7.275316398657272199e-02,-7.128545986302947668e-02
8.000000000000000444e-01,-6.501178344190267078e-02,-8.465025547432861175e-02,-5.223319210138043650e-02,-6.924850395365195199e-02,-6.782223704443776646e-02
9.000000000000000222e-01,-6.222394001034452227e-02,-8.155845340462550275e-02,-4.940571910642987952e-02,-6.620341982977039075e-02,-6.481826167020333929e-02
1.000000000000000000e+00,-5.977386418440408522e-02,-7.882875786430162957e-02,-4.691831549100945742e-02,-6.351732640028548427e-02,-6.217367068896456628e-02
2.000000000000000000e+00,-4.475959003078594511e-02,-6.184208379138181333e-02,-3.161109599106929485e-02,-4.694156948504839277e-02,-4.592397775904381862e-02
3.000000000000000000e+00,-3.694127364930260837e-02,-5.284017712195837602e-02,-2.358331797714308814e-02,-3.824227008569025532e-02,-3.753547300091561456e-02
4.000000000000000000e+00,-3.186637870969929315e-02,-4.687798306952890848e-02,-1.825569227410495099e-02,-3.252532776107617402e-02,-3.211790521989983660e-02
5.000000000000000000e+00,-2.821626106897375669e-02,-4.244756940684020485e-02,-1.426001694921863114e-02,-2.830524074278305269e-02,-2.818267750662633089e-02
6.000000000000000000e+00,-2.542714539639100851e-02,-3.895672709614378393e-02,-1.107251399162562447e-02,-2.500254695520966880e-02,-2.514636083146972595e-02
7.000000000000000000e+00,-2.320816096757215286e-02,-3.638784960029351617e-02,-8.714754256085369827e-03,-2.260446057886218718e-02,-2.299682478972712996e-02
8.000000000000000000e+00,-2.139069597857463575e-02,-3.415768693665155453e-02,-6.626661394241837796e-03,-2.053277145366297698e-02,-2.115465362846404365e-02
9.000000000000000000e+00,-1.986889134720089614e-02,-3.220969965822394199e-02,-4.767114839426752314e-03,-1.873245666088725614e-02,-1.956657318718005995e-02
1.000000000000000000e+01,-1.857229774384831084e-02,-3.064733446464804403e-02,-3.249986012037468092e-03,-1.730896082181706402e-02,-1.833884567026284468e-02
