# rs, eps_c approx, eps_C PW92, absolute difference
1.000000000000000056e-01,-1.084475745593578566e-01,-1.208793201054264299e-01,1.243174554606857329e-02
2.000000000000000111e-01,-8.864097615208146874e-02,-1.011230532788426617e-01,1.248207712676119296e-02
2.999999999999999889e-01,-7.747445396012672680e-02,-9.001201209146371396e-02,1.253755813133698716e-02
4.000000000000000222e-01,-6.978628947571369201e-02,-8.237806035335792920e-02,1.259177087764423719e-02
5.000000000000000000e-01,-6.397589886298547801e-02,-7.661902922337619770e-02,1.264313036039071969e-02
5.999999999999999778e-01,-5.933709618993322082e-02,-7.202840008943499350e-02,1.269130389950177268e-02
6.999999999999999556e-01,-5.549652186225109002e-02,-6.823290083574171105e-02,1.273637897349062104e-02
8.000000000000000444e-01,-5.223319210138043650e-02,-6.501178344190267078e-02,1.277859134052223428e-02
9.000000000000000222e-01,-4.940571910642987952e-02,-6.222394001034452227e-02,1.281822090391464275e-02
1.000000000000000000e+00,-4.691831549100945742e-02,-5.977386418440408522e-02,1.285554869339462780e-02
2.000000000000000000e+00,-3.161109599106929485e-02,-4.475959003078594511e-02,1.314849403971665026e-02
3.000000000000000000e+00,-2.358331797714308814e-02,-3.694127364930260837e-02,1.335795567215952023e-02
4.000000000000000000e+00,-1.825569227410495099e-02,-3.186637870969929315e-02,1.361068643559434216e-02
5.000000000000000000e+00,-1.426001694921863114e-02,-2.821626106897375669e-02,1.395624411975512555e-02
6.000000000000000000e+00,-1.107251399162562447e-02,-2.542714539639100851e-02,1.435463140476538405e-02
7.000000000000000000e+00,-8.714754256085369827e-03,-2.320816096757215286e-02,1.449340671148678303e-02
8.000000000000000000e+00,-6.626661394241837796e-03,-2.139069597857463575e-02,1.476403458433279796e-02
9.000000000000000000e+00,-4.767114839426752314e-03,-1.986889134720089614e-02,1.510177650777414296e-02
1.000000000000000000e+01,-3.249986012037468092e-03,-1.857229774384831084e-02,1.532231173181084274e-02
1.100000000000000000e+01,-1.794190704759862642e-03,-1.745189502701904871e-02,1.565770432225918607e-02
1.200000000000000000e+01,-5.537579914252003903e-04,-1.647235007511408875e-02,1.591859208368888792e-02
1.300000000000000000e+01,6.291075649746953428e-04,-1.560745502364823539e-02,1.623656258862293117e-02
1.400000000000000000e+01,1.749986141619164996e-03,-1.483730261866405588e-02,1.658728876028322044e-02
1.500000000000000000e+01,2.716265242958041965e-03,-1.414646455271536402e-02,1.686272979567340555e-02
1.600000000000000000e+01,3.662484844926722910e-03,-1.352277601301139602e-02,1.718526085793811720e-02
1.700000000000000000e+01,4.533586662039115409e-03,-1.295650096148673672e-02,1.749008762352585039e-02
1.800000000000000000e+01,5.450602746776879622e-03,-1.243974447493568711e-02,1.789034722171256586e-02
1.900000000000000000e+01,6.279932077454573359e-03,-1.196602998570098046e-02,1.824596206315555469e-02
2.000000000000000000e+01,7.091350257591326478e-03,-1.152998932265904795e-02,1.862133958025037617e-02
2.100000000000000000e+01,7.888104740670351389e-03,-1.112713159978959490e-02,1.901523634045994629e-02
2.200000000000000000e+01,8.676499973614292330e-03,-1.075366828709077571e-02,1.943016826070506631e-02
2.300000000000000000e+01,9.463531674958615761e-03,-1.040637900646028229e-02,1.986991068141889805e-02
2.400000000000000000e+01,1.025695377257248089e-02,-1.008250730704609091e-02,2.033946107961857180e-02
2.500000000000000000e+01,1.106535777404108432e-02,-9.779678820178785981e-03,2.084503659421987204e-02
2.600000000000000000e+01,1.189159984291472162e-02,-9.495836334143916216e-03,2.138743617705863784e-02
2.700000000000000000e+01,1.282169828848940193e-02,-9.229187810353515001e-03,2.205088609884291867e-02
2.800000000000000000e+01,1.377179947681001285e-02,-8.978164403929570631e-03,2.274996388073958348e-02
2.900000000000000000e+01,1.486960155933946155e-02,-8.741386294491998790e-03,2.361098785383146034e-02
3.000000000000000000e+01,1.630064710608311249e-02,-8.517634669728055621e-03,2.481828177581116984e-02
3.100000000000000000e+01,1.889864944229172061e-02,-8.305828596975059139e-03,2.720447803926678149e-02
3.200000000000000000e+01,1.948459378882221732e-02,-8.105005808519902266e-03,2.758959959734211959e-02
3.300000000000000000e+01,7.505965673211221004e-03,-7.914306643456501048e-03,1.542027231666772205e-02
3.400000000000000000e+01,2.162174605630445834e-02,-7.732960552838278288e-03,2.935470660914273749e-02
3.500000000000000000e+01,2.333824441160886262e-02,-7.560274699708189466e-03,3.089851911131705209e-02
3.600000000000000000e+01,1.840248857379182812e-02,-7.395624281484870083e-03,2.579811285527669820e-02
3.700000000000000000e+01,2.113771510182746449e-02,-7.238444276449476286e-03,2.837615937827694251e-02
3.800000000000000000e+01,4.289280163048393019e-02,-7.088222374004170441e-03,4.998102400448810323e-02
3.900000000000000000e+01,3.816064800028097503e-02,-6.944492893892933658e-03,4.510514089417391043e-02
4.000000000000000000e+01,2.070686177298774328e-02,-6.806831535571298414e-03,2.751369330855904169e-02
4.100000000000000000e+01,1.329860265894463548e-03,-6.674850827561355782e-03,8.004711093455818896e-03
4.200000000000000000e+01,1.571215108704319269e-02,-6.548196169566674121e-03,2.226034725660986507e-02
4.300000000000000000e+01,2.055603785935660593e-02,-6.426542378589965299e-03,2.698258023794657123e-02
4.400000000000000000e+01,1.552573307495418165e-02,-6.309590665246941205e-03,2.183532374020112285e-02
4.500000000000000000e+01,4.405247593516602167e-02,-6.197065978631778778e-03,5.024954191379780305e-02
4.600000000000000000e+01,3.899532202907279171e-02,-6.088714668033298229e-03,4.508403669710608908e-02
4.700000000000000000e+01,1.432436376304917734e-02,-5.984302417972517212e-03,2.030866618102169369e-02
4.800000000000000000e+01,2.823552750964492680e-02,-5.883612419763766151e-03,3.411913992940869556e-02
4.900000000000000000e+01,-1.016307891392759233e-02,-5.786443748391000702e-03,4.376635165536591626e-03
5.000000000000000000e+01,1.699666766483718533e-02,-5.692609918126978474e-03,2.268927758296416380e-02
5.100000000000000000e+01,-9.375951706777868599e-01,-5.601937594206562836e-03,9.319932330835802858e-01
5.200000000000000000e+01,1.933360207300636319e-02,-5.514265441111961159e-03,2.484786751411832348e-02
