# rs, eps_c approx, eps_C PW92, absolute difference
1.000000000000000056e-01,-1.267090604484781835e-01,-1.208793201054264299e-01,5.829740343051753593e-03
2.000000000000000111e-01,-1.061454522709677356e-01,-1.011230532788426617e-01,5.022398992125073902e-03
2.999999999999999889e-01,-9.446734528546582577e-02,-9.001201209146371396e-02,4.455333194002111807e-03
4.000000000000000222e-01,-8.638803064956396272e-02,-8.237806035335792920e-02,4.009970296206033513e-03
5.000000000000000000e-01,-8.026033998918595536e-02,-7.661902922337619770e-02,3.641310765809757655e-03
5.999999999999999778e-01,-7.535502774372609958e-02,-7.202840008943499350e-02,3.326627654291106073e-03
6.999999999999999556e-01,-7.128545986302947668e-02,-6.823290083574171105e-02,3.052559027287765625e-03
8.000000000000000444e-01,-6.782223704443776646e-02,-6.501178344190267078e-02,2.810453602535095685e-03
9.000000000000000222e-01,-6.481826167020333929e-02,-6.222394001034452227e-02,2.594321659858817020e-03
1.000000000000000000e+00,-6.217367068896456628e-02,-5.977386418440408522e-02,2.399806504560481057e-03
2.000000000000000000e+00,-4.592397775904381862e-02,-4.475959003078594511e-02,1.164387728257873511e-03
3.000000000000000000e+00,-3.753547300091561456e-02,-3.694127364930260837e-02,5.941993516130061881e-04
4.000000000000000000e+00,-3.211790521989983660e-02,-3.186637870969929315e-02,2.515265102005434517e-04
5.000000000000000000e+00,-2.818267750662633089e-02,-2.821626106897375669e-02,3.358356234742579383e-05
6.000000000000000000e+00,-2.514636083146972595e-02,-2.542714539639100851e-02,2.807845649212825645e-04
7.000000000000000000e+00,-2.299682478972712996e-02,-2.320816096757215286e-02,2.113361778450228989e-04
8.000000000000000000e+00,-2.115465362846404365e-02,-2.139069597857463575e-02,2.360423501105921029e-04
9.000000000000000000e+00,-1.956657318718005995e-02,-1.986889134720089614e-02,3.023181600208361963e-04
1.000000000000000000e+01,-1.833884567026284468e-02,-1.857229774384831084e-02,2.334520735854661577e-04
1.100000000000000000e+01,-1.718580330698776804e-02,-1.745189502701904871e-02,2.660917200312806763e-04
1.200000000000000000e+01,-1.625856197554610000e-02,-1.647235007511408875e-02,2.137880995679887486e-04
1.300000000000000000e+01,-1.539776784237053761e-02,-1.560745502364823539e-02,2.096871812776977817e-04
1.400000000000000000e+01,-1.460713504740202007e-02,-1.483730261866405588e-02,2.301675712620358111e-04
1.500000000000000000e+01,-1.397901279009184858e-02,-1.414646455271536402e-02,1.674517626235154377e-04
1.600000000000000000e+01,-1.337942169423339892e-02,-1.352277601301139602e-02,1.433543187779971056e-04
1.700000000000000000e+01,-1.286419718653451089e-02,-1.295650096148673672e-02,9.230377495222583106e-05
1.800000000000000000e+01,-1.231342230979458330e-02,-1.243974447493568711e-02,1.263221651411038093e-04
1.900000000000000000e+01,-1.186235468912846640e-02,-1.196602998570098046e-02,1.036752965725140641e-04
2.000000000000000000e+01,-1.144321238231793200e-02,-1.152998932265904795e-02,8.677694034111595178e-05
2.100000000000000000e+01,-1.105528263095962443e-02,-1.112713159978959490e-02,7.184896882997046652e-05
2.200000000000000000e+01,-1.069546565666458331e-02,-1.075366828709077571e-02,5.820263042619240601e-05
2.300000000000000000e+01,-1.036087816331007772e-02,-1.040637900646028229e-02,4.550084315020457015e-05
2.400000000000000000e+01,-1.004917792848359151e-02,-1.008250730704609091e-02,3.332937856249940101e-05
2.500000000000000000e+01,-9.759154791753422292e-03,-9.779678820178785981e-03,2.052402842536368843e-05
