# q,S(q)
1.000000000000000021e-02,1.857101061138697756e-09
2.000000000000000042e-02,2.971513919716772342e-08
2.999999999999999889e-02,1.560561386299566428e-07
4.000000000000000083e-02,8.503034520975402384e-04
5.000000000000000278e-02,1.328349807174343143e-03
6.000000000000000472e-02,1.912366491675866883e-03
6.999999999999999278e-02,2.602237453181345181e-03
8.000000000000000167e-02,3.397789775342632129e-03
8.999999999999999667e-02,4.298829486566576631e-03
9.999999999999999167e-02,5.305156132163244866e-03
1.100000000000000006e-01,6.416482621803527332e-03
1.199999999999999956e-01,7.632616623096055708e-03
1.300000000000000044e-01,8.953261528282100909e-03
1.400000000000000133e-01,1.037811036618492035e-02
1.500000000000000222e-01,1.190680809256160731e-02
1.600000000000000033e-01,1.353905277176388304e-02
1.700000000000000122e-01,1.527446277354289374e-02
1.800000000000000211e-01,1.711266066544361517e-02
1.900000000000000022e-01,1.905324765343500634e-02
2.000000000000000111e-01,2.109578314923551967e-02
2.100000000000000200e-01,2.323982475395208400e-02
2.200000000000000011e-01,2.548493203535558138e-02
2.300000000000000100e-01,2.783066135331885294e-02
2.400000000000000189e-01,3.027632709845815007e-02
2.500000000000000000e-01,3.282167830873881226e-02
2.600000000000000089e-01,3.546585985470068064e-02
2.700000000000000178e-01,3.820859330425240008e-02
2.800000000000000266e-01,4.104920550196106133e-02
2.900000000000000355e-01,4.398704963975023224e-02
2.999999999999999889e-01,4.702157000591108277e-02
3.099999999999999978e-01,5.015220173160137018e-02
3.200000000000000067e-01,5.337804431747438655e-02
3.300000000000000155e-01,5.669868306600242547e-02
3.400000000000000244e-01,6.011332869520518568e-02
3.500000000000000333e-01,6.362147281462401938e-02
3.600000000000000422e-01,6.722188125952700821e-02
3.699999999999999956e-01,7.091428695546263261e-02
3.800000000000000044e-01,7.469780687815655296e-02
3.900000000000000133e-01,7.857215592442935714e-02
4.000000000000000222e-01,8.253505315667408748e-02
4.100000000000000311e-01,8.658717204561383607e-02
4.200000000000000400e-01,9.072720418743905613e-02
4.299999999999999933e-01,9.495427830934864699e-02
4.400000000000000022e-01,9.926757150328313628e-02
4.500000000000000111e-01,1.036662032868397726e-01
4.600000000000000200e-01,1.081492422570172751e-01
4.700000000000000289e-01,1.127159135334229317e-01
4.800000000000000377e-01,1.173649470682391338e-01
4.899999999999999911e-01,1.220957203497932270e-01
5.000000000000000000e-01,1.269071858734068248e-01
5.100000000000000089e-01,1.317983474412793843e-01
5.200000000000000178e-01,1.367682041934534520e-01
5.300000000000000266e-01,1.418158233979063543e-01
5.400000000000000355e-01,1.469401417532354148e-01
5.500000000000000444e-01,1.521407229470931599e-01
5.600000000000000533e-01,1.574146488186630444e-01
5.700000000000000622e-01,1.627627521152802959e-01
5.800000000000000711e-01,1.681832773804602665e-01
5.899999999999999689e-01,1.736750841519408006e-01
5.999999999999999778e-01,1.792372262597101973e-01
6.099999999999999867e-01,1.848683973332344854e-01
6.199999999999999956e-01,1.905674873057877916e-01
6.300000000000000044e-01,1.963333649246239709e-01
6.400000000000000133e-01,2.021648721753518119e-01
6.500000000000000222e-01,2.080608518541412488e-01
6.600000000000000311e-01,2.140197982122526710e-01
6.700000000000000400e-01,2.200411052692031744e-01
6.800000000000000488e-01,2.261226395017546242e-01
6.900000000000000577e-01,2.322638952101105103e-01
7.000000000000000666e-01,2.384633920315007982e-01
7.100000000000000755e-01,2.447198273945201674e-01
7.199999999999999734e-01,2.510319379693298214e-01
7.299999999999999822e-01,2.573983367775921072e-01
7.399999999999999911e-01,2.638177983700774054e-01
7.500000000000000000e-01,2.702889382399148999e-01
7.600000000000000089e-01,2.768104439707543274e-01
7.700000000000000178e-01,2.833809241505104159e-01
7.800000000000000266e-01,2.899990393643813169e-01
7.900000000000000355e-01,2.966633453292720213e-01
8.000000000000000444e-01,3.033725699930316377e-01
8.100000000000000533e-01,3.101253158209639760e-01
8.200000000000000622e-01,3.169197281820910761e-01
8.300000000000000711e-01,3.237549126327510796e-01
8.400000000000000799e-01,3.306292277807329483e-01
8.499999999999999778e-01,3.375412013370153175e-01
