# q,S(q)
1.000000000000000021e-02,5.290453434213348140e-05
2.000000000000000042e-02,2.126268010036000303e-04
2.999999999999999889e-02,4.783649131036402276e-04
4.000000000000000083e-02,8.502986621262524636e-04
5.000000000000000278e-02,1.328338999520078988e-03
6.000000000000000472e-02,1.912366648414642488e-03
6.999999999999999278e-02,2.602238938352638420e-03
8.000000000000000167e-02,3.397789127277115514e-03
8.999999999999999667e-02,4.298826862128770666e-03
9.999999999999999167e-02,5.305138932504407066e-03
1.100000000000000006e-01,6.416489413261934269e-03
1.199999999999999956e-01,7.632620400998704410e-03
1.300000000000000044e-01,8.953252116208849920e-03
1.400000000000000133e-01,1.037808319360053466e-02
1.500000000000000222e-01,1.190679129158577626e-02
1.600000000000000033e-01,1.353903311879985777e-02
1.700000000000000122e-01,1.527444462828255606e-02
1.800000000000000211e-01,1.711264168243340628e-02
1.900000000000000022e-01,1.905321990357636275e-02
2.000000000000000111e-01,2.109575479858546640e-02
2.100000000000000200e-01,2.323980277209969705e-02
2.200000000000000011e-01,2.548489988222471872e-02
2.300000000000000100e-01,2.783056349312559158e-02
2.400000000000000189e-01,3.027629129601999355e-02
2.500000000000000000e-01,3.282156284435609750e-02
2.600000000000000089e-01,3.546583763634883479e-02
2.700000000000000178e-01,3.820855775210005995e-02
2.800000000000000266e-01,4.104914529035963433e-02
2.900000000000000355e-01,4.398700497501768086e-02
2.999999999999999889e-01,4.702152285438660623e-02
3.099999999999999978e-01,5.015206676826346882e-02
3.200000000000000067e-01,5.337798593753021598e-02
3.300000000000000155e-01,5.669861314860428353e-02
3.400000000000000244e-01,6.011326179061692726e-02
3.500000000000000333e-01,6.362122735504383009e-02
3.600000000000000422e-01,6.722178883567869745e-02
3.699999999999999956e-01,7.091420780470723828e-02
3.800000000000000044e-01,7.469772628120291413e-02
3.900000000000000133e-01,7.857157093287361893e-02
4.000000000000000222e-01,8.253495047360785708e-02
4.100000000000000311e-01,8.658705641619528215e-02
4.200000000000000400e-01,9.072706315827193391e-02
4.299999999999999933e-01,9.495412808843291252e-02
4.400000000000000022e-01,9.926739067253891047e-02
4.500000000000000111e-01,1.036659764506154546e-01
4.600000000000000200e-01,1.081489913392347235e-01
4.700000000000000289e-01,1.127155244236896642e-01
4.800000000000000377e-01,1.173646515089346171e-01
4.899999999999999911e-01,1.220954274668328704e-01
5.000000000000000000e-01,1.269068954265452909e-01
5.100000000000000089e-01,1.317980773665488325e-01
5.200000000000000178e-01,1.367679827566084805e-01
5.300000000000000266e-01,1.418156051419368624e-01
5.400000000000000355e-01,1.469399178992754629e-01
5.500000000000000444e-01,1.521398825960401935e-01
5.600000000000000533e-01,1.574144436680927073e-01
5.700000000000000622e-01,1.627625298023271105e-01
5.800000000000000711e-01,1.681830541176782823e-01
5.899999999999999689e-01,1.736749142194657924e-01
5.999999999999999778e-01,1.792369923565409751e-01
6.099999999999999867e-01,1.848681554877562860e-01
6.199999999999999956e-01,1.905672554350947012e-01
6.300000000000000044e-01,1.963331290181931921e-01
6.400000000000000133e-01,2.021645981247154611e-01
6.500000000000000222e-01,2.080604698646997264e-01
6.600000000000000311e-01,2.140195346402537224e-01
6.700000000000000400e-01,2.200405745530022994e-01
6.800000000000000488e-01,2.261223512260472079e-01
6.900000000000000577e-01,2.322636116373562321e-01
7.000000000000000666e-01,2.384630958343523233e-01
7.100000000000000755e-01,2.447195228039061310e-01
7.199999999999999734e-01,2.510315977614278049e-01
7.299999999999999822e-01,2.573980196822749367e-01
7.399999999999999911e-01,2.638174640981127972e-01
7.500000000000000000e-01,2.702886034705784257e-01
7.600000000000000089e-01,2.768100868151955329e-01
7.700000000000000178e-01,2.833805579875932068e-01
7.800000000000000266e-01,2.899986487907030841e-01
7.900000000000000355e-01,2.966629690114639950e-01
8.000000000000000444e-01,3.033721259567227491e-01
8.100000000000000533e-01,3.101247139078495696e-01
8.200000000000000622e-01,3.169193057820033910e-01
8.300000000000000711e-01,3.237544740848355973e-01
8.400000000000000799e-01,3.306287767942575062e-01
8.499999999999999778e-01,3.375407538572451904e-01
8.599999999999999867e-01,3.444889409969976168e-01
8.699999999999999956e-01,3.514718627590062150e-01
8.800000000000000044e-01,3.584880351313907143e-01
8.900000000000000133e-01,3.655359489504688697e-01
9.000000000000000222e-01,3.726141092695096635e-01
9.100000000000000311e-01,3.797209940970360242e-01
9.200000000000000400e-01,3.868550698376134744e-01
9.300000000000000488e-01,3.940148061956496583e-01
9.400000000000000577e-01,4.011986567558188943e-01
9.500000000000000666e-01,4.084050634256600754e-01
9.600000000000000755e-01,4.156324654092897752e-01
9.699999999999999734e-01,4.228792907056870276e-01
9.799999999999999822e-01,4.301439582099777503e-01
9.899999999999999911e-01,4.374248809849388131e-01
1.000000000000000000e+00,4.447204637991751253e-01
1.010000000000000009e+00,4.520291045021522236e-01
1.020000000000000018e+00,4.593491938227806104e-01
1.030000000000000027e+00,4.666791114304603694e-01
