# q,<w**1.0>/wp(0)**1.0
1.000000000000000021e-02,1.522100619988048543e-05
2.000000000000000042e-02,5.021933938148067007e-05
2.999999999999999889e-02,1.152608394929074585e-04
4.000000000000000083e-02,2.047715525618720668e-04
5.000000000000000278e-02,3.199990621208445032e-04
6.000000000000000472e-02,4.608060998282911607e-04
6.999999999999999278e-02,6.272126146318363505e-04
8.000000000000000167e-02,8.192237418896605988e-04
8.999999999999999667e-02,1.036840839746077823e-03
9.999999999999999167e-02,1.280065176340353496e-03
1.100000000000000006e-01,1.548898418519606282e-03
1.199999999999999956e-01,1.843342481224560401e-03
1.300000000000000044e-01,2.163399521911179950e-03
1.400000000000000133e-01,2.509071908619446480e-03
1.500000000000000222e-01,2.880361909346757301e-03
1.600000000000000033e-01,3.277272213850269001e-03
1.700000000000000122e-01,3.699805592668075228e-03
1.800000000000000211e-01,4.147964939497420477e-03
1.900000000000000022e-01,4.621753326013063913e-03
2.000000000000000111e-01,5.121174099229288887e-03
2.100000000000000200e-01,5.646230499529517922e-03
2.200000000000000011e-01,6.196926237244802967e-03
2.300000000000000100e-01,6.773264880728296911e-03
2.400000000000000189e-01,7.375250316253856298e-03
2.500000000000000000e-01,8.002886437286830731e-03
2.600000000000000089e-01,8.656177412746110869e-03
2.700000000000000178e-01,9.335127472839739940e-03
2.800000000000000266e-01,1.003974086780527047e-02
2.900000000000000355e-01,1.077002215779919794e-02
2.999999999999999889e-01,1.152597592445785829e-02
3.099999999999999978e-01,1.230760686072408273e-02
3.200000000000000067e-01,1.311491976347044924e-02
3.300000000000000155e-01,1.394791938763443630e-02
3.400000000000000244e-01,1.480661084110756164e-02
3.500000000000000333e-01,1.569099919707056187e-02
3.600000000000000422e-01,1.660108960909989148e-02
3.699999999999999956e-01,1.753688713256808598e-02
3.800000000000000044e-01,1.849839740520319714e-02
3.900000000000000133e-01,1.948562543041371456e-02
4.000000000000000222e-01,2.049857680076812641e-02
4.100000000000000311e-01,2.153725698585949241e-02
4.200000000000000400e-01,2.260167149950400786e-02
4.299999999999999933e-01,2.369182565805928384e-02
4.400000000000000022e-01,2.480772550502721718e-02
4.500000000000000111e-01,2.594937616611159292e-02
4.600000000000000200e-01,2.711678350247317959e-02
4.700000000000000289e-01,2.830995315129777867e-02
4.800000000000000377e-01,2.952889075459100288e-02
4.899999999999999911e-01,3.077360195171242180e-02
5.000000000000000000e-01,3.204409205465015564e-02
5.100000000000000089e-01,3.334036730191340669e-02
5.200000000000000178e-01,3.466243263395679675e-02
5.300000000000000266e-01,3.601029392933745993e-02
5.400000000000000355e-01,3.738395671142405452e-02
5.500000000000000444e-01,3.878342645880385187e-02
5.600000000000000533e-01,4.020870859889291021e-02
5.700000000000000622e-01,4.165980850055289036e-02
5.800000000000000711e-01,4.313673146728049662e-02
5.899999999999999689e-01,4.463948228555758568e-02
5.999999999999999778e-01,4.616806698040724216e-02
6.099999999999999867e-01,4.772248971189346073e-02
6.199999999999999956e-01,4.930275589457575741e-02
6.300000000000000044e-01,5.090887090578850860e-02
6.400000000000000133e-01,5.254083851030858648e-02
6.500000000000000222e-01,5.419866384688438316e-02
6.600000000000000311e-01,5.588235144270001925e-02
6.700000000000000400e-01,5.759190512397699413e-02
6.800000000000000488e-01,5.932733028529013630e-02
6.900000000000000577e-01,6.108863049363690012e-02
7.000000000000000666e-01,6.287580909971228482e-02
7.100000000000000755e-01,6.468887116008069371e-02
7.199999999999999734e-01,6.652781906693010228e-02
7.299999999999999822e-01,6.839265694046994803e-02
7.399999999999999911e-01,7.028338880389357890e-02
7.500000000000000000e-01,7.220001642118470397e-02
7.600000000000000089e-01,7.414254343223727894e-02
7.700000000000000178e-01,7.611097260824252475e-02
7.800000000000000266e-01,7.810530574503189716e-02
7.900000000000000355e-01,8.012554675139195448e-02
8.000000000000000444e-01,8.217169703635134048e-02
8.100000000000000533e-01,8.424375855336349583e-02
8.200000000000000622e-01,8.634173218431458185e-02
8.300000000000000711e-01,8.846562114272614463e-02
8.400000000000000799e-01,9.061542497911848071e-02
8.499999999999999778e-01,9.279114561288774599e-02
8.599999999999999867e-01,9.499278386746250191e-02
8.699999999999999956e-01,9.722034129846010564e-02
8.800000000000000044e-01,9.947381633302541937e-02
8.900000000000000133e-01,1.017532100139100504e-01
9.000000000000000222e-01,1.040585221846699049e-01
9.100000000000000311e-01,1.063897513782861154e-01
9.200000000000000400e-01,1.087468990241263755e-01
9.300000000000000488e-01,1.111299631587365222e-01
9.400000000000000577e-01,1.135389425958059917e-01
9.500000000000000666e-01,1.159738347237073558e-01
9.600000000000000755e-01,1.184346401077081279e-01
9.699999999999999734e-01,1.209213544209861158e-01
9.799999999999999822e-01,1.234339765554798296e-01
9.899999999999999911e-01,1.259725052287503089e-01
1.000000000000000000e+00,1.285369351467780530e-01
1.010000000000000009e+00,1.311272644467283144e-01
1.020000000000000018e+00,1.337434897765570341e-01
1.030000000000000027e+00,1.363856074848934508e-01
1.040000000000000036e+00,1.390536136604245687e-01
1.050000000000000044e+00,1.417475041032866256e-01
1.060000000000000053e+00,1.444672743435697071e-01
1.070000000000000062e+00,1.472129196366096238e-01
1.080000000000000071e+00,1.499844334589133799e-01
1.090000000000000080e+00,1.527818134737012890e-01
1.100000000000000089e+00,1.556050510825782440e-01
1.110000000000000098e+00,1.584541435277520560e-01
1.120000000000000107e+00,1.613290815484718088e-01
1.130000000000000115e+00,1.642298619659259828e-01
1.140000000000000124e+00,1.671564748779322540e-01
1.150000000000000133e+00,1.701089149887748397e-01
1.160000000000000142e+00,1.730871751106965173e-01
1.169999999999999929e+00,1.760912478547134730e-01
1.179999999999999938e+00,1.791211255109405043e-01
1.189999999999999947e+00,1.821768001740390608e-01
1.199999999999999956e+00,1.852582636784779746e-01
1.209999999999999964e+00,1.883655076080201218e-01
1.219999999999999973e+00,1.914985233396745978e-01
1.229999999999999982e+00,1.946573020016538480e-01
1.239999999999999991e+00,1.978418325236079578e-01
1.250000000000000000e+00,2.010521095489594401e-01
1.260000000000000009e+00,2.042881215988295862e-01
1.270000000000000018e+00,2.075498569072356803e-01
1.280000000000000027e+00,2.108373075287036935e-01
1.290000000000000036e+00,2.141504655551002279e-01
1.300000000000000044e+00,2.174893164128893774e-01
1.310000000000000053e+00,2.208538518084339208e-01
1.320000000000000062e+00,2.242440633416482587e-01
1.330000000000000071e+00,2.276599358041079268e-01
1.340000000000000080e+00,2.311014603716670113e-01
1.350000000000000089e+00,2.345686262031740354e-01
1.360000000000000098e+00,2.380614218741581023e-01
1.370000000000000107e+00,2.415798363428641460e-01
1.380000000000000115e+00,2.451238554672720837e-01
1.390000000000000124e+00,2.486934727182353311e-01
1.400000000000000133e+00,2.522886740302548447e-01
1.410000000000000142e+00,2.559094477167535575e-01
1.419999999999999929e+00,2.595557795433629522e-01
1.429999999999999938e+00,2.632276628849867794e-01
1.439999999999999947e+00,2.669250802613235551e-01
1.449999999999999956e+00,2.706480253764926291e-01
1.459999999999999964e+00,2.743964810537106169e-01
1.469999999999999973e+00,2.781704376494877895e-01
1.479999999999999982e+00,2.819698861916534183e-01
1.489999999999999991e+00,2.857948095859922377e-01
