# q,S(q)
1.000000000000000021e-02,9.524963388255054360e-06
2.000000000000000042e-02,4.213379422875243834e-05
2.999999999999999889e-02,9.570046739978256914e-05
4.000000000000000083e-02,1.701581952633964955e-04
5.000000000000000278e-02,2.659114742954920641e-04
6.000000000000000472e-02,3.829811984931643537e-04
6.999999999999999278e-02,5.213797481191306468e-04
8.000000000000000167e-02,6.811389831554956779e-04
8.999999999999999667e-02,8.622767105956855201e-04
9.999999999999999167e-02,1.064825156306031849e-03
1.100000000000000006e-01,1.288815837647567641e-03
1.199999999999999956e-01,1.534283891931197521e-03
1.300000000000000044e-01,1.801266868428321594e-03
1.400000000000000133e-01,2.089801816707947436e-03
1.500000000000000222e-01,2.399922329140464095e-03
1.600000000000000033e-01,2.731656264107137043e-03
1.700000000000000122e-01,3.085027011218227904e-03
1.800000000000000211e-01,3.460057392837599579e-03
1.900000000000000022e-01,3.856775486367258320e-03
2.000000000000000111e-01,4.275219198270095895e-03
2.100000000000000200e-01,4.715437816902530270e-03
2.200000000000000011e-01,5.177490202714431916e-03
2.300000000000000100e-01,5.661441623946132304e-03
2.400000000000000189e-01,6.167359727441551302e-03
2.500000000000000000e-01,6.695311571080939279e-03
2.600000000000000089e-01,7.245361768682806285e-03
2.700000000000000178e-01,7.817571824800173194e-03
2.800000000000000266e-01,8.412000279097466698e-03
2.900000000000000355e-01,9.028703360379424989e-03
2.999999999999999889e-01,9.667735837085533052e-03
3.099999999999999978e-01,1.032915191576048650e-02
3.200000000000000067e-01,1.101300603085426585e-02
3.300000000000000155e-01,1.171935353241104413e-02
3.400000000000000244e-01,1.244825123058656419e-02
3.500000000000000333e-01,1.319975781445922348e-02
3.600000000000000422e-01,1.397393416627298011e-02
3.699999999999999956e-01,1.477084358808601269e-02
3.800000000000000044e-01,1.559055197814198344e-02
3.900000000000000133e-01,1.643312793987203660e-02
4.000000000000000222e-01,1.729864287040115342e-02
4.100000000000000311e-01,1.818717102503963207e-02
4.200000000000000400e-01,1.909878974283480205e-02
4.299999999999999933e-01,2.003357875152133455e-02
4.400000000000000022e-01,2.099162128700650734e-02
4.500000000000000111e-01,2.197300340216322423e-02
4.600000000000000200e-01,2.297781416707655663e-02
4.700000000000000289e-01,2.400614569678800533e-02
4.800000000000000377e-01,2.505809342215838120e-02
4.899999999999999911e-01,2.613375514498211816e-02
5.000000000000000000e-01,2.723323250661333073e-02
5.100000000000000089e-01,2.835663006599641739e-02
5.200000000000000178e-01,2.950405585714624065e-02
5.300000000000000266e-01,3.067562027971871760e-02
5.400000000000000355e-01,3.187143782379194684e-02
5.500000000000000444e-01,3.309162631450732195e-02
5.600000000000000533e-01,3.433630594315056211e-02
5.700000000000000622e-01,3.560560120020374308e-02
5.800000000000000711e-01,3.689964002014822081e-02
5.899999999999999689e-01,3.821855270130864596e-02
5.999999999999999778e-01,3.956247405174090348e-02
6.099999999999999867e-01,4.093154243253522423e-02
6.199999999999999956e-01,4.232589854954733888e-02
6.300000000000000044e-01,4.374568783857485377e-02
6.400000000000000133e-01,4.519105938731032140e-02
6.500000000000000222e-01,4.666216460217373352e-02
6.600000000000000311e-01,4.815916031161894539e-02
6.700000000000000400e-01,4.968220522418060475e-02
6.800000000000000488e-01,5.123146314884882702e-02
6.900000000000000577e-01,5.280710172921189438e-02
7.000000000000000666e-01,5.440929087698218730e-02
7.100000000000000755e-01,5.603820640872338860e-02
7.199999999999999734e-01,5.769402590179974200e-02
7.299999999999999822e-01,5.937693304305812630e-02
7.399999999999999911e-01,6.108711324174808527e-02
7.500000000000000000e-01,6.282475823020622352e-02
7.600000000000000089e-01,6.459006142999862421e-02
7.700000000000000178e-01,6.638322281288784599e-02
7.800000000000000266e-01,6.820444400264873142e-02
7.900000000000000355e-01,7.005393341165089272e-02
8.000000000000000444e-01,7.193190107437280600e-02
8.100000000000000533e-01,7.383856405829222758e-02
8.200000000000000622e-01,7.577414101650628564e-02
