# q,<w**1.0>/wp(0)**1.0
1.000000000000000021e-02,1.537464446179876855e-05
2.000000000000000042e-02,5.042320598597834370e-05
2.999999999999999889e-02,1.152602109739711669e-04
4.000000000000000083e-02,2.047743747209037897e-04
5.000000000000000278e-02,3.199942368878223322e-04
6.000000000000000472e-02,4.607953659493189795e-04
6.999999999999999278e-02,6.271923313615040399e-04
8.000000000000000167e-02,8.191883376126546205e-04
8.999999999999999667e-02,1.036782616454976673e-03
9.999999999999999167e-02,1.279974181490677000e-03
1.100000000000000006e-01,1.548762440000930191e-03
1.199999999999999956e-01,1.843147482957421725e-03
1.300000000000000044e-01,2.163130535588315105e-03
1.400000000000000133e-01,2.508714692192703759e-03
1.500000000000000222e-01,2.879905107781901338e-03
1.600000000000000033e-01,3.276709053046575424e-03
1.700000000000000122e-01,3.699134691022294696e-03
1.800000000000000211e-01,4.147189073356817059e-03
1.900000000000000022e-01,4.620875504006262055e-03
2.000000000000000111e-01,5.120190640603706524e-03
2.100000000000000200e-01,5.645123258078168366e-03
2.200000000000000011e-01,6.195654208254387785e-03
2.300000000000000100e-01,6.771758836978952409e-03
2.400000000000000189e-01,7.373411015969890195e-03
2.500000000000000000e-01,8.000587735155597832e-03
2.600000000000000089e-01,8.653273450967256114e-03
2.700000000000000178e-01,9.331462478170474140e-03
2.800000000000000266e-01,1.003515976008830489e-02
2.900000000000000355e-01,1.076437981934298509e-02
2.999999999999999889e-01,1.151914438239861824e-02
3.099999999999999978e-01,1.229948000418751991e-02
3.200000000000000067e-01,1.310541459952277096e-02
3.300000000000000155e-01,1.393697534399062320e-02
3.400000000000000244e-01,1.479418732003335776e-02
3.500000000000000333e-01,1.567707155655691242e-02
3.600000000000000422e-01,1.658564480736395008e-02
3.699999999999999956e-01,1.751991992742300483e-02
3.800000000000000044e-01,1.847990491498505486e-02
3.900000000000000133e-01,1.946560464501961504e-02
4.000000000000000222e-01,2.047701993475667739e-02
4.100000000000000311e-01,2.151414957659588539e-02
4.200000000000000400e-01,2.257698949763646892e-02
4.299999999999999933e-01,2.366553379085389527e-02
4.400000000000000022e-01,2.477977587244365593e-02
4.500000000000000111e-01,2.591970722528177951e-02
4.600000000000000200e-01,2.708531962350576791e-02
4.700000000000000289e-01,2.827660365813288931e-02
4.800000000000000377e-01,2.949354964348006869e-02
4.899999999999999911e-01,3.073614868164683753e-02
5.000000000000000000e-01,3.200439107723452442e-02
5.100000000000000089e-01,3.329826723232620633e-02
5.200000000000000178e-01,3.461776873740066152e-02
5.300000000000000266e-01,3.596288648735728594e-02
5.400000000000000355e-01,3.733361162572461367e-02
5.500000000000000444e-01,3.872993671282817102e-02
5.600000000000000533e-01,4.015185356591534360e-02
5.700000000000000622e-01,4.159935470390082463e-02
5.800000000000000711e-01,4.307243299444826756e-02
5.899999999999999689e-01,4.457108121362757941e-02
5.999999999999999778e-01,4.609529379063887627e-02
