# q,S(q)
1.000000000000000021e-02,7.586048471524941256e-15
2.000000000000000042e-02,8.696696721287860008e-13
2.999999999999999889e-02,3.286983252076584879e-12
4.000000000000000083e-02,3.006584566857846069e-11
5.000000000000000278e-02,6.830735103622157695e-11
6.000000000000000472e-02,1.971653203166576267e-10
6.999999999999999278e-02,4.615300197347187250e-10
8.000000000000000167e-02,7.751244798387171601e-10
8.999999999999999667e-02,1.437950740401343040e-09
9.999999999999999167e-02,2.692673896228896792e-09
1.100000000000000006e-01,4.068424368418420459e-09
1.199999999999999956e-01,5.938310092665261679e-09
1.300000000000000044e-01,9.656430314652643054e-09
1.400000000000000133e-01,1.386080434032777099e-08
1.500000000000000222e-01,1.853403538993981658e-08
1.600000000000000033e-01,2.774782595126684827e-08
1.700000000000000122e-01,3.665559663604860514e-08
1.800000000000000211e-01,4.845993104876696208e-08
1.900000000000000022e-01,6.606640375179416098e-08
2.000000000000000111e-01,8.350758039474406889e-08
2.100000000000000200e-01,1.088748061292422705e-07
2.200000000000000011e-01,1.376298345618906898e-07
2.300000000000000100e-01,1.739973562815991611e-07
2.400000000000000189e-01,2.171313131995928694e-07
2.500000000000000000e-01,2.649178200587763035e-07
2.600000000000000089e-01,3.300045402997354941e-07
2.700000000000000178e-01,3.965667182604622238e-07
2.800000000000000266e-01,4.852816215661040601e-07
2.900000000000000355e-01,5.816849048854205396e-07
2.999999999999999889e-01,6.867594596740557297e-07
3.099999999999999978e-01,8.309212977573846990e-07
3.200000000000000067e-01,9.732394982584657284e-07
3.300000000000000155e-01,1.149395744807831603e-06
3.400000000000000244e-01,1.353000117609631747e-06
3.500000000000000333e-01,1.560500197848995421e-06
3.600000000000000422e-01,1.838060619421915374e-06
3.699999999999999956e-01,2.120432615125275643e-06
3.800000000000000044e-01,2.444721017151853076e-06
3.900000000000000133e-01,2.818300015680479938e-06
4.000000000000000222e-01,3.234534270647311602e-06
4.100000000000000311e-01,3.693843135447473938e-06
4.200000000000000400e-01,4.211783120190852432e-06
4.299999999999999933e-01,4.780660548279892148e-06
4.400000000000000022e-01,5.455676888574037763e-06
4.500000000000000111e-01,6.157775079647998479e-06
4.600000000000000200e-01,6.900518580079257187e-06
4.700000000000000289e-01,7.900215019642206545e-06
4.800000000000000377e-01,8.813612225138331039e-06
4.899999999999999911e-01,9.883273851458452351e-06
5.000000000000000000e-01,1.105931648957897342e-05
5.100000000000000089e-01,1.236086990167497734e-05
5.200000000000000178e-01,1.378944650449262990e-05
5.300000000000000266e-01,1.536239677798191970e-05
5.400000000000000355e-01,1.708633937587520992e-05
5.500000000000000444e-01,1.897221339188433310e-05
5.600000000000000533e-01,2.101966412134804020e-05
5.700000000000000622e-01,2.324550663213433515e-05
5.800000000000000711e-01,2.566044381589228590e-05
5.899999999999999689e-01,2.830362390094864834e-05
5.999999999999999778e-01,3.119262193953431284e-05
6.099999999999999867e-01,3.432664883752762036e-05
6.199999999999999956e-01,3.773716822426748460e-05
6.300000000000000044e-01,4.139602207150832550e-05
6.400000000000000133e-01,4.537792405966281580e-05
6.500000000000000222e-01,4.966471999703789232e-05
6.600000000000000311e-01,5.430109235230052417e-05
6.700000000000000400e-01,5.929565823324421745e-05
6.800000000000000488e-01,6.470499480474637397e-05
6.900000000000000577e-01,7.052302963853197381e-05
7.000000000000000666e-01,7.678461632694132144e-05
7.100000000000000755e-01,8.351274297760758814e-05
7.199999999999999734e-01,9.074378073369599048e-05
7.299999999999999822e-01,9.851460096235569732e-05
7.399999999999999911e-01,1.070667805995394151e-04
7.500000000000000000e-01,1.157777336410880379e-04
7.600000000000000089e-01,1.253195066587772810e-04
7.700000000000000178e-01,1.355405380517397658e-04
7.800000000000000266e-01,1.464744643924045027e-04
7.900000000000000355e-01,1.581703123730213417e-04
8.000000000000000444e-01,1.706490292047437246e-04
8.100000000000000533e-01,1.839858906646097542e-04
8.200000000000000622e-01,1.981700478629368754e-04
8.300000000000000711e-01,2.133108236034259942e-04
8.400000000000000799e-01,2.294228413540552866e-04
8.499999999999999778e-01,2.465963247798700665e-04
8.599999999999999867e-01,2.648652076368505090e-04
8.699999999999999956e-01,2.842776026599403870e-04
8.800000000000000044e-01,3.048959529132352583e-04
8.900000000000000133e-01,3.267733714832729997e-04
9.000000000000000222e-01,3.500140866857872918e-04
9.100000000000000311e-01,3.746485507833133212e-04
9.200000000000000400e-01,4.008231715627598424e-04
9.300000000000000488e-01,4.284713264560062007e-04
9.400000000000000577e-01,4.577760655907798940e-04
9.500000000000000666e-01,4.888029846546930544e-04
9.600000000000000755e-01,5.216064298272494017e-04
9.699999999999999734e-01,5.563016108932189712e-04
9.799999999999999822e-01,5.929548742897719016e-04
9.899999999999999911e-01,6.316764701099023558e-04
1.000000000000000000e+00,6.725471593522354104e-04
1.010000000000000009e+00,7.157525150105532473e-04
1.020000000000000018e+00,7.611656457452388100e-04
1.030000000000000027e+00,8.091122887422412318e-04
1.040000000000000036e+00,8.596403845449866223e-04
1.050000000000000044e+00,9.128519625220970785e-04
1.060000000000000053e+00,9.688774493064504847e-04
1.070000000000000062e+00,1.027837712645067068e-03
1.080000000000000071e+00,1.089840706529105309e-03
1.090000000000000080e+00,1.155032931742745305e-03
1.100000000000000089e+00,1.223568869903021543e-03
1.110000000000000098e+00,1.295539521686362361e-03
1.120000000000000107e+00,1.371121576744131938e-03
1.130000000000000115e+00,1.450462497280010374e-03
1.140000000000000124e+00,1.533712316339752146e-03
1.150000000000000133e+00,1.621040726110637136e-03
1.160000000000000142e+00,1.712584986929222659e-03
1.169999999999999929e+00,1.808544493625799344e-03
1.179999999999999938e+00,1.909058741687181442e-03
1.189999999999999947e+00,2.014298953354831580e-03
1.199999999999999956e+00,2.124553889754715163e-03
1.209999999999999964e+00,2.239873700741031471e-03
1.219999999999999973e+00,2.360531279228236801e-03
1.229999999999999982e+00,2.486708426370705036e-03
1.239999999999999991e+00,2.618824575202124711e-03
1.250000000000000000e+00,2.756458969785886837e-03
1.260000000000000009e+00,2.900463036421869253e-03
1.270000000000000018e+00,3.050846716101080196e-03
1.280000000000000027e+00,3.207863201594335009e-03
1.290000000000000036e+00,3.371710882771050254e-03
1.300000000000000044e+00,3.542687744889869497e-03
1.310000000000000053e+00,3.720983608610028883e-03
1.320000000000000062e+00,3.906902601276511511e-03
1.330000000000000071e+00,4.100689399730732265e-03
1.340000000000000080e+00,4.302626721511691038e-03
1.350000000000000089e+00,4.512956757705566084e-03
1.360000000000000098e+00,4.731978179469892472e-03
1.370000000000000107e+00,4.960032761680417158e-03
1.380000000000000115e+00,5.197381366510736740e-03
1.390000000000000124e+00,5.444313342479765137e-03
1.400000000000000133e+00,5.701166045175320649e-03
1.410000000000000142e+00,5.968369656181422844e-03
1.419999999999999929e+00,6.245937902683557259e-03
1.429999999999999938e+00,6.534509085132876420e-03
1.439999999999999947e+00,6.834328825932418569e-03
1.449999999999999956e+00,7.145765983498593432e-03
1.459999999999999964e+00,7.469173094254065448e-03
1.469999999999999973e+00,7.804922964634001745e-03
1.479999999999999982e+00,8.153387110843887675e-03
1.489999999999999991e+00,8.514963950989674554e-03
1.500000000000000000e+00,8.890057163579921998e-03
1.510000000000000009e+00,9.279048713418478617e-03
1.520000000000000018e+00,9.682384386162723802e-03
1.530000000000000027e+00,1.010046372178709240e-02
1.540000000000000036e+00,1.053374895691469929e-02
1.550000000000000044e+00,1.098263301801346778e-02
1.560000000000000053e+00,1.144759706405978558e-02
1.570000000000000062e+00,1.192905807450483219e-02
1.580000000000000071e+00,1.242764035403454148e-02
1.590000000000000080e+00,1.294369341016548061e-02
1.600000000000000089e+00,1.347766872384203139e-02
1.610000000000000098e+00,1.403011046679772215e-02
1.620000000000000107e+00,1.460168884199087094e-02
1.630000000000000115e+00,1.519271298486363567e-02
1.640000000000000124e+00,1.580393200645781315e-02
1.650000000000000133e+00,1.643550101233398966e-02
1.660000000000000142e+00,1.708836209010445445e-02
1.670000000000000151e+00,1.776293101720643336e-02
1.679999999999999938e+00,1.845982090664205488e-02
1.689999999999999947e+00,1.917957277896713622e-02
1.699999999999999956e+00,1.992288486517635251e-02
1.709999999999999964e+00,2.069029889719802354e-02
1.719999999999999973e+00,2.148239023449816099e-02
1.729999999999999982e+00,2.229989514352551452e-02
1.739999999999999991e+00,2.314343276088413892e-02
1.750000000000000000e+00,2.401365050869936832e-02
1.760000000000000009e+00,2.491126991655763512e-02
1.770000000000000018e+00,2.583687500338166174e-02
1.780000000000000027e+00,2.679129832900927627e-02
1.790000000000000036e+00,2.777516491825953934e-02
1.800000000000000044e+00,2.878927257443772772e-02
1.810000000000000053e+00,2.983433511095617136e-02
1.820000000000000062e+00,3.091110390232711461e-02
1.830000000000000071e+00,3.202037995541905102e-02
1.840000000000000080e+00,3.316294018253843762e-02
1.850000000000000089e+00,3.433960701553024492e-02
1.860000000000000098e+00,3.555118331136039589e-02
1.870000000000000107e+00,3.679853428192043224e-02
1.880000000000000115e+00,3.808246356836324231e-02
1.890000000000000124e+00,3.940393931444922254e-02
1.900000000000000133e+00,4.076377740101365388e-02
1.910000000000000142e+00,4.216289669900059878e-02
1.920000000000000151e+00,4.360226868734596445e-02
1.929999999999999938e+00,4.508279891798025463e-02
1.939999999999999947e+00,4.660549374731470795e-02
1.949999999999999956e+00,4.817127696189009434e-02
1.959999999999999964e+00,4.978109351197663318e-02
1.969999999999999973e+00,5.143625962049212796e-02
1.979999999999999982e+00,5.313749638405353137e-02
1.989999999999999991e+00,5.488645693154904637e-02
2.000000000000000000e+00,5.668292361605916513e-02
2.009999999999999787e+00,5.853011990518348223e-02
2.020000000000000018e+00,6.042981390418700194e-02
2.029999999999999805e+00,6.238338476256231196e-02
2.040000000000000036e+00,6.439241390225268480e-02
2.049999999999999822e+00,6.645836961341022864e-02
2.059999999999999609e+00,6.858277946589418084e-02
2.069999999999999840e+00,7.076737682597648849e-02
2.079999999999999627e+00,7.301373793044779736e-02
2.089999999999999858e+00,7.532359687490199074e-02
2.099999999999999645e+00,7.769876726093775943e-02
2.109999999999999876e+00,8.014106176411710247e-02
2.119999999999999662e+00,8.265241409364039449e-02
2.129999999999999893e+00,8.523483364330175505e-02
2.139999999999999680e+00,8.789032409408634172e-02
2.149999999999999911e+00,9.062112599690956560e-02
2.159999999999999698e+00,9.342929318126096117e-02
2.169999999999999929e+00,9.631733097226076457e-02
2.179999999999999716e+00,9.928744827289497088e-02
2.189999999999999947e+00,1.023423634135616489e-01
2.199999999999999734e+00,1.054845793546816263e-01
2.209999999999999964e+00,1.087168746334128133e-01
2.219999999999999751e+00,1.120420769785461096e-01
2.229999999999999982e+00,1.154632129540254237e-01
2.239999999999999769e+00,1.189834197617820610e-01
2.250000000000000000e+00,1.226059830244488197e-01
2.259999999999999787e+00,1.263344158527086036e-01
2.270000000000000018e+00,1.301724257183116684e-01
2.279999999999999805e+00,1.341235595107235223e-01
2.290000000000000036e+00,1.381923014140098438e-01
2.299999999999999822e+00,1.423827622895635914e-01
2.310000000000000053e+00,1.466994619153481616e-01
2.319999999999999840e+00,1.511473381904404611e-01
2.329999999999999627e+00,1.557315862517320293e-01
2.339999999999999858e+00,1.604576495824773796e-01
2.349999999999999645e+00,1.653314675466322492e-01
2.359999999999999876e+00,1.703593780914734179e-01
2.369999999999999662e+00,1.755481506420623061e-01
2.379999999999999893e+00,1.809051759133364634e-01
2.389999999999999680e+00,1.864384090902354574e-01
2.399999999999999911e+00,1.921564539320620435e-01
2.409999999999999698e+00,1.980687095184884283e-01
2.419999999999999929e+00,2.041853920640134545e-01
2.429999999999999716e+00,2.105182689539305541e-01
2.439999999999999947e+00,2.170793984872993743e-01
2.449999999999999734e+00,2.238828422895788317e-01
2.459999999999999964e+00,2.309441320863377112e-01
2.469999999999999751e+00,2.382807278289186814e-01
2.479999999999999982e+00,2.459124277512056422e-01
2.489999999999999769e+00,2.538617677179295651e-01
2.500000000000000000e+00,2.621547232734283694e-01
2.509999999999999787e+00,2.708214682997405198e-01
