# q,S(q)
1.000000000000000056e-01,1.505664009939058131e-03
1.100000000000000006e-01,1.822367656463132852e-03
1.199999999999999956e-01,2.169439163031711398e-03
1.300000000000000044e-01,2.546934686655956317e-03
1.399999999999999856e-01,2.954915866057081317e-03
1.499999999999999667e-01,3.393449198111805377e-03
1.599999999999999756e-01,3.862606300257097162e-03
1.699999999999999845e-01,4.362464075596352020e-03
1.799999999999999656e-01,4.893104490088842455e-03
1.899999999999999467e-01,5.454614791660692720e-03
1.999999999999999556e-01,6.047087681822297875e-03
2.099999999999999645e-01,6.670620976734034299e-03
2.199999999999999456e-01,7.325318063406769352e-03
2.299999999999999545e-01,8.011287667534347859e-03
2.399999999999999356e-01,8.728644252752899152e-03
2.499999999999999167e-01,9.477507559197325196e-03
2.599999999999998979e-01,1.025800321508142481e-02
2.699999999999999067e-01,1.107026249240235585e-02
2.799999999999999156e-01,1.191442245239729761e-02
2.899999999999999245e-01,1.279062589774435099e-02
2.999999999999999334e-01,1.369902194711124059e-02
3.099999999999999423e-01,1.463976524234368408e-02
3.199999999999998956e-01,1.561301708217640097e-02
3.299999999999998490e-01,1.661894438994020520e-02
3.399999999999998579e-01,1.765772083026785275e-02
3.499999999999998668e-01,1.872952631806664228e-02
3.599999999999998757e-01,1.983454726292735795e-02
3.699999999999998845e-01,2.097297646858508474e-02
3.799999999999998934e-01,2.214501405710470744e-02
3.899999999999999023e-01,2.335086637294197034e-02
3.999999999999998002e-01,2.459074665328464179e-02
4.099999999999998090e-01,2.586487565525807941e-02
4.199999999999998179e-01,2.717348137243078693e-02
4.299999999999998268e-01,2.851679832085515093e-02
4.399999999999998357e-01,2.989506924744771837e-02
4.499999999999998446e-01,3.130854423443518719e-02
4.599999999999998535e-01,3.275748109912857836e-02
4.699999999999998623e-01,3.424214554346929201e-02
4.799999999999997602e-01,3.576281130959207966e-02
4.899999999999997691e-01,3.731976033917717983e-02
4.999999999999997780e-01,3.891328255454194751e-02
5.099999999999997868e-01,4.054367755561692765e-02
5.199999999999997957e-01,4.221125253169775299e-02
5.299999999999998046e-01,4.391632350493058362e-02
5.399999999999998135e-01,4.565921687233935600e-02
5.499999999999998224e-01,4.744026657364858179e-02
5.599999999999997202e-01,4.925981784428044852e-02
5.699999999999997291e-01,5.111822373379226736e-02
5.799999999999997380e-01,5.301584863006991027e-02
5.899999999999997469e-01,5.495306713024888240e-02
5.999999999999997558e-01,5.693026258914126586e-02
6.099999999999997646e-01,5.894783055284270878e-02
6.199999999999997735e-01,6.100617690017302863e-02
6.299999999999996714e-01,6.310571861434194352e-02
6.399999999999996803e-01,6.524688404993264634e-02
6.499999999999996891e-01,6.743011320377996498e-02
6.599999999999996980e-01,6.965585799919737919e-02
6.699999999999997069e-01,7.192458257163415747e-02
6.799999999999997158e-01,7.423676284015016946e-02
6.899999999999997247e-01,7.659288972963075592e-02
6.999999999999996225e-01,7.899346515286784220e-02
7.099999999999996314e-01,8.143900521068900278e-02
