# omega,Re f_xc_QV(omega), Im f_xc_QV(omega)
9.999999999999999547e-07,-1.402674507324811515e+01,-3.426859512675633129e-06
1.010110909090909115e-01,-1.504893402484563580e+01,-1.073054612747901260e+00
2.020211818181818220e-01,-1.579878689553503435e+01,-4.492880277991214477e+00
3.030312727272727047e-01,-1.388788598541790975e+01,-8.614075172570419880e+00
4.040413636363636152e-01,-9.764552511676789948e+00,-1.094666911784426766e+01
5.050514545454546367e-01,-5.435583503364410873e+00,-1.064704381480389550e+01
6.060615454545454917e-01,-2.477234263297333428e+00,-8.571817993681886350e+00
7.070716363636363466e-01,-1.237177136230489527e+00,-6.079603573855012932e+00
8.080817272727273126e-01,-1.207279836495533498e+00,-4.075607265115389843e+00
9.090918181818182786e-01,-1.703837595656085835e+00,-2.810968706201552259e+00
1.010101909090909134e+00,-2.263299735219753472e+00,-2.141308915464875007e+00
1.111111999999999878e+00,-2.694311290103965639e+00,-1.824854884305018299e+00
1.212122090909090844e+00,-2.972952155893157311e+00,-1.675876189670350458e+00
1.313132181818181810e+00,-3.136783891972584115e+00,-1.591709963853014553e+00
1.414142272727272553e+00,-3.228439631351433636e+00,-1.527638148671038643e+00
1.515152363636363519e+00,-3.278315182414004880e+00,-1.468138223208928617e+00
1.616162454545454485e+00,-3.304704400990781998e+00,-1.409297110278794118e+00
1.717172545454545451e+00,-3.317893449666669436e+00,-1.350873672282326465e+00
1.818182636363636417e+00,-3.323662050746866381e+00,-1.293446688309839665e+00
1.919192727272727161e+00,-3.325289685375564908e+00,-1.237596222622786568e+00
2.020202818181818571e+00,-3.324712898917383086e+00,-1.183739854959779736e+00
2.121212909090909093e+00,-3.323079163927297852e+00,-1.132138334253617540e+00
2.222223000000000059e+00,-3.321064963080813115e+00,-1.082931244168899410e+00
2.323233090909091025e+00,-3.319074480309446074e+00,-1.036170350902346993e+00
2.424243181818181991e+00,-3.317339992847790242e+00,-9.918456612216320911e-01
2.525253272727272957e+00,-3.315963581327307619e+00,-9.499048882221157175e-01
2.626263363636363923e+00,-3.315014136157008906e+00,-9.102677612368619275e-01
2.727273454545454889e+00,-3.314490331948315660e+00,-8.728364409246012201e-01
2.828283545454545411e+00,-3.314386233777026902e+00,-8.375030263646034978e-01
2.929293636363636377e+00,-3.314665490919471935e+00,-8.041549048477995010e-01
3.030303727272727343e+00,-3.315303728588135268e+00,-7.726785093951527017e-01
3.131313818181818309e+00,-3.316254519613503593e+00,-7.429619067385221376e-01
3.232323909090909275e+00,-3.317482983483732717e+00,-7.148965306940860964e-01
3.333334000000000241e+00,-3.318953703932666421e+00,-6.883782947651359008e-01
3.434344090909091207e+00,-3.320633690743573840e+00,-6.633082571080181067e-01
3.535354181818182173e+00,-3.322487793508261955e+00,-6.395929657106772526e-01
3.636364272727273139e+00,-3.324492104283143235e+00,-6.171445779335821280e-01
3.737374363636363661e+00,-3.326618236336567058e+00,-5.958808235291911393e-01
3.838384454545454627e+00,-3.328847216388864272e+00,-5.757248616862684631e-01
3.939394545454545593e+00,-3.331161365052311751e+00,-5.566050688874566443e-01
4.040404636363637003e+00,-3.333538551937082151e+00,-5.384547841885395369e-01
4.141414727272727525e+00,-3.335963399360992732e+00,-5.212120310063427242e-01
4.242424818181818047e+00,-3.338419064217156063e+00,-5.048192289551264311e-01
4.343434909090909457e+00,-3.340902775896892329e+00,-4.892229051902051151e-01
4.444444999999999979e+00,-3.343397610607631076e+00,-4.743734117244821635e-01
4.545455090909091389e+00,-3.345905235083160623e+00,-4.602246529978791245e-01
4.646465181818181911e+00,-3.348400895142004341e+00,-4.467338263925347830e-01
4.747475272727273321e+00,-3.350895007231856848e+00,-4.338611772429502578e-01
4.848485363636363843e+00,-3.353371220650314566e+00,-4.215697690745598414e-01
4.949495454545454365e+00,-3.355831477832096343e+00,-4.098252692305773270e-01
5.050505545454545775e+00,-3.358267247765493124e+00,-3.985957496515229459e-01
5.151515636363636297e+00,-3.360678147035517593e+00,-3.878515023069865619e-01
5.252525727272727707e+00,-3.363055871843518396e+00,-3.775648686095665618e-01
5.353535818181818229e+00,-3.365410405710527630e+00,-3.677100820402447456e-01
5.454545909090909639e+00,-3.367728770360246759e+00,-3.582631231632001922e-01
5.555556000000000161e+00,-3.370010742243934487e+00,-3.492015861917724395e-01
5.656566090909090683e+00,-3.372258183183120650e+00,-3.405045562752858634e-01
