# q,S(q)
1.000000000000000021e-02,1.522137625792539051e-05
2.000000000000000042e-02,5.022227265368125679e-05
2.999999999999999889e-02,1.152759231582543452e-04
4.000000000000000083e-02,2.048191583510945984e-04
5.000000000000000278e-02,3.201152862543139204e-04
6.000000000000000472e-02,4.610471296133890513e-04
6.999999999999999278e-02,6.276592642929083345e-04
8.000000000000000167e-02,8.199859835854091551e-04
8.999999999999999667e-02,1.038062356150304530e-03
9.999999999999999167e-02,1.281927944471243598e-03
1.100000000000000006e-01,1.551627291862525551e-03
1.199999999999999956e-01,1.847209908321131248e-03
1.300000000000000044e-01,2.168730141062041178e-03
1.400000000000000133e-01,2.516247338321785185e-03
1.500000000000000222e-01,2.889825535114503002e-03
1.600000000000000033e-01,3.289533996730991013e-03
1.700000000000000122e-01,3.715446874550553356e-03
1.800000000000000211e-01,4.167643508118567576e-03
1.900000000000000022e-01,4.646208354687774572e-03
2.000000000000000111e-01,5.151231056005647208e-03
2.100000000000000200e-01,5.682806607270263904e-03
2.200000000000000011e-01,6.241035328786091047e-03
2.300000000000000100e-01,6.826022947657084047e-03
2.400000000000000189e-01,7.437880620974219974e-03
2.500000000000000000e-01,8.076725306642695487e-03
2.600000000000000089e-01,8.742679331087663958e-03
2.700000000000000178e-01,9.435871002401280752e-03
2.800000000000000266e-01,1.015643429965594827e-02
2.900000000000000355e-01,1.090450944837641906e-02
2.999999999999999889e-01,1.168024242871963658e-02
3.099999999999999978e-01,1.248378534985921696e-02
3.200000000000000067e-01,1.331529681713019761e-02
3.300000000000000155e-01,1.417494171015909639e-02
3.400000000000000244e-01,1.506289141229132621e-02
3.500000000000000333e-01,1.597932393724435518e-02
3.600000000000000422e-01,1.692442405894060628e-02
3.699999999999999956e-01,1.789838327275089513e-02
3.800000000000000044e-01,1.890140063331064921e-02
3.900000000000000133e-01,1.993368167395288479e-02
4.000000000000000222e-01,2.099544001568422885e-02
4.100000000000000311e-01,2.208689598989978242e-02
4.200000000000000400e-01,2.320827819268539774e-02
4.299999999999999933e-01,2.435982285812300988e-02
4.400000000000000022e-01,2.554177423413473216e-02
4.500000000000000111e-01,2.675438476503952737e-02
4.600000000000000200e-01,2.799791528394623974e-02
4.700000000000000289e-01,2.927263492121708749e-02
4.800000000000000377e-01,3.057882245647221275e-02
4.899999999999999911e-01,3.191676483036658130e-02
5.000000000000000000e-01,3.328675815971713497e-02
5.100000000000000089e-01,3.468910899010252402e-02
5.200000000000000178e-01,3.612413224434427722e-02
5.300000000000000266e-01,3.759215378462672785e-02
5.400000000000000355e-01,3.909350934211698603e-02
5.500000000000000444e-01,4.062854550874654691e-02
5.600000000000000533e-01,4.219761841913963196e-02
5.700000000000000622e-01,4.380109640387821329e-02
5.800000000000000711e-01,4.543935872123519570e-02
5.899999999999999689e-01,4.711279624790021964e-02
5.999999999999999778e-01,4.882181179820385686e-02
6.099999999999999867e-01,5.056681995305001287e-02
6.199999999999999956e-01,5.234824938369705277e-02
6.300000000000000044e-01,5.416654025509857334e-02
6.400000000000000133e-01,5.602214599059710670e-02
6.500000000000000222e-01,5.791553536734091179e-02
6.600000000000000311e-01,5.984718963719163481e-02
6.700000000000000400e-01,6.181760449544516922e-02
6.800000000000000488e-01,6.382729175526477561e-02
6.900000000000000577e-01,6.587677869669511521e-02
7.000000000000000666e-01,6.796660649832055034e-02
7.100000000000000755e-01,7.009733457254063715e-02
7.199999999999999734e-01,7.226953923125174761e-02
7.299999999999999822e-01,7.448381197661782527e-02
7.399999999999999911e-01,7.674076427777787313e-02
7.500000000000000000e-01,7.904102532275467108e-02
7.600000000000000089e-01,8.138524328305948852e-02
7.700000000000000178e-01,8.377408592514958008e-02
7.800000000000000266e-01,8.620824121766329506e-02
7.900000000000000355e-01,8.868841798640419993e-02
8.000000000000000444e-01,9.121534659085810126e-02
8.100000000000000533e-01,9.378977868285978681e-02
8.200000000000000622e-01,9.641249164621799872e-02
