# q,<w**1.0>/wp(0)**1.0
1.000000000000000021e-02,9.531110756545213669e-06
2.000000000000000042e-02,4.211304359407625348e-05
2.999999999999999889e-02,9.568152222187082984e-05
4.000000000000000083e-02,1.701187166427904662e-04
5.000000000000000278e-02,2.658113561883800264e-04
6.000000000000000472e-02,3.827727813062153906e-04
6.999999999999999278e-02,5.209973896459794756e-04
8.000000000000000167e-02,6.804964934160172979e-04
8.999999999999999667e-02,8.612584595052545384e-04
9.999999999999999167e-02,1.063293266161291668e-03
1.100000000000000006e-01,1.286598751064416081e-03
1.199999999999999956e-01,1.531176915693081017e-03
1.300000000000000044e-01,1.797029361903676849e-03
1.400000000000000133e-01,2.084157587998638171e-03
1.500000000000000222e-01,2.392563507017020277e-03
1.600000000000000033e-01,2.722248775794918352e-03
1.700000000000000122e-01,3.073215548368036110e-03
1.800000000000000211e-01,3.445465841871724662e-03
1.900000000000000022e-01,3.839001819312418129e-03
2.000000000000000111e-01,4.253825832493593299e-03
2.100000000000000200e-01,4.689940310703732788e-03
2.200000000000000011e-01,5.147347818177645459e-03
2.300000000000000100e-01,5.626050919754005224e-03
2.400000000000000189e-01,6.126052405643836116e-03
2.500000000000000000e-01,6.647355103186905825e-03
2.600000000000000089e-01,7.189961871555767582e-03
2.700000000000000178e-01,7.753875784837861718e-03
2.800000000000000266e-01,8.339099949885396892e-03
2.900000000000000355e-01,8.945637460625738280e-03
2.999999999999999889e-01,9.573491757887865258e-03
3.099999999999999978e-01,1.022266599585957073e-02
3.200000000000000067e-01,1.089316356874656111e-02
3.300000000000000155e-01,1.158498816758239333e-02
3.400000000000000244e-01,1.229814311309111730e-02
3.500000000000000333e-01,1.303263211751724132e-02
3.600000000000000422e-01,1.378845884048251688e-02
3.699999999999999956e-01,1.456562699255547003e-02
3.800000000000000044e-01,1.536414033111456294e-02
3.900000000000000133e-01,1.618400249508580857e-02
4.000000000000000222e-01,1.702521746551002163e-02
4.100000000000000311e-01,1.788778911267416630e-02
4.200000000000000400e-01,1.877172133422751188e-02
4.299999999999999933e-01,1.967701805140889548e-02
4.400000000000000022e-01,2.060368299957537896e-02
4.500000000000000111e-01,2.155172053327364043e-02
4.600000000000000200e-01,2.252113419485031465e-02
4.700000000000000289e-01,2.351192815512411285e-02
4.800000000000000377e-01,2.452410637851569833e-02
4.899999999999999911e-01,2.555767282296029022e-02
5.000000000000000000e-01,2.661263143500285436e-02
5.100000000000000089e-01,2.768898614422324322e-02
5.200000000000000178e-01,2.878674057239797093e-02
5.300000000000000266e-01,2.990589886422523325e-02
5.400000000000000355e-01,3.104646517703110384e-02
5.500000000000000444e-01,3.220844271480996501e-02
5.600000000000000533e-01,3.339183554284209238e-02
5.700000000000000622e-01,3.459664738116106225e-02
5.800000000000000711e-01,3.582288189652893529e-02
5.899999999999999689e-01,3.707054232863360443e-02
5.999999999999999778e-01,3.833963294752669448e-02
6.099999999999999867e-01,3.963015647855014367e-02
6.199999999999999956e-01,4.094211710017139211e-02
6.300000000000000044e-01,4.227551733365542824e-02
6.400000000000000133e-01,4.363036081248402448e-02
6.500000000000000222e-01,4.500665068692411008e-02
6.600000000000000311e-01,4.640439001327036767e-02
6.700000000000000400e-01,4.782358174917811233e-02
6.800000000000000488e-01,4.926422874831828946e-02
6.900000000000000577e-01,5.072633325102417906e-02
7.000000000000000666e-01,5.220989888596963557e-02
7.100000000000000755e-01,5.371492767631522169e-02
7.199999999999999734e-01,5.524142146500050921e-02
7.299999999999999822e-01,5.678938303662828258e-02
7.399999999999999911e-01,5.835881510656578536e-02
7.500000000000000000e-01,5.994971852697315168e-02
7.600000000000000089e-01,6.156209572225489896e-02
7.700000000000000178e-01,6.319594840822476134e-02
7.800000000000000266e-01,6.485127815227646753e-02
7.900000000000000355e-01,6.652808570834051194e-02
8.000000000000000444e-01,6.822637364715290753e-02
8.100000000000000533e-01,6.994614242441439533e-02
8.200000000000000622e-01,7.168739226635449657e-02
8.300000000000000711e-01,7.345012535973333145e-02
8.400000000000000799e-01,7.523434086339142457e-02
8.499999999999999778e-01,7.704004069314879244e-02
8.599999999999999867e-01,7.886722359167769314e-02
8.699999999999999956e-01,8.071589038942014738e-02
8.800000000000000044e-01,8.258604098864526233e-02
8.900000000000000133e-01,8.447767510743102448e-02
9.000000000000000222e-01,8.639079227978593845e-02
9.100000000000000311e-01,8.832539185407617399e-02
9.200000000000000400e-01,9.028147298749844563e-02
9.300000000000000488e-01,9.225903372831445459e-02
9.400000000000000577e-01,9.425807467069187429e-02
9.500000000000000666e-01,9.627859349512553344e-02
9.600000000000000755e-01,9.832058761057445306e-02
9.699999999999999734e-01,1.003840561431868367e-01
9.799999999999999822e-01,1.024689981073208106e-01
9.899999999999999911e-01,1.045754092779062616e-01
1.000000000000000000e+00,1.067032882507367303e-01
1.010000000000000009e+00,1.088526324241403664e-01
1.020000000000000018e+00,1.110234389967368757e-01
1.030000000000000027e+00,1.132157049740849797e-01
1.040000000000000036e+00,1.154294271547740003e-01
1.050000000000000044e+00,1.176646021460831110e-01
1.060000000000000053e+00,1.199212263587647043e-01
1.070000000000000062e+00,1.221992960043503940e-01
1.080000000000000071e+00,1.244988058604561271e-01
1.090000000000000080e+00,1.268197542134014144e-01
1.100000000000000089e+00,1.291621341914881427e-01
1.110000000000000098e+00,1.315259437884557792e-01
1.120000000000000107e+00,1.339111756659874808e-01
1.130000000000000115e+00,1.363178261817104830e-01
1.140000000000000124e+00,1.387458916067461911e-01
1.150000000000000133e+00,1.411953639114247872e-01
1.160000000000000142e+00,1.436662389776430238e-01
1.169999999999999929e+00,1.461585111848185403e-01
1.179999999999999938e+00,1.486721747014355943e-01
1.189999999999999947e+00,1.512072235622932692e-01
1.199999999999999956e+00,1.537636500914016935e-01
1.209999999999999964e+00,1.563414510311318950e-01
1.219999999999999973e+00,1.589406184237721065e-01
1.229999999999999982e+00,1.615611456681771418e-01
1.239999999999999991e+00,1.642030243967289582e-01
1.250000000000000000e+00,1.668662509489383938e-01
1.260000000000000009e+00,1.695508150322272700e-01
1.270000000000000018e+00,1.722567111308034027e-01
1.280000000000000027e+00,1.749839337222836855e-01
1.290000000000000036e+00,1.777324719543098563e-01
1.300000000000000044e+00,1.805023200630300750e-01
1.310000000000000053e+00,1.832934704309630292e-01
1.320000000000000062e+00,1.861059153867960225e-01
1.330000000000000071e+00,1.889396471375353603e-01
1.340000000000000080e+00,1.917946578056873019e-01
1.350000000000000089e+00,1.946709394393539572e-01
1.360000000000000098e+00,1.975684840504387529e-01
1.370000000000000107e+00,2.004872834774102941e-01
1.380000000000000115e+00,2.034273277072727315e-01
1.390000000000000124e+00,2.063886124653490639e-01
1.400000000000000133e+00,2.093711275858483323e-01
1.410000000000000142e+00,2.123748625902216747e-01
1.419999999999999929e+00,2.153998136186828505e-01
1.429999999999999938e+00,2.184459679212658878e-01
1.439999999999999947e+00,2.215133193997178007e-01
1.449999999999999956e+00,2.246018619088419599e-01
1.459999999999999964e+00,2.277115828570809852e-01
1.469999999999999973e+00,2.308424760459761860e-01
1.479999999999999982e+00,2.339945332473845063e-01
1.489999999999999991e+00,2.371677463116977358e-01
1.500000000000000000e+00,2.403621068842871911e-01
1.510000000000000009e+00,2.435776067574662584e-01
1.520000000000000018e+00,2.468142387927262926e-01
1.530000000000000027e+00,2.500719936197631221e-01
1.540000000000000036e+00,2.533508635979537238e-01
1.550000000000000044e+00,2.566508388999629298e-01
1.560000000000000053e+00,2.599719167002434439e-01
1.570000000000000062e+00,2.633140870411880829e-01
1.580000000000000071e+00,2.666773380254786052e-01
1.590000000000000080e+00,2.700616700490858779e-01
1.600000000000000089e+00,2.734670678822653245e-01
1.610000000000000098e+00,2.768935293933817987e-01
1.620000000000000107e+00,2.803410485875891256e-01
1.630000000000000115e+00,2.838096129142883006e-01
1.640000000000000124e+00,2.872992190492771880e-01
1.650000000000000133e+00,2.908098607090945364e-01
1.660000000000000142e+00,2.943415335731404681e-01
1.670000000000000151e+00,2.978942250074863018e-01
1.679999999999999938e+00,3.014679331318174671e-01
1.689999999999999947e+00,3.050626508788586433e-01
1.699999999999999956e+00,3.086783699856265883e-01
1.709999999999999964e+00,3.123150901929938050e-01
1.719999999999999973e+00,3.159728038075093060e-01
1.729999999999999982e+00,3.196515052084988318e-01
1.739999999999999991e+00,3.233511892649684749e-01
1.750000000000000000e+00,3.270718481300092795e-01
1.760000000000000009e+00,3.308134833893885962e-01
1.770000000000000018e+00,3.345760842450370975e-01
1.780000000000000027e+00,3.383596531465412616e-01
1.790000000000000036e+00,3.421641793627074879e-01
1.800000000000000044e+00,3.459896658115133583e-01
1.810000000000000053e+00,3.498361020196346649e-01
1.820000000000000062e+00,3.537034916447493460e-01
1.830000000000000071e+00,3.575918246128798050e-01
1.840000000000000080e+00,3.615011014553231039e-01
1.850000000000000089e+00,3.654313195655989888e-01
1.860000000000000098e+00,3.693824801962275473e-01
