# q,S(q)
1.000000000000000021e-02,5.287335344613368896e-05
2.000000000000000042e-02,2.126251199521695941e-04
2.999999999999999889e-02,4.783619873567912799e-04
4.000000000000000083e-02,8.502896069881945738e-04
5.000000000000000278e-02,1.328316965519782573e-03
6.000000000000000472e-02,1.912321035533365559e-03
6.999999999999999278e-02,2.602154580243790268e-03
8.000000000000000167e-02,3.397645485549740090e-03
8.999999999999999667e-02,4.298597277826407201e-03
9.999999999999999167e-02,5.304789859552102964e-03
1.100000000000000006e-01,6.415979707637915752e-03
1.199999999999999956e-01,7.631900704898052744e-03
1.300000000000000044e-01,8.952263899166486294e-03
1.400000000000000133e-01,1.037675868469858931e-02
1.500000000000000222e-01,1.190505230102453446e-02
1.600000000000000033e-01,1.353679071292955213e-02
1.700000000000000122e-01,1.527159907111719749e-02
1.800000000000000211e-01,1.710908117916112164e-02
1.900000000000000022e-01,1.904882053373956052e-02
2.000000000000000111e-01,2.109038077091946253e-02
2.100000000000000200e-01,2.323330475714071100e-02
2.200000000000000011e-01,2.547711616822586483e-02
2.300000000000000100e-01,2.782131894944139816e-02
2.400000000000000189e-01,3.026539772759484145e-02
2.500000000000000000e-01,3.280881802649301959e-02
2.600000000000000089e-01,3.545102612547872123e-02
2.700000000000000178e-01,3.819145063201581647e-02
2.800000000000000266e-01,4.102950025269621465e-02
2.900000000000000355e-01,4.396456646019265141e-02
2.999999999999999889e-01,4.699602225212919093e-02
3.099999999999999978e-01,5.012322267849186885e-02
3.200000000000000067e-01,5.334550501797371419e-02
3.300000000000000155e-01,5.666218894693913349e-02
3.400000000000000244e-01,6.007257670475289746e-02
3.500000000000000333e-01,6.357595263685633658e-02
3.600000000000000422e-01,6.717158581231225112e-02
3.699999999999999956e-01,7.085872584318998746e-02
3.800000000000000044e-01,7.463660743919575680e-02
3.900000000000000133e-01,7.850444881269380559e-02
4.000000000000000222e-01,8.246144937856865476e-02
4.100000000000000311e-01,8.650679443235710642e-02
4.200000000000000400e-01,9.063965230313419941e-02
4.299999999999999933e-01,9.485917524370325593e-02
4.400000000000000022e-01,9.916449954261512267e-02
4.500000000000000111e-01,1.035547456863270127e-01
4.600000000000000200e-01,1.080290184606531867e-01
4.700000000000000289e-01,1.125864059819031565e-01
4.800000000000000377e-01,1.172259842253907669e-01
4.899999999999999911e-01,1.219468106109655309e-01
5.000000000000000000e-01,1.267479284418735752e-01
5.100000000000000089e-01,1.316283646331730672e-01
5.200000000000000178e-01,1.365871350245670968e-01
5.300000000000000266e-01,1.416232353992122328e-01
5.400000000000000355e-01,1.467356522237296679e-01
5.500000000000000444e-01,1.519233517465827799e-01
5.600000000000000533e-01,1.571852915498256897e-01
5.700000000000000622e-01,1.625204087781909057e-01
5.800000000000000711e-01,1.679276308761549485e-01
5.899999999999999689e-01,1.734058695939239003e-01
5.999999999999999778e-01,1.789540244119026957e-01
6.099999999999999867e-01,1.845709755554517939e-01
6.199999999999999956e-01,1.902555946081400107e-01
