# q,<w**1.0>/wp(0)**1.0
1.000000000000000021e-02,9.525151666912039006e-06
2.000000000000000042e-02,4.213109691533177819e-05
2.999999999999999889e-02,9.568662985251408964e-05
4.000000000000000083e-02,1.701147374483223966e-04
5.000000000000000278e-02,2.658061711772237586e-04
6.000000000000000472e-02,3.827646863317481175e-04
6.999999999999999278e-02,5.209824135657145725e-04
8.000000000000000167e-02,6.804680753685838149e-04
8.999999999999999667e-02,8.612137853095148954e-04
9.999999999999999167e-02,1.063223815651527298e-03
1.100000000000000006e-01,1.286499853039413171e-03
1.199999999999999956e-01,1.531045794625091831e-03
1.300000000000000044e-01,1.796867056486210843e-03
1.400000000000000133e-01,2.083967810015352907e-03
1.500000000000000222e-01,2.392347930515420322e-03
1.600000000000000033e-01,2.722000354082873726e-03
1.700000000000000122e-01,3.072911414805770680e-03
1.800000000000000211e-01,3.445064187051188626e-03
1.900000000000000022e-01,3.838444196808575831e-03
2.000000000000000111e-01,4.253044036677045177e-03
2.100000000000000200e-01,4.688865787418117215e-03
2.200000000000000011e-01,5.145919790635469088e-03
2.300000000000000100e-01,5.624222160245885907e-03
2.400000000000000189e-01,6.123790867073935704e-03
2.500000000000000000e-01,6.644643161998525262e-03
2.600000000000000089e-01,7.186793386721245652e-03
2.700000000000000178e-01,7.750252190632485501e-03
2.800000000000000266e-01,8.335026081362122488e-03
2.900000000000000355e-01,8.941118229131799974e-03
2.999999999999999889e-01,9.568528764198610398e-03
3.099999999999999978e-01,1.021725552227104039e-02
3.200000000000000067e-01,1.088729476028408270e-02
3.300000000000000155e-01,1.157864127467019520e-02
3.400000000000000244e-01,1.229128945788646177e-02
3.500000000000000333e-01,1.302523334666821041e-02
3.600000000000000422e-01,1.378046645915044846e-02
3.699999999999999956e-01,1.455698271360861273e-02
3.800000000000000044e-01,1.535477621751906926e-02
3.900000000000000133e-01,1.617384085695871415e-02
4.000000000000000222e-01,1.701417140318890048e-02
4.100000000000000311e-01,1.787576229669980352e-02
4.200000000000000400e-01,1.875860896440091630e-02
4.299999999999999933e-01,1.966270645307809789e-02
4.400000000000000022e-01,2.058805087251483132e-02
4.500000000000000111e-01,2.153463787342912647e-02
4.600000000000000200e-01,2.250246423215004551e-02
4.700000000000000289e-01,2.349152641091242777e-02
4.800000000000000377e-01,2.450182113485864163e-02
4.899999999999999911e-01,2.553334613872065492e-02
5.000000000000000000e-01,2.658609873989134856e-02
5.100000000000000089e-01,2.766007677023642891e-02
5.200000000000000178e-01,2.875527805682820057e-02
