# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
1.000000000000000021e-02,1.000126010383481256e+00,-4.257108349616670454e-06
1.398797595190380896e-02,1.000246175994917053e+00,-8.328756201289087718e-06
1.797595190380761598e-02,1.000406376900426997e+00,-1.375032841537406217e-05
2.196392785571142647e-02,1.000606825365499164e+00,-2.052449058771366381e-05
2.595190380761523002e-02,1.000847402735560721e+00,-2.864842872521645496e-05
2.993987975951904051e-02,1.001128120409206179e+00,-3.812048897977981778e-05
3.392785571142285100e-02,1.001448645606811683e+00,-4.893870114692048265e-05
3.791583166332665455e-02,1.001809452193961780e+00,-6.110092924014023301e-05
4.190380761523046504e-02,1.002210442175998750e+00,-7.460469238096948579e-05
4.589178356713427553e-02,1.002651585884037022e+00,-8.944722275095288186e-05
4.987975951903807909e-02,1.003132949202319324e+00,-1.056254766682870416e-04
5.386773547094188958e-02,1.003654589850220935e+00,-1.231361470425370631e-04
5.785571142284570006e-02,1.004216559263442665e+00,-1.419756373713884103e-04
6.184368737474950362e-02,1.004819413988049304e+00,-1.621767414971895908e-04
6.583166332665331411e-02,1.005462214421128042e+00,-1.836669239044251057e-04
6.981963927855711072e-02,1.006145483979837829e+00,-2.064736784921903691e-04
7.380761523046092121e-02,1.006869280874668426e+00,-2.305922274194535800e-04
7.779559118236473170e-02,1.007633667120433563e+00,-2.560174924472381373e-04
8.178356713426854219e-02,1.008438708607377166e+00,-2.827440914913517418e-04
8.577154308617233880e-02,1.009284475190176833e+00,-3.107663349508462737e-04
8.975951903807614929e-02,1.010171040745873272e+00,-3.400782217486884819e-04
9.374749498997995978e-02,1.011098483279384563e+00,-3.706734351984972684e-04
9.773547094188377027e-02,1.012066884989374804e+00,-4.025453385568553231e-04
1.017234468937875808e-01,1.013076332373851640e+00,-4.356869703500055495e-04
1.057114228456913912e-01,1.014126916320267302e+00,-4.700910394217892472e-04
1.096993987975951879e-01,1.015218732207599617e+00,-5.057499196853908847e-04
1.136873747494989983e-01,1.016351880020695209e+00,-5.426556446296630859e-04
1.176753507014028088e-01,1.017526464450605905e+00,-5.807999014467367079e-04
1.216633266533066193e-01,1.018742595023079955e+00,-6.201740249174429211e-04
1.256513026052104298e-01,1.020000386218199662e+00,-6.607689909217829421e-04
1.296392785571142403e-01,1.021299957594920205e+00,-7.025754096001275662e-04
1.336272545090180508e-01,1.022641433933234145e+00,-7.455835181880769410e-04
1.376152304609218613e-01,1.024024945375409335e+00,-7.897831734530344440e-04
1.416032064128256718e-01,1.025450627562969785e+00,-8.351638436886862828e-04
1.455911823647294823e-01,1.026918621804006948e+00,-8.817146003828438315e-04
1.495791583166332928e-01,1.028429075227481615e+00,-9.294241093732301829e-04
1.535671342685371032e-01,1.029982140946931635e+00,-9.782806215425032207e-04
1.575551102204409137e-01,1.031577978242817162e+00,-1.028271963084740953e-03
1.615430861723446965e-01,1.033216752740879096e+00,-1.079385525204819068e-03
1.655310621242485070e-01,1.034898636598184929e+00,-1.131608253273282865e-03
1.695190380761523175e-01,1.036623808705242400e+00,-1.184926635459249448e-03
