# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
1.000000000000000021e-02,1.000023113382298989e+00,-5.164735618220288814e-06
1.398797595190380896e-02,1.000045646857663062e+00,-1.010474647462814844e-05
1.797595190380761598e-02,1.000075411732886055e+00,-1.668684206772549756e-05
2.196392785571142647e-02,1.000112606796136783e+00,-2.491031431624367699e-05
2.595190380761523002e-02,1.000157081792825142e+00,-3.477444376148118430e-05
2.993987975951904051e-02,1.000209189054387160e+00,-4.627844211685051476e-05
3.392785571142285100e-02,1.000268632438140903e+00,-5.942130369211703965e-05
3.791583166332665455e-02,1.000335574135218675e+00,-7.420193362908727921e-05
4.190380761523046504e-02,1.000409961191316421e+00,-9.061907098236512146e-05
4.589178356713427553e-02,1.000491827086790853e+00,-1.086713319730755925e-04
4.987975951903807909e-02,1.000581183354932513e+00,-1.283571896123135122e-04
5.386773547094188958e-02,1.000678035547531985e+00,-1.496749717303057898e-04
5.785571142284570006e-02,1.000782398116801142e+00,-1.726228710862131861e-04
6.184368737474950362e-02,1.000894280478501264e+00,-1.971989349082575727e-04
6.583166332665331411e-02,1.001013707415087550e+00,-2.234010812863153231e-04
6.981963927855711072e-02,1.001140690772835518e+00,-2.512270794093131353e-04
7.380761523046092121e-02,1.001275247540047930e+00,-2.806745588785629656e-04
7.779559118236473170e-02,1.001417398827409988e+00,-3.117410125100069014e-04
8.178356713426854219e-02,1.001567160392163647e+00,-3.444237847708328504e-04
8.577154308617233880e-02,1.001724557003394578e+00,-3.787200879397751782e-04
8.975951903807614929e-02,1.001889607946685912e+00,-4.146269850092167402e-04
9.374749498997995978e-02,1.002062338042157830e+00,-4.521414031473002990e-04
9.773547094188377027e-02,1.002242770028971552e+00,-4.912601219515702437e-04
1.017234468937875808e-01,1.002430929426279871e+00,-5.319797814366171527e-04
1.057114228456913912e-01,1.002626842968732390e+00,-5.742968785286258968e-04
1.096993987975951879e-01,1.002830537323537330e+00,-6.182077647661943405e-04
1.136873747494989983e-01,1.003042041257834249e+00,-6.637086488781547078e-04
1.176753507014028088e-01,1.003261384316221472e+00,-7.107955956143177005e-04
1.216633266533066193e-01,1.003488597206890764e+00,-7.594645239745593298e-04
1.256513026052104298e-01,1.003723712191657569e+00,-8.097112091135281022e-04
1.296392785571142403e-01,1.003966762282640035e+00,-8.615312796300914500e-04
1.336272545090180508e-01,1.004217781553611077e+00,-9.149202161388115487e-04
1.376152304609218613e-01,1.004476805398761607e+00,-9.698733527852809169e-04
1.416032064128256718e-01,1.004743870449585907e+00,-1.026385876582353680e-03
1.455911823647294823e-01,1.005019014467130045e+00,-1.084452825610985249e-03
1.495791583166332928e-01,1.005302276594346012e+00,-1.144069089249820370e-03
1.535671342685371032e-01,1.005593697040086942e+00,-1.205229406668717083e-03
1.575551102204409137e-01,1.005893317139698429e+00,-1.267928365262170750e-03
1.615430861723446965e-01,1.006201179710498828e+00,-1.332160402303861433e-03
1.655310621242485070e-01,1.006517328777037923e+00,-1.397919802514105587e-03
1.695190380761523175e-01,1.006841809352917005e+00,-1.465200695334169636e-03
1.735070140280561279e-01,1.007174668167658105e+00,-1.533997058320779247e-03
1.774949899799599384e-01,1.007515952928841774e+00,-1.604302712119124895e-03
1.814829659318637489e-01,1.007865712792382018e+00,-1.676111321697054506e-03
1.854709418837675594e-01,1.008223998121804410e+00,-1.749416393277708308e-03
