# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
1.000000000000000021e-02,9.999999059637308951e-01,-5.352969592883502008e-06
1.398797595190380896e-02,1.000002318511742816e+00,-1.047455628607729481e-05
1.797595190380761598e-02,1.000002815653620036e+00,-1.730006028146756556e-05
2.196392785571142647e-02,1.000004482996380784e+00,-2.583042521855708325e-05
2.595190380761523002e-02,1.000006234764660773e+00,-3.606678065278514842e-05
2.993987975951904051e-02,1.000008328726333717e+00,-4.801046104753621118e-05
3.392785571142285100e-02,1.000010703301889903e+00,-6.166303063660155475e-05
3.791583166332665455e-02,1.000013424868245737e+00,-7.702629004706221857e-05
4.190380761523046504e-02,1.000016467453441749e+00,-9.410223894015891973e-05
4.589178356713427553e-02,1.000019840336430210e+00,-1.128931018141117389e-04
4.987975951903807909e-02,1.000023551533063326e+00,-1.334013177873567379e-04
5.386773547094188958e-02,1.000027614353302452e+00,-1.556295444385210778e-04
5.785571142284570006e-02,1.000032036184007156e+00,-1.795806472062931277e-04
6.184368737474950362e-02,1.000036828234764474e+00,-2.052577027716112807e-04
6.583166332665331411e-02,1.000042000329969039e+00,-2.326639949541631713e-04
6.981963927855711072e-02,1.000047564655568877e+00,-2.618030131467039543e-04
7.380761523046092121e-02,1.000053534539201650e+00,-2.926784504204079404e-04
7.779559118236473170e-02,1.000059922179405758e+00,-3.252941968095915794e-04
8.178356713426854219e-02,1.000066742732710567e+00,-3.596543427884113129e-04
8.577154308617233880e-02,1.000074010816769166e+00,-3.957631706810964657e-04
8.975951903807614929e-02,1.000081741995396900e+00,-4.336251534399865565e-04
9.374749498997995978e-02,1.000089952221891343e+00,-4.732449504364468276e-04
9.773547094188377027e-02,1.000098658946036556e+00,-5.146274060622153508e-04
1.017234468937875808e-01,1.000107880700974672e+00,-5.577775457668765393e-04
1.057114228456913912e-01,1.000117635101886560e+00,-6.027005666026275139e-04
1.096993987975951879e-01,1.000127941789479058e+00,-6.494018403411635967e-04
1.136873747494989983e-01,1.000138821173671477e+00,-6.978869071893793827e-04
1.176753507014028088e-01,1.000150294063244072e+00,-7.481614696024696575e-04
1.216633266533066193e-01,1.000162382003665140e+00,-8.002313886903432471e-04
1.256513026052104298e-01,1.000175107473705083e+00,-8.541026805192935070e-04
1.296392785571142403e-01,1.000188493769649245e+00,-9.097815109174365276e-04
1.336272545090180508e-01,1.000202564704071539e+00,-9.672741893148788326e-04
1.376152304609218613e-01,1.000217345019989157e+00,-1.026587165331614314e-03
1.416032064128256718e-01,1.000232860266534241e+00,-1.087727023101962755e-03
1.455911823647294823e-01,1.000249136581026210e+00,-1.150700474722355119e-03
1.495791583166332928e-01,1.000266201059507809e+00,-1.215514356775501507e-03
1.535671342685371032e-01,1.000284081448274520e+00,-1.282175623012296465e-03
1.575551102204409137e-01,1.000302806415353407e+00,-1.350691340062582044e-03
1.615430861723446965e-01,1.000322405167139328e+00,-1.421068679095409404e-03
1.655310621242485070e-01,1.000342907901163647e+00,-1.493314912864960415e-03
1.695190380761523175e-01,1.000364345543526268e+00,-1.567437407600400998e-03
1.735070140280561279e-01,1.000386749698730648e+00,-1.643443616256645180e-03
1.774949899799599384e-01,1.000410152847073686e+00,-1.721341073619647418e-03
1.814829659318637489e-01,1.000434588270594727e+00,-1.801137389125812482e-03
1.854709418837675594e-01,1.000460090002067481e+00,-1.882840239710431183e-03
1.894589178356713699e-01,1.000486692824195778e+00,-1.966457362848857311e-03
