# q,S(q)
1.000000000000000021e-02,1.538535962881033926e-05
2.000000000000000042e-02,5.043145214775586683e-05
2.999999999999999889e-02,1.152802939655393777e-04
4.000000000000000083e-02,2.048215985989913616e-04
5.000000000000000278e-02,3.201117715363706383e-04
6.000000000000000472e-02,4.610398474491966478e-04
6.999999999999999278e-02,6.276446714438765288e-04
8.000000000000000167e-02,8.199589376113442223e-04
8.999999999999999667e-02,1.038015219574203642e-03
9.999999999999999167e-02,1.281849678245259487e-03
1.100000000000000006e-01,1.551502463822492742e-03
1.199999999999999956e-01,1.847017478952346810e-03
1.300000000000000044e-01,2.168442012300528243e-03
1.400000000000000133e-01,2.515826878161730919e-03
1.500000000000000222e-01,2.889225820850611914e-03
1.600000000000000033e-01,3.288695986402802654e-03
1.700000000000000122e-01,3.714297622858676179e-03
1.800000000000000211e-01,4.166094106918776310e-03
1.900000000000000022e-01,4.644152143629703099e-03
2.000000000000000111e-01,5.148541835346806886e-03
2.100000000000000200e-01,5.679336793888371815e-03
2.200000000000000011e-01,6.236614480078638868e-03
2.300000000000000100e-01,6.820456469013740954e-03
2.400000000000000189e-01,7.430948224172338398e-03
2.500000000000000000e-01,8.068179550712394066e-03
2.600000000000000089e-01,8.732244125554051647e-03
2.700000000000000178e-01,9.423239521179176126e-03
2.800000000000000266e-01,1.014126598951048570e-02
2.900000000000000355e-01,1.088642615576365137e-02
2.999999999999999889e-01,1.165882349143021988e-02
3.099999999999999978e-01,1.245856089028526958e-02
3.200000000000000067e-01,1.328573964501567235e-02
3.300000000000000155e-01,1.414045711535306428e-02
3.400000000000000244e-01,1.502280643931533724e-02
3.500000000000000333e-01,1.593287449760277807e-02
3.600000000000000422e-01,1.687074244126579234e-02
3.699999999999999956e-01,1.783648528721661422e-02
3.800000000000000044e-01,1.883017288581269322e-02
3.900000000000000133e-01,1.985187140310104917e-02
4.000000000000000222e-01,2.090164536581357729e-02
4.100000000000000311e-01,2.197956011641109819e-02
4.200000000000000400e-01,2.308568424848625456e-02
4.299999999999999933e-01,2.422009315410607669e-02
