# q,<w**2.0>/wp(0)**2.0
1.000000000000000021e-02,5.287592806958441694e-05
2.000000000000000042e-02,2.126665163816948635e-04
2.999999999999999889e-02,4.785713971119769919e-04
4.000000000000000083e-02,8.509503249674600081e-04
5.000000000000000278e-02,1.329926878314796699e-03
6.000000000000000472e-02,1.915652564239167651e-03
6.999999999999999278e-02,2.608314155387889653e-03
8.000000000000000167e-02,3.408132494111726710e-03
8.999999999999999667e-02,4.315362851848290361e-03
9.999999999999999167e-02,5.330295199883966668e-03
1.100000000000000006e-01,6.453254430574509488e-03
1.199999999999999956e-01,7.684600681133428937e-03
1.300000000000000044e-01,9.024729455168464115e-03
1.400000000000000133e-01,1.047407220755340596e-02
1.500000000000000222e-01,1.203309637851006191e-02
1.600000000000000033e-01,1.370230628775808389e-02
1.700000000000000122e-01,1.548224286768139397e-02
1.800000000000000211e-01,1.737348452163845272e-02
1.900000000000000022e-01,1.937664746930290935e-02
2.000000000000000111e-01,2.149238621604134328e-02
2.100000000000000200e-01,2.372139404620742312e-02
2.200000000000000011e-01,2.606440379556496101e-02
2.300000000000000100e-01,2.852218765234853376e-02
2.400000000000000189e-01,3.109555870281576970e-02
2.500000000000000000e-01,3.378537040749419323e-02
2.600000000000000089e-01,3.659251837689769804e-02
2.700000000000000178e-01,3.951793967454671208e-02
2.800000000000000266e-01,4.256261441233930715e-02
2.900000000000000355e-01,4.572756652415468914e-02
2.999999999999999889e-01,4.901386359287306094e-02
3.099999999999999978e-01,5.242261734419775138e-02
3.200000000000000067e-01,5.595498580886548723e-02
3.300000000000000155e-01,5.961217196999538809e-02
3.400000000000000244e-01,6.339542661076193186e-02
3.500000000000000333e-01,6.730604737038779761e-02
3.600000000000000422e-01,7.134537925338772790e-02
3.699999999999999956e-01,7.551481739188131703e-02
3.800000000000000044e-01,7.981580578233876677e-02
3.900000000000000133e-01,8.424983780121721166e-02
4.000000000000000222e-01,8.881845935807278214e-02
4.100000000000000311e-01,9.352326634934164662e-02
4.200000000000000400e-01,9.836590982772888681e-02
4.299999999999999933e-01,1.033480902565922094e-01
4.400000000000000022e-01,1.084715637435806901e-01
4.500000000000000111e-01,1.137381432881145460e-01
4.600000000000000200e-01,1.191496929231047469e-01
4.700000000000000289e-01,1.247081360953540691e-01
4.800000000000000377e-01,1.304154507277671959e-01
4.899999999999999911e-01,1.362736761989686574e-01
5.000000000000000000e-01,1.422849050342415711e-01
5.100000000000000089e-01,1.484512913271175683e-01
5.200000000000000178e-01,1.547750521064780449e-01
5.300000000000000266e-01,1.612584590501339177e-01
5.400000000000000355e-01,1.679038496701877881e-01
5.500000000000000444e-01,1.747136220580932653e-01
5.600000000000000533e-01,1.816902353078927446e-01
5.700000000000000622e-01,1.888362173927836396e-01
5.800000000000000711e-01,1.961541533043759666e-01
5.899999999999999689e-01,2.036466985163929433e-01
5.999999999999999778e-01,2.113165702975243199e-01
6.099999999999999867e-01,2.191665585654241910e-01
6.199999999999999956e-01,2.271995119308282407e-01
6.300000000000000044e-01,2.354183532538888513e-01
6.400000000000000133e-01,2.438260693552471714e-01
6.500000000000000222e-01,2.524257234804498928e-01
6.600000000000000311e-01,2.612204390727335679e-01
6.700000000000000400e-01,2.702134174542858425e-01
6.800000000000000488e-01,2.794079288674111150e-01
6.900000000000000577e-01,2.888073152704606628e-01
7.000000000000000666e-01,2.984149884802125841e-01
7.100000000000000755e-01,3.082344389167858134e-01
7.199999999999999734e-01,3.182692282405937823e-01
7.299999999999999822e-01,3.285229925431696341e-01
7.399999999999999911e-01,3.389994428702973739e-01
7.500000000000000000e-01,3.497023624220925719e-01
7.600000000000000089e-01,3.606356211059473238e-01
7.700000000000000178e-01,3.718031514922240377e-01
7.800000000000000266e-01,3.832089746203159453e-01
7.900000000000000355e-01,3.948571807869185046e-01
8.000000000000000444e-01,4.067519523478956844e-01
8.100000000000000533e-01,4.188975333423217151e-01
8.200000000000000622e-01,4.312982587132966894e-01
8.300000000000000711e-01,4.439585428345855234e-01
8.400000000000000799e-01,4.568828754804792891e-01
8.499999999999999778e-01,4.700758324798546273e-01
8.599999999999999867e-01,4.835420615378305809e-01
8.699999999999999956e-01,4.972863070196965607e-01
8.800000000000000044e-01,5.113133903003613812e-01
8.900000000000000133e-01,5.256282000482155325e-01
9.000000000000000222e-01,5.402357382838410826e-01
9.100000000000000311e-01,5.551410628730414354e-01
9.200000000000000400e-01,5.703493271463285774e-01
9.300000000000000488e-01,5.858657676794893909e-01
9.400000000000000577e-01,6.016957108449421110e-01
9.500000000000000666e-01,6.178445572346609183e-01
9.600000000000000755e-01,6.343178036858792002e-01
9.699999999999999734e-01,6.511210209255580139e-01
9.799999999999999822e-01,6.682598824132761628e-01
