# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
1.000000000000000021e-02,1.000124935243066338e+00,-4.190694768047674440e-06
1.398797595190380896e-02,1.000244836031131124e+00,-8.198187054741660744e-06
1.797595190380761598e-02,1.000404556534610467e+00,-1.353336398352320484e-05
2.196392785571142647e-02,1.000603706610598609e+00,-2.019796007542960464e-05
2.595190380761523002e-02,1.000842891209694274e+00,-2.818815194312036636e-05
2.993987975951904051e-02,1.001121918059042493e+00,-3.750106171482798297e-05
3.392785571142285100e-02,1.001440775015483897e+00,-4.813331111437003300e-05
3.791583166332665455e-02,1.001799646056843907e+00,-6.008109748406247161e-05
4.190380761523046504e-02,1.002198387456441742e+00,-7.334007713281193684e-05
4.589178356713427553e-02,1.002637107991858123e+00,-8.790546827104396305e-05
4.987975951903807909e-02,1.003115788980027290e+00,-1.037719804836739399e-04
5.386773547094188958e-02,1.003634533573744880e+00,-1.209338900666517049e-04
5.785571142284570006e-02,1.004193352390731375e+00,-1.393849636744206905e-04
6.184368737474950362e-02,1.004792826779316250e+00,-1.591542295960060810e-04
6.583166332665331411e-02,1.005431997126511989e+00,-1.801679381193616372e-04
6.981963927855711072e-02,1.006111386653316231e+00,-2.024495820904069075e-04
7.380761523046092121e-02,1.006831049381756493e+00,-2.259910304742904750e-04
7.779559118236473170e-02,1.007591042938548176e+00,-2.507836771811419729e-04
8.178356713426854219e-02,1.008391428592174455e+00,-2.768184414260585935e-04
8.577154308617233880e-02,1.009232271346755416e+00,-3.040857681241019759e-04
8.975951903807614929e-02,1.010113640020999792e+00,-3.325756282572885254e-04
9.374749498997995978e-02,1.011035607323349295e+00,-3.622775191769198673e-04
9.773547094188377027e-02,1.011998249953077300e+00,-3.931804649271735557e-04
1.017234468937875808e-01,1.013001648697415602e+00,-4.252730164915723143e-04
1.057114228456913912e-01,1.014045888517658200e+00,-4.585432519733590112e-04
1.096993987975951879e-01,1.015131058674926923e+00,-4.929787767623877368e-04
1.136873747494989983e-01,1.016257252823804302e+00,-5.285667235757945037e-04
1.176753507014028088e-01,1.017424569139135926e+00,-5.652937524440129367e-04
1.216633266533066193e-01,1.018633110437179967e+00,-6.031460506089673631e-04
1.256513026052104298e-01,1.019882984300711559e+00,-6.421093322821732133e-04
1.296392785571142403e-01,1.021174303216998869e+00,-6.821688383188282334e-04
1.336272545090180508e-01,1.022507184715219841e+00,-7.233093357150737921e-04
1.376152304609218613e-01,1.023881751517306204e+00,-7.655151169983287008e-04
1.416032064128256718e-01,1.025298131686319669e+00,-8.087699994003107531e-04
1.455911823647294823e-01,1.026756458792120741e+00,-8.530573238927205339e-04
1.495791583166332928e-01,1.028256872074315709e+00,-8.983599539671326606e-04
1.535671342685371032e-01,1.029799516619128052e+00,-9.446602742306423701e-04
1.575551102204409137e-01,1.031384543539339615e+00,-9.919401887243802732e-04
1.615430861723446965e-01,1.033012110166517727e+00,-1.040181119002091432e-03
1.655310621242485070e-01,1.034682380248433509e+00,-1.089364001886206253e-03
1.695190380761523175e-01,1.036395524149943626e+00,-1.139469286895939890e-03
1.735070140280561279e-01,1.038151719072214041e+00,-1.190476933362252495e-03
1.774949899799599384e-01,1.039951149275214703e+00,-1.242366407149307498e-03
1.814829659318637489e-01,1.041794006306904441e+00,-1.295116676939901939e-03
1.854709418837675594e-01,1.043680489247239995e+00,-1.348706210117993831e-03
1.894589178356713699e-01,1.045610804957201712e+00,-1.403112968142490201e-03
1.934468937875751804e-01,1.047585168341755635e+00,-1.458314401428083534e-03
1.974348697394789909e-01,1.049603802621625004e+00,-1.514287443662415194e-03
2.014228456913828014e-01,1.051666939612001972e+00,-1.571008505494773683e-03
2.054108216432865841e-01,1.053774820020807468e+00,-1.628453467647139521e-03
2.093987975951903946e-01,1.055927693750515317e+00,-1.686597673266946283e-03
2.133867735470942051e-01,1.058125820218095203e+00,-1.745415919595464174e-03
2.173747494989980156e-01,1.060369468681169991e+00,-1.804882448779942953e-03
2.213627254509018261e-01,1.062658918585314138e+00,-1.864970937908166796e-03
2.253507014028056366e-01,1.064994459916206893e+00,-1.925654488049219695e-03
2.293386773547094470e-01,1.067376393573380211e+00,-1.986905612391137981e-03
2.333266533066132575e-01,1.069805031752010249e+00,-2.048696223266877232e-03
2.373146292585170680e-01,1.072280698345854821e+00,-2.110997618108953651e-03
2.413026052104208785e-01,1.074803729362900695e+00,-2.173780464197309220e-03
2.452905811623246612e-01,1.077374473356425222e+00,-2.237014782091757085e-03
2.492785571142284717e-01,1.079993291876594874e+00,-2.300669927741533314e-03
2.532665330661322822e-01,1.082660559938199540e+00,-2.364714573114307713e-03
2.572545090180360927e-01,1.085376666506854493e+00,-2.429116685249164964e-03
