q/kF, < omega_p(q)**3 >/wp(0)**3, Sum rule/wp(0)**3, < (omega/wp(0))**3*S > - SR
0.01,3.3498909137876076e-05,3.362348104420947e-05,-1.245719063333947e-07
0.02,0.00013449957067972388,0.00013450477979399546,-5.209114271577603e-09
0.03,0.00030263559933013575,0.00030264858606840543,-1.2986738269678017e-08
0.04,0.0005380857439730796,0.0005380937212554863,-7.977282406694541e-09
0.05,0.0008409065294949846,0.0008409370089944726,-3.0479499488005567e-08
0.060000000000000005,0.00121117347460358,0.0012112078189207233,-3.4344317143258224e-08
0.06999999999999999,0.0016489790855607439,0.001649130068231248,-1.5098267050418952e-07
0.08,0.0021544369019302683,0.002154718693041171,-2.817911109024608e-07
0.09,0.0027276771097706713,0.0027280304823869618,-3.533726162904989e-07
0.09999999999999999,0.003368847827072528,0.0033692448372569885,-3.970101844605507e-07
0.11,0.004078119171023656,0.004078557431877335,-4.382608536791094e-07
0.12,0.0048556679231356046,0.004856120534090382,-4.526109547778323e-07
0.13,0.005701705346832373,0.005702124967130001,-4.1962029762813297e-07
0.14,0.006616454645422372,0.006616770494644358,-3.15849221985999e-07
0.15000000000000002,0.007600142675557029,0.0076003919894227015,-2.493138656720767e-07
0.16,0.008653049855106459,0.008653034924580727,1.4930525732426148e-08
0.17,0.009775439576799907,0.00977980328531,-4.363708510092892e-06
0.18000000000000002,0.01096761811384317,0.010966678246865934,9.398669772349433e-07
0.19,0.012229891390888809,0.012228306913627867,1.5844772609414914e-06
0.2,0.013562606574423515,0.013560234288385582,2.3722860379334076e-06
0.21000000000000002,0.014966105979476323,0.014963808754543848,2.297224932475486e-06
0.22,0.016440778760491537,0.016437475908654738,3.302851836799181e-06
0.23,0.01798702212164421,0.01798153287734599,5.489244298221424e-06
0.24000000000000002,0.01960525370323648,0.01959887271809203,6.380985144448931e-06
0.25,0.02129589064502612,0.021288100649247813,7.789995778308134e-06
0.26,0.023059409997000617,0.023050150214800873,9.259782199743521e-06
0.27,0.02489629216179963,0.02488518125967921,1.1110902120418237e-05
0.28,0.026807012411375068,0.02679431975548217,1.2692655892897198e-05
0.29000000000000004,0.02879211738465984,0.028778158918620213,1.3958466039628442e-05
0.3,0.03085215299844552,0.03083646136555814,1.5691632887383095e-05
0.31,0.03298768774903318,0.032970690768947514,1.6996980085663693e-05
0.32,0.03519927802028052,0.0351808496609203,1.8428359360223023e-05
0.33,0.03748756917693706,0.03746841217364403,1.9157003293031327e-05
0.34,0.03985319961346296,0.0398337776778917,1.9421935571257987e-05
0.35000000000000003,0.042296831910910465,0.0422702750257798,2.6556885130667174e-05
0.36000000000000004,0.044819108623924186,0.04480046810510728,1.8640518816906426e-05
0.37,0.04742078162383904,0.047404878358245243,1.5903265593794624e-05
0.38,0.050102588677564334,0.05009036107891322,1.2227598651111393e-05
0.39,0.0528652936636439,0.052856466120331166,8.827543312731057e-06
0.4,0.05570963155268005,0.05570623996723728,3.391585442769074e-06
0.41000000000000003,0.0586365283578195,0.058639602976796504,-3.074618977000343e-06
0.42000000000000004,0.0616467154321024,0.06165799158749145,-1.1276155389046416e-05
0.43,0.0647410575090028,0.0647625409908042,-2.1483481801393145e-05
0.44,0.067920583369142,0.06795365833563191,-3.307496648990993e-05
0.45,0.07118609296288111,0.07123344032023711,-4.7347357355995157e-05
0.46,0.07453861347600421,0.07460280747373559,-6.41939977313738e-05
0.47000000000000003,0.07797913858781838,0.0780568137327248,-7.767514490641947e-05
0.48000000000000004,0.0815086937630948,0.08161530722041821,-0.00010661345732340677
0.49,0.08512825212642541,0.08526132380828706,-0.00013307168186164897
0.5,0.088838982599057,0.08900600726250286,-0.00016702466344586941
0.51,0.09264201050955302,0.09283451799743606,-0.00019250748788303407
0.52,0.09653849617720957,0.0967708949494049,-0.00023239877219533023
0.53,0.10052953544972922,0.10080718509706027,-0.0002776496473310547
0.54,0.104616557995099,0.10494515012739432,-0.00032859213229531614
0.55,0.10880062955235817,0.1091908216906042,-0.00039019213824603716
0.56,0.11308315961049549,0.11353647586283865,-0.00045331625234315553
0.5700000000000001,0.11746537977277074,0.11798898999081363,-0.0005236102180428831
0.5800000000000001,0.12194890962952107,0.12255069101298305,-0.0006017813834619801
0.59,0.1265349413487922,0.12722300307234885,-0.0006880617235566489
0.6,0.13122506610050783,0.13200986796593853,-0.000784801865430701
0.61,0.13602080182262705,0.13691199952900557,-0.0008911977063785215
0.62,0.1409235710068108,0.14192518188541534,-0.0010016108786045363
0.63,0.14593511376541368,0.14706622861464774,-0.0011311148492340606
0.64,0.15105723774324917,0.15232780052131034,-0.001270562778061174
0.65,0.15629119624413376,0.1577131963359536,-0.0014220000918198361
0.66,0.16163919752662997,0.16322933157340194,-0.0015901340467719682
0.67,0.16710273136658454,0.16887244212624236,-0.0017697107596578165
