q/kF, < omega_p(q)**3 >/wp(0)**3, Sum rule/wp(0)**3, < (omega/wp(0))**3*S > - SR
0.01,2.395891335405501e-05,1.9412349880230965e-05,4.546563473824044e-06
0.02,7.769211359266716e-05,7.765355409298282e-05,3.855949968433706e-08
0.03,0.00017469542222097776,0.00017473596614021614,-4.0543919238377564e-08
0.04,0.00031054078599833916,0.0003106798882470162,-1.391022486770476e-07
0.05,0.0004852044991778414,0.00048551316132512586,-3.086621472844558e-07
0.060000000000000005,0.0006986665441378732,0.0006997035592847547,-1.0370151468814268e-06
0.06999999999999999,0.0009509223649324065,0.0009526409784921608,-1.7186135597542724e-06
0.08,0.0012419666658751184,0.001244627052592147,-2.6603867170286576e-06
0.09,0.0015717921924245073,0.00157330012965523,-1.5079372307227022e-06
0.09999999999999999,0.0019403889246192582,0.0019425370484315758,-2.148123812317597e-06
0.11,0.0023477514538907014,0.002350681019943769,-2.929566053067739e-06
0.12,0.002793868627978862,0.0027956729437758213,-1.8043157969591106e-06
0.13,0.003278733152131104,0.0032885731587736877,-9.840006642583728e-06
0.14,0.0038023274481682494,0.003814552274598707,-1.2224826430457837e-05
0.15000000000000002,0.004364650435298796,0.004379519033862652,-1.4868598563856812e-05
0.16,0.004965677340476737,0.004983441002607143,-1.7763662130405693e-05
0.17,0.0056054087999267595,0.005626287134686056,-2.0878334759296888e-05
0.18000000000000002,0.0062838212414090076,0.006308029407722367,-2.4208166313359307e-05
0.19,0.007000906194085922,0.007028642517195181,-2.7736323109258526e-05
0.2,0.007756650184785131,0.007788112085314313,-3.1461900529181595e-05
0.21000000000000002,0.008551031553912248,0.008586431962853311,-3.540040894106297e-05
0.22,0.009384054116097797,0.009423604115798869,-3.954999970107176e-05
0.23,0.010255688841759203,0.010299643344910427,-4.395450315122437e-05
0.24000000000000002,0.011165945992672071,0.011214580781737423,-4.863478906535178e-05
0.25,0.012114809321024827,0.012168461188530488,-5.36518675056611e-05
0.26,0.013102274774091385,0.01316132955865593,-5.905478456454463e-05
0.27,0.01412834148386419,0.014193222266052938,-6.488078218874933e-05
0.28,0.015193011914897537,0.015264175379439837,-7.116346454229955e-05
0.29000000000000004,0.016296308042460735,0.016374208319840187,-7.790027737945154e-05
0.3,0.017438241840503084,0.017523331209791757,-8.508936928867256e-05
0.31,0.018618790565241183,0.018711551635798254,-9.276107055707083e-05
0.32,0.019838002044571954,0.019938862686881033,-0.00010086064230907868
0.33,0.021095891556966406,0.021058777917854446,3.711363911195961e-05
0.34,0.02239245028894309,0.022348885139198103,4.3565149744986126e-05
0.35000000000000003,0.02372770788264332,0.02367684067067235,5.0867211970971604e-05
0.36000000000000004,0.025101643851934592,0.025042556052308422,5.908779962617017e-05
0.37,0.02651430437587569,0.026445959264381834,6.834511149385672e-05
0.38,0.02796559927723929,0.02788698914285182,7.86101343874697e-05
0.39,0.02945558753625896,0.029365576999198655,9.001053706030396e-05
0.4,0.030984181925989215,0.030881687214386656,0.00010249471160255971
0.41000000000000003,0.032551370721278505,0.03243530993846545,0.0001160607828130586
0.42000000000000004,0.03415707169140844,0.034026443718961435,0.00013062797244700608
0.43,0.03580129590192179,0.035655099513153196,0.00014619638876859492
0.44,0.03748391304931548,0.037321309739355976,0.00016260330995950673
0.45,0.03920489380513244,0.0390251338079621,0.0001797599971703409
0.46,0.04096417476348271,0.040766652723506186,0.00019752203997652068
0.47000000000000003,0.04276169522560196,0.04254595344180183,0.00021574178380013437
0.48000000000000004,0.044597355491639984,0.04436311616942074,0.00023423932221924154
0.49,0.04647119520792768,0.046177858268801365,0.0002933369391263166
0.5,0.04838308623125672,0.04807223994265187,0.00031084628860485186
0.51,0.05033304735916819,0.050004800721565434,0.00032824663760275263
0.52,0.052321118198648986,0.05197561207949258,0.00034550611915640933
0.53,0.05434719780465621,0.05398476611833185,0.0003624316863243618
0.54,0.05641135187632852,0.0560323751111151,0.0003789767652134235
0.55,0.05851361015880357,0.05811856757595654,0.0003950425828470258
0.56,0.06065401619815399,0.06024349402455013,0.0004105221736038639
0.5700000000000001,0.06283256413532111,0.06240732233149376,0.0004252418038273517
0.5800000000000001,0.0650494459097228,0.06461023487073575,0.0004392110389870446
0.59,0.06730468139383732,0.06685240826466635,0.0004522731291709686
0.6,0.06959829185849553,0.06913400730589098,0.0004642845526045547
0.61,0.07193051351792065,0.0714551795587354,0.00047533395918525345
0.62,0.07430138731251569,0.07381603923442567,0.0004853480780900171
0.63,0.07671095229934692,0.07621670446049716,0.0004942478388497568
0.64,0.0791594806594463,0.0786572863742303,0.0005021942852159872
0.65,0.0816469447712914,0.08113789553665961,0.0005090492346317976
0.66,0.08417363755533327,0.08365861917872668,0.0005150183766065991
0.67,0.08673953144356215,0.08621948072622355,0.0005200507173385993
0.68,0.08934484953701284,0.08882049421791309,0.0005243553190997507
0.6900000000000001,0.09198982966897568,0.09146170766483187,0.0005281220041438023
0.7000000000000001,0.09467444131896392,0.09414321099518325,0.0005312303237806765
0.7100000000000001,0.09739902477319076,0.09686512876002167,0.0005338960131690967
0.72,0.10016354722001419,0.09962777582995336,0.0005357713900608352
0.73,0.10296826560330417,0.10243155041615166,0.0005367151871525089
0.74,0.10581345268215032,0.10527689248856106,0.0005365601935892611
0.75,0.10869907265606657,0.10816423087539939,0.0005348417806671779
0.76,0.1116254053178988,0.11109398749474515,0.0005314178231536487
0.77,0.1145927477401849,0.1140666997365526,0.0005260480036322901
0.78,0.11760106342035304,0.11708320069641553,0.0005178627239375011
0.79,0.1206506586873313,0.12014435620836976,0.0005063024789615372
0.8,0.12374185895104033,0.12325100692128933,0.0004908520297509933
0.81,0.12687463022916567,0.12640403816112414,0.0004705920680415365
0.8200000000000001,0.13004930989027708,0.12960423289031395,0.00044507699996312877
0.8300000000000001,0.13326625638768358,0.13285222514712738,0.0004140312405561952
0.8400000000000001,0.13652544200339456,0.13614867182193174,0.0003767701814628155
0.85,0.13982724012014786,0.13949421013402907,0.00033302998611878243
0.86,0.1431720473336146,0.1428894984066383,0.00028254892697629486
0.87,0.1465598462146268,0.14633534580580967,0.0002245004088171354
0.88,0.14999105141074157,0.1498326703483794,0.0001583810623621562
0.89,0.15346610299994265,0.1533821255890833,8.397741085935939e-05
0.9,0.15698499802126858,0.15698432619573013,6.718255384507987e-07
0.91,0.16054819782548932,0.1606398876722686,-9.168984677929148e-05
0.92,0.1641561914832322,0.16434948643120736,-0.00019329494797515334
0.93,0.16780899478727276,0.168113965039644,-0.00030497025237122277
0.9400000000000001,0.17150729223553374,0.1719342557581629,-0.0004269635226291646
0.9500000000000001,0.17525111502259708,0.17581138017319645,-0.0005602651505993705
0.9600000000000001,0.17904101462848349,0.17974641070262048,-0.0007053960741369991
0.97,0.18287757420934267,0.18374040889333973,-0.0008628346839970602
0.98,0.18676085115252425,0.187794467845118,-0.0010336166925937473
0.99,0.19069164885255732,0.19190973833226274,-0.0012180894797054198
1.0,0.19467004524662537,0.19608731379603028,-0.0014172685494049098
1.01,0.19869669828835804,0.200328286988023,-0.0016315886996649542
1.02,0.2027723018342627,0.20463381395389332,-0.0018615121196306206
1.03,0.2068969678943052,0.20900517031636,-0.0021082024220548112
1.04,0.2110716370782674,0.2134437184586507,-0.0023720813803833063
1.05,0.21529644747289303,0.21809261323232554,-0.0027961657594325062
1.06,0.219572181024862,0.22267251036122662,-0.0031003293363646156
1.07,0.22389966016377516,0.22732424218772787,-0.0034245820239527103
1.08,0.22827906558614333,0.23204931213578836,-0.003770246549645029
1.09,0.23271149492971024,0.23684922286357016,-0.004137727933859914
1.1,0.23719716100935692,0.24172546812420145,-0.004528307114844532
1.11,0.24173722979821863,0.24667957209817662,-0.004942342299957991
1.12,0.2463319488338975,0.25171313812356766,-0.005381189289670157
1.1300000000000001,0.2509825559823779,0.2568279927333254,-0.005845436750947508
1.1400000000000001,0.25568933619883366,0.2620260697654113,-0.006336733566577657
1.1500000000000001,0.260453602918896,0.2673093671435352,-0.0068557642246391826
1.1600000000000001,0.265275681348099,0.2726799568695113,-0.007404275521412318
1.17,0.270156964295546,0.27813991118303955,-0.00798294688749357
1.18,0.2750978201385696,0.2834940074046407,-0.008396187266071109
1.19,0.2800997250296485,0.28913318910840546,-0.009033464078756936
1.2,0.2851630935474467,0.2948676674742672,-0.009704573926820503
