# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.841148405593937346e-02,1.078903111423597325e-04,-5.755624972005911506e-03
3.682296811187874691e-02,4.310630184881489757e-04,-1.150088697031791292e-02
5.523445216781812384e-02,9.680308736499013784e-04,-1.722547892734266686e-02
7.364593622375749382e-02,1.716339665696764091e-03,-2.291920497882826008e-02
9.205742027969686381e-02,2.672604233031119006e-03,-2.857203455450999657e-02
1.104689043356362477e-01,3.832557335607841755e-03,-3.417415468636832154e-02
1.288803883915756177e-01,5.191109935629100412e-03,-3.971601999086650514e-02
1.472918724475149876e-01,6.742421144585716841e-03,-4.518839982304319325e-02
1.657033565034543576e-01,8.479975885170467145e-03,-5.058242215007803522e-02
1.841148405593937276e-01,1.039666819377071255e-02,-5.588961374862290443e-02
2.025263246153330976e-01,1.248488805314447447e-02,-6.110193639234021840e-02
2.209378086712724953e-01,1.473660969061913253e-02,-6.621181876215907758e-02
2.393492927272118653e-01,1.714347939562194459e-02,-7.121218388015639056e-02
2.577607767831512353e-01,1.969690108928115468e-02,-7.609647193709942470e-02
2.761722608390905775e-01,2.238811810392588031e-02,-8.085865845202439006e-02
2.945837448950299753e-01,2.520828988650365698e-02,-8.549326776833897357e-02
3.129952289509693730e-01,2.814856261238575172e-02,-8.999538195354113423e-02
3.314067130069087153e-01,3.120013297112077949e-02,-9.436064522762460660e-02
3.498181970628481130e-01,3.435430465160298208e-02,-9.858526409767039145e-02
3.682296811187874552e-01,3.760253730129276689e-02,-1.026660034222838802e-01
3.866411651747268530e-01,4.093648795542732810e-02,-1.066001786689276670e-01
4.050526492306661952e-01,4.434804512287522649e-02,-1.103856446595180146e-01
4.234641332866055929e-01,4.782935587293200147e-02,-1.140207811248056258e-01
4.418756173425449907e-01,5.137284639136001363e-02,-1.175044754061296826e-01
4.602871013984843329e-01,5.497123656538232400e-02,-1.208361026543661454e-01
4.786985854544237307e-01,5.861754921837684235e-02,-1.240155038806793064e-01
4.971100695103630174e-01,6.230511464873562943e-02,-1.270429622125206215e-01
5.155215535663024706e-01,6.602757113736401617e-02,-1.299191777018029736e-01
5.339330376222417573e-01,6.977886207834635424e-02,-1.326452410209475741e-01
5.523445216781811551e-01,7.355323036125015201e-02,-1.352226063672513912e-01
5.707560057341205528e-01,7.734521059495366724e-02,-1.376530638774536575e-01
5.891674897900599506e-01,8.114961971514912664e-02,-1.399387118331782420e-01
6.075789738459992373e-01,8.496154646373048347e-02,-1.420819289147743913e-01
6.259904579019387461e-01,8.877634017074383099e-02,-1.440853467365943441e-01
