# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.841148405593937346e-02,1.072302026884211160e-05,-2.518457127979021356e-04
3.682296811187874691e-02,4.263789642290585389e-05,-5.013582617749283736e-04
5.523445216781812384e-02,9.500135976652418273e-05,-7.462691813081438795e-04
7.364593622375749382e-02,1.666359137786055909e-04,-9.844357899954213776e-04
9.205742027969686381e-02,2.560120131648308938e-04,-1.213895389212943550e-03
1.104689043356362477e-01,3.613460494952600152e-04,-1.432909925655447263e-03
1.288803883915756177e-01,4.807018879939438838e-04,-1.639999300976574016e-03
1.472918724475149876e-01,6.120852616014961674e-04,-1.833962441363937114e-03
1.657033565034543576e-01,7.535234015836368704e-04,-2.013886157602452244e-03
1.841148405593937276e-01,9.031258886559576961e-04,-2.179142636065000815e-03
2.025263246153330976e-01,1.059126007840727494e-03,-2.329377034023273878e-03
2.209378086712724953e-01,1.219904371675815296e-03,-2.464487072229357926e-03
2.393492927272118653e-01,1.383998069956900298e-03,-2.584596719362843367e-03
2.577607767831512353e-01,1.550099194574619315e-03,-2.690026068316101349e-03
2.761722608390905775e-01,1.717046494324771504e-03,-2.781259352567531495e-03
2.945837448950299753e-01,1.883813388858610917e-03,-2.858912789510722769e-03
3.129952289509693730e-01,2.049494835538316281e-03,-2.923703614208037881e-03
3.314067130069087153e-01,2.213294764329810146e-03,-2.976421323580015141e-03
3.498181970628481130e-01,2.374515082653897834e-03,-3.017901820415562660e-03
3.682296811187874552e-01,2.532546664845622235e-03,-3.049004851463637134e-03
3.866411651747268530e-01,2.686862304463254886e-03,-3.070594887241575189e-03
4.050526492306661952e-01,2.837011322618143965e-03,-3.083525397972587331e-03
4.234641332866055929e-01,2.982615376327148356e-03,-3.088626339097368372e-03
4.418756173425449907e-01,3.123364972655555925e-03,-3.086694565950339614e-03
4.602871013984843329e-01,3.259016237559851561e-03,-3.078486843112126625e-03
4.786985854544237307e-01,3.389387582756644805e-03,-3.064715091520792654e-03
4.971100695103630174e-01,3.514356032234597534e-03,-3.046043517720824993e-03
5.155215535663024706e-01,3.633853089846419190e-03,-3.023087287541984837e-03
5.339330376222417573e-01,3.747860134766162633e-03,-2.996412435047397793e-03
5.523445216781811551e-01,3.856403413038316224e-03,-2.966536732006949933e-03
5.707560057341205528e-01,3.959548747416164784e-03,-2.933931279838327289e-03
5.891674897900599506e-01,4.057396115204772377e-03,-2.899022622341943835e-03
6.075789738459992373e-01,4.150074248929912397e-03,-2.862195211922356070e-03
6.259904579019387461e-01,4.237735402922411000e-03,-2.823794093297888642e-03
6.444019419578780328e-01,4.320550406216801774e-03,-2.784127696423975735e-03
6.628134260138174305e-01,4.398704093841878521e-03,-2.743470654332347443e-03
6.812249100697567172e-01,4.472391178922667521e-03,-2.702066581905767859e-03
6.996363941256962260e-01,4.541812600104387296e-03,-2.660130768511713602e-03
7.180478781816355127e-01,4.607172354581617196e-03,-2.617852751242569827e-03
7.364593622375749105e-01,4.668674807424756656e-03,-2.575398746627465159e-03
7.548708462935143082e-01,4.726522453156883040e-03,-2.532913927470428934e-03
7.732823303494537059e-01,4.780914095363903230e-03,-2.490524538292581552e-03
7.916938144053929927e-01,4.832043403934306418e-03,-2.448339848044807452e-03
8.101052984613323904e-01,4.880097806607237507e-03,-2.406453942607563422e-03
8.285167825172717881e-01,4.925257671119905901e-03,-2.364947362363838644e-03
8.469282665732111859e-01,4.967695735701963163e-03,-2.323888592039656097e-03
8.653397506291504726e-01,5.007576748369961181e-03,-2.283335411239010779e-03
8.837512346850899814e-01,5.045057278944897923e-03,-2.243336114809843344e-03
9.021627187410292681e-01,5.080285671566729666e-03,-2.203930612489984724e-03
9.205742027969686658e-01,5.113402109432967427e-03,-2.165151417298428159e-03
9.389856868529079525e-01,5.144538767342120983e-03,-2.127024531938702216e-03
9.573971709088474613e-01,5.173820031248627799e-03,-2.089570242131601023e-03
9.758086549647867480e-01,5.201362767353361581e-03,-2.052803825344103571e-03
9.942201390207260348e-01,5.227276626225707892e-03,-2.016736182868327995e-03
1.012631623076665432e+00,5.251664370068230038e-03,-1.981374402658337384e-03
1.031043107132604941e+00,5.274622213502494841e-03,-1.946722259774969453e-03
1.049454591188544228e+00,5.296240170194673261e-03,-1.912780660736020143e-03
1.067866075244483515e+00,5.316602399281686840e-03,-1.879548037531902915e-03
1.086277559300423023e+00,5.335787546933224226e-03,-1.847020696553504761e-03
1.104689043356362310e+00,5.353869079524111937e-03,-1.815193127194022127e-03
1.123100527412301597e+00,5.370915605827815409e-03,-1.784058274433147255e-03
