# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.364593622375749903e-03,7.592100581535073090e-05,-4.019672786526687705e-03
1.472918724475149981e-02,3.033281005183854516e-04,-8.031998076751265328e-03
2.209378086712725231e-02,6.811589040158633201e-04,-1.202966861481566396e-02
2.945837448950299961e-02,1.207660574100385227e-03,-1.600545718085431834e-02
3.682296811187875385e-02,1.880415909965892866e-03,-1.995225550500315248e-02
4.418756173425450462e-02,2.696378760927427547e-03,-2.386311187949782114e-02
5.155215535663024845e-02,3.651917673231998545e-03,-2.773126707233183538e-02
5.891674897900599922e-02,4.742866495869475785e-03,-3.155018817670118825e-02
6.628134260138174305e-02,5.964580514527696199e-03,-3.531360006729624551e-02
7.364593622375750770e-02,7.311996595337358698e-03,-3.901551417643517317e-02
8.101052984613324459e-02,8.779695796765907279e-03,-4.265025434897128098e-02
8.837512346850900924e-02,1.036196694513222619e-02,-4.621247958368822351e-02
9.573971709088474613e-02,1.205286975974716179e-02,-4.969720351932567504e-02
1.031043107132604969e-01,1.384629624833998672e-02,-5.309981057427084344e-02
1.104689043356362477e-01,1.573602926145547046e-02,-5.641606869916605815e-02
1.178334979580119984e-01,1.771579728462177247e-02,-5.964213875016221439e-02
1.251980915803877492e-01,1.977932474827286471e-02,-6.277458053633985791e-02
1.325626852027634861e-01,2.192037733759218468e-02,-6.581035563710280201e-02
1.399272788251392508e-01,2.413280197895488130e-02,-6.874682712344999669e-02
1.472918724475150154e-01,2.641056135955275469e-02,-7.158175635043145801e-02
1.546564660698907523e-01,2.874776299697484258e-02,-7.431329701643367425e-02
1.620210596922664892e-01,3.113868301268823274e-02,-7.693998670801870110e-02
1.693856533146422261e-01,3.357778487586238897e-02,-7.946073616680196516e-02
1.767502469370180185e-01,3.605973347158279024e-02,-8.187481652738219651e-02
1.841148405593937554e-01,3.857940491112202969e-02,-8.418184478283118055e-02
1.914794341817694923e-01,4.113189254336210854e-02,-8.638176773701893019e-02
1.988440278041452569e-01,4.371250964806640271e-02,-8.847484470147491675e-02
