# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.364593622375749903e-03,9.531796001926541378e-05,-8.973595782385288076e-04
1.472918724475149981e-02,3.679176375586498031e-04,-1.744205033266499122e-03
2.209378086712725231e-02,7.832703138646120080e-04,-2.498253051754864042e-03
2.945837448950299961e-02,1.297963216040929138e-03,-3.131097340781941081e-03
3.682296811187875385e-02,1.870705257409196673e-03,-3.629972298816276383e-03
4.418756173425450462e-02,2.467771044949891145e-03,-3.996005655511562955e-03
5.155215535663024845e-02,3.063680335387374172e-03,-4.240405269629061308e-03
5.891674897900599922e-02,3.639796859527900507e-03,-4.380168253566909045e-03
6.628134260138174305e-02,4.182809418341778759e-03,-4.434413234071030684e-03
7.364593622375750770e-02,4.683757549782476687e-03,-4.421801286874046596e-03
8.101052984613324459e-02,5.137459054337735302e-03,-4.359039194763657775e-03
8.837512346850900924e-02,5.542005967315770040e-03,-4.260226876895575887e-03
9.573971709088474613e-02,5.898143682633287359e-03,-4.136760759736321340e-03
1.031043107132604969e-01,6.208543634133329575e-03,-3.997548565954728468e-03
1.104689043356362477e-01,6.477077467090541080e-03,-3.849363069173603220e-03
1.178334979580119984e-01,6.708195880636767632e-03,-3.697228795650401353e-03
1.251980915803877492e-01,6.906464089573589177e-03,-3.544784841337936861e-03
1.325626852027634861e-01,7.076256090470496932e-03,-3.394598783781956411e-03
1.399272788251392508e-01,7.221580904453983943e-03,-3.248425093946000815e-03
1.472918724475150154e-01,7.346004759478523202e-03,-3.107410931161432369e-03
1.546564660698907523e-01,7.452635873958196600e-03,-2.972256273725204338e-03
1.620210596922664892e-01,7.544145942239936613e-03,-2.843336420746132073e-03
1.693856533146422261e-01,7.622810320944820896e-03,-2.720794502073925307e-03
1.767502469370180185e-01,7.690555436737269573e-03,-2.604610616844846727e-03
1.841148405593937554e-01,7.749006665969609443e-03,-2.494653046791403973e-03
1.914794341817694923e-01,7.799533087727893513e-03,-2.390715878941439016e-03
1.988440278041452569e-01,7.843287476369011080e-03,-2.292546412747841454e-03
2.062086214265209938e-01,7.881241050401038145e-03,-2.199864940112791593e-03
