# omega (a.u.), Re alpha(w), Im alpha(w)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.841148405593937346e-02,5.395747612759076608e-07,-1.260072508364519798e-04
3.682296811187874691e-02,2.158163545616693500e-06,-2.520024834483257283e-04
5.523445216781812384e-02,4.855359969890240179e-06,-3.779736832247099698e-04
7.364593622375749382e-02,8.630487112384205295e-06,-5.039088427797438477e-04
9.205742027969686381e-02,1.348259808759500913e-05,-6.297959655594375771e-04
1.104689043356362477e-01,1.941047684926714667e-05,-7.556230694416561731e-04
1.288803883915756177e-01,2.641263922036835233e-05,-8.813781903269942266e-04
1.472918724475149876e-01,3.448733414824124591e-05,-1.007049385718290302e-03
1.657033565034543576e-01,4.363254518238648423e-05,-1.132624738286527877e-03
1.841148405593937276e-01,5.384599217246479572e-05,-1.258092359420899661e-03
2.025263246153330976e-01,6.512513318325825599e-05,-1.383440392760814427e-03
2.209378086712724953e-01,7.746716662325997115e-05,-1.508657017707662213e-03
2.393492927272118653e-01,9.086903358297824965e-05,-1.633730452914149665e-03
2.577607767831512353e-01,1.053274203789085798e-04,-1.758648959749079931e-03
2.761722608390905775e-01,1.208387612984792241e-04,-1.883400845735435595e-03
2.945837448950299753e-01,1.373992415412812426e-04,-2.007974467959682766e-03
3.129952289509693730e-01,1.550048003512114749e-04,-2.132358236450233088e-03
3.314067130069087153e-01,1.736511343343458743e-04,-2.256540617523034031e-03
3.498181970628481130e-01,1.933337009563957244e-04,-2.380510137092293425e-03
3.682296811187874552e-01,2.140477222140826246e-04,-2.504255383944385335e-03
3.866411651747268530e-01,2.357881884739042755e-04,-2.627765012973011342e-03
4.050526492306661952e-01,2.585498624717343921e-04,-2.751027748373754966e-03
4.234641332866055929e-01,2.823272834667711834e-04,-2.874032386796183079e-03
4.418756173425449907e-01,3.071147715426497974e-04,-2.996767800451706227e-03
4.602871013984843329e-01,3.329064320486497326e-04,-3.119222940175468348e-03
4.786985854544237307e-01,3.596961601738303147e-04,-3.241386838440549808e-03
4.971100695103630174e-01,3.874776456464423466e-04,-3.363248612322857455e-03
5.155215535663024706e-01,4.162443775514133859e-04,-3.484797466415094462e-03
